Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,2024 Result
Scottie Scheffler,17,-,6,3,10,-,-,1,1,-,2,-,-,-,-,-,-,-,-,-,19,18,1,10,12100,4/1,Bet 365,1
Jon Rahm,-,-,3^^,8^^,-,-,5^^,8^^,-,-,-,4^^,-,-,-,-,-,27,4,9,7,5,27,1,11200,10/1,Bet 365,45
Rory McIlroy,1,-,66,-,24,-,21,21,19,-,-,3,-,25,8,4,10,7,5,21,5,MC,2,MC,10800,10/1,Bet 365,22
Brooks Koepka,-,-,5^^,12^^,-,-,12^^,28^^,-,-,-,45^^,-,-,-,33,21,11,-,2,7,MC,MC,2,10200,18/1,Bet 365,45
Wyndham Clark,39,-,1,41,MC,-,-,2,2,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,28/1,Bet 365,MC
Xander Schauffele,3,9,54,-,4,-,-,25,2,5,-,-,-,-,-,-,-,-,50,2,17,3,MC,10,9900,14/1,Bet 365,8
Joaquin Niemann,4,-,1^^,30^^,-,3^,1^^,4^^,-,-,-,9^^,-,-,-,-,-,-,MC,-,-,40,35,16,9600,25/1,Bet 365,22
Viktor Hovland,-,-,58,-,19,-,-,36,62,-,-,-,-,-,-,-,-,-,-,32,-,21,27,7,9500,30/1,Bet 365,MC
Patrick Cantlay,52,56,11,-,4,-,-,36,68,-,-,-,-,-,-,-,-,-,MC,9,17,MC,39,14,9400,33/1,Bet 365,22
Jordan Spieth,-,-,39,6,DQ,-,-,30,MC,MC,-,10,-,-,2,1,2,11,3,21,46,3,MC,4,9300,20/1,Bet 365,MC
Will Zalatoris,34,13,-,-,2,-,-,4,MC,-,74,-,-,-,-,-,-,-,-,-,-,2,6,-,9200,35/1,Bet 365,9
Ludvig Aberg,-,9,2,-,19,-,-,25,8,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,9100,25/1,Bet 365,2
Hideki Matsuyama,-,13,71,22,1,-,-,12,6,-,-,7,-,-,MC,5,7,11,19,32,13,1,14,16,9000,16/1,Bet 365,39
Cameron Smith,-,-,8^^,15^^,-,-,41^^,2^^,-,-,-,WD^^,-,-,-,-,55,-,5,51,2,10,3,34,8900,40/1,Bet 365,6
Dustin Johnson,-,-,5^^,1^^,-,-,27^^,21^^,-,-,-,24^^,-,13,MC,6,4,-,10,2,1,MC,12,48,8800,40/1,Bet 365,MC
Justin Thomas,3,-,6,12,MC,-,-,12,MC,64,-,-,-,-,-,-,39,22,17,12,4,21,8,MC,8700,35/1,Bet 365,MC
Tony Finau,25,6,47,-,19,13,-,-,45,MC,2,-,-,-,-,-,-,-,10,5,38,10,35,26,8600,35/1,Bet 365,55
Cameron Young,3,-,70,8,16,-,4,36,54,2,-,-,-,-,-,-,-,-,-,-,-,-,MC,7,8500,45/1,Bet 365,9
Collin Morikawa,-,MC,14,-,19,-,-,MC,45,-,-,75,-,-,-,-,-,-,-,-,44,18,5,10,8400,40/1,Bet 365,3
Max Homa,-,13,66,MC,16,-,-,8,64,-,-,25,-,-,-,-,-,-,-,-,MC,MC,48,43,8300,55/1,Bet 365,3
Bryson DeChambeau,-,-,25^^,9^^,-,-,4^^,6^^,-,-,-,7^^,-,-,-,-,21,-,38,29,34,46,MC,MC,8200,33/1,Bet 365,6
Sam Burns,6,-,10,3,10,-,-,30,45,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,29,8100,55/1,Bet 365,MC
Shane Lowry,MC,25,-,60,-,-,4,3,19,29,-,-,-,-,-,MC,39,MC,-,MC,25,21,3,16,8000,35/1,Bet 365,43
Matthew Fitzpatrick,-,-,58,15,MC,-,21,MC,5,-,-,10,-,-,MC,-,7,32,38,21,46,34,14,10,7900,30/1,Bet 365,22
Brian Harman,70,-,54,60,44,-,-,12,2,MC,-,25,-,-,-,MC,-,-,44,-,-,12,MC,MC,7800,50/1,Bet 365,MC
Jason Day,34,MC,6,-,9,-,-,36,35,-,MC,-,-,3,20,28,10,22,20,5,MC,MC,-,39,7700,55/1,Bet 365,30
Sahith Theegala,-,64,20,5,37,-,-,6,9,-,28,-,-,-,-,-,-,-,-,-,-,-,-,9,7700,40/1,Bet 365,45
Sungjae Im,25,MC,66,66,44,-,MC,18,31,MC,-,-,-,-,-,-,-,-,-,-,2,MC,8,16,7600,100/1,Bet 365,MC
Tyrrell Hatton,31,-,8^^,12^^,-,-,15^^,21^^,-,-,-,4^^,-,-,-,-,-,MC,44,56,MC,18,52,34,7600,55/1,Bet 365,9
Corey Conners,-,-,31,28,24,-,41,18,13,-,-,25,-,-,-,MC,-,-,-,46,10,8,6,MC,7500,66/1,Bet 365,35
Tommy Fleetwood,14,-,31,-,10,-,-,MC,35,-,-,7,-,-,-,-,-,MC,17,36,19,46,14,33,7500,35/1,Bet 365,3
Patrick Reed,-,-,17^^,39^^,-,-,37^^,29^^,4^,-,-,9^^,-,-,MC,22,49,MC,1,36,10,8,35,4,7400,66/1,Bet 365,12
Tom Kim,MC,-,31,17,24,-,62,52,WD,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,16,7400,125/1,Bet 365,30
MinWoo Lee,21,43,-,71,-,-,2,44,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,14,MC,7300,80/1,Bet 365,22
Rickie Fowler,MC,-,47,MC,35,-,41,36,68,-,-,MC,-,38,5,12,MC,11,2,9,29,-,-,-,7300,110/1,Bet 365,30
Justin Rose,-,56,11,-,-,-,64,MC,MC,-,-,-,-,25,14,2,10,2,12,MC,23,7,MC,16,7200,125/1,Bet 365,MC
