Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020*,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,1,-,4,-,10,11,-,-,-,5,2,3,-,-,-,-,-,-,-,-,MC,22,3,-,11300,13/2,Bet 365,Further details,3
Jon Rahm,WD,-,31,-,1,15,-,2,-,-,50,-,-,-,-,-,-,MC,-,-,27,1,WD,10,11000,7/1,Bet 365,Further details,16
Rory McIlroy,MC,-,3,-,MC,-,-,-,47,-,7,-,-,57,15,-,4,-,8,MC,-,32,18,18,10600,12/1,Bet 365,Further details,7
Patrick Cantlay,19,-,9,-,14,3,4^^,-,21,-,9,-,-,-,-,-,-,35,4,1,7,32,1,3,10500,10/1,Bet 365,Further details,30
Xander Schauffele,19,-,5,-,10,4,4^^,-,2,-,18,-,-,-,-,-,-,-,MC,14,14,13,11,18,10200,12/1,Bet 365,Further details,24
Collin Morikawa,13,-,28,-,10,31,MC^^,-,MC,-,26,29,-,-,-,-,-,-,-,-,1,48,2,MC,9900,22/1,Bet 365,Further details,WD
Viktor Hovland,3,-,31,-,7,59,-,-,43,-,2,16,-,-,-,-,-,-,-,-,3,48,47,51,9700,20/1,Bet 365,Further details,1
Jason Day,19,-,5,-,39,-,-,-,MC,1,MC,-,-,41,37,MC,27,15,44,MC,7,4,-,31,9400,25/1,Bet 365,Further details,MC
Tyrrell Hatton,2,-,59,MC,34,19,-,-,3,5,15,-,-,-,-,-,-,-,-,33,-,-,-,-,9300,28/1,Bet 365,Further details,12
Justin Thomas,60,10,-,-,MC,25,-,-,14,-,65,-,-,-,37,MC,MC,4,8,MC,2,18,42,-,9200,25/1,Bet 365,Further details,MC
Sungjae Im,6,-,17,-,16,7,6^^,-,8,1^,MC,MC,-,-,-,-,-,-,-,57,63,MC,MC,10,9100,30/1,Bet 365,Further details,41
Matthew Fitzpatrick,MC,MC,31,-,10,1,-,-,35,-,MC,-,-,-,-,-,-,-,-,68,27,3,MC,MC,9000,33/1,Bet 365,Further details,9
Jordan Spieth,19,3,31,-,4,2,-,-,MC,-,29,MC,-,63,19,3,57,13,MC,7,MC,13,18,18,8900,28/1,Bet 365,Further details,5
Cameron Young,51,-,2,-,7,51,-,-,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,60,8800,30/1,Bet 365,Further details,MC
Hideki Matsuyama,5,-,31,15,16,-,-,-,-,23,29,-,-,-,1,5,MC,45,13,6,22,MC,62,-,8700,35/1,Bet 365,Further details,16
Sam Burns,35,6,1,-,29,15,11^^,-,MC,-,MC,6,-,-,-,-,-,-,81,WD,17,-,50,-,8600,40/1,Bet 365,Further details,16
Rickie Fowler,13,-,17,10,-,15,-,-,14,-,MC,6,-,37,MC,MC,MC,2,8,14,22,MC,11,64,8500,45/1,Bet 365,Further details,9
Sahith Theegala,74,-,31,-,9,5,23^^,-,56,-,40,-,-,-,-,-,-,-,-,-,-,-,32,5,8400,50/1,Bet 365,Further details,58
Corey Conners,MC,-,17,1,MC,31,-,-,8,-,12,-,-,-,-,-,-,-,-,65,39,22,53,13,8300,45/1,Bet 365,Further details,MC
Wyndham Clark,27,5,6,-,-,29,3^^,24,1,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,37,8200,50/1,Bet 365,Further details,12
Shane Lowry,35,-,31,-,16,67,-,-,MC,-,12,-,-,MC,-,-,-,15,52,-,39,MC,6,32,8100,45/1,Bet 365,Further details,16
Siwoo Kim,27,-,17,39,29,MC,7^^,-,43,2,MC,29,-,-,-,-,74,WD,29,41,64,18,9,13,8000,70/1,Bet 365,Further details,4
Adam Scott,71,-,31,-,39,31,-,-,5,8,29,-,-,13,4,-,-,31,35,2,-,-,16,67,8000,55/1,Bet 365,Further details,9
Russell Henley,19,-,17,-,4,19,-,-,-,-,MC,16,-,6,MC,MC,33,-,29,-,7,-,MC,-,7900,70/1,Bet 365,Further details,16
Tom Kim,51,-,31,-,16,MC,7^^,-,23,34,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7900,50/1,Bet 365,Further details,MC
Emiliano Grillo,MC,-,70,53,-,7,-,5,23,-,MC,1,-,-,-,-,11,40,23,9,MC,MC,MC,32,7800,90/1,Bet 365,Further details,48
Keegan Bradley,MC,-,28,-,23,48,-,-,35,-,29,-,-,50,37,8,8,MC,23,MC,39,68,MC,37,7800,75/1,Bet 365,Further details,30
Cameron Davis,6,-,17,MC,-,7,-,-,59,-,4,MC,-,-,-,-,-,-,MC,-,MC,-,MC,53,7700,90/1,Bet 365,Further details,MC
Gary Woodland,54,45,-,-,14,31,-,39,14,-,MC,-,-,16,57,MC,4,49,23,52,5,22,MC,MC,7700,90/1,Bet 365,Further details,24
Denny McCarthy,13,19,52,-,-,25,11^^,-,8,-,29,MC,-,-,-,-,-,-,-,-,MC,58,MC,5,7600,90/1,Bet 365,Further details,2
Keith Mitchell,35,-,52,-,53,MC,6^^,-,59,-,58,-,-,-,-,-,-,-,MC,48,MC,22,-,18,7600,80/1,Bet 365,Further details,48
Billy Horschel,MC,-,9,-,52,MC,11^^,-,-,-,MC,40,-,41,15,11,-,MC,MC,9,7,13,67,1,7500,100/1,Bet 365,Further details,MC
Matt Kuchar,MC,-,9,3,-,19,-,-,23,43,MC,-,-,1,15,26,4,4,13,MC,39,32,-,45,7500,90/1,Bet 365,Further details,62
Harris English,MC,-,31,-,43,63,13^^,-,3,-,MC,12,-,-,-,18,-,-,-,-,-,13,-,MC,7500,100/1,Bet 365,Further details,52
Chris Kirk,MC,-,52,10,23,41,-,-,56,-,29,MC,-,MC,4,36,MC,MC,52,-,MC,-,26,53,7400,100/1,Bet 365,Further details,MC
An Byeong-Hun,35,45,-,6,-,-,13^^,33,MC,14,-,21,-,-,-,-,11,25,2,17,MC,MC,MC,-,7400,110/1,Bet 365,Further details,24
Kurt Kitayama,MC,-,5,-,MC,MC,19^^,-,MC,-,4,29,-,-,-,-,-,-,-,-,-,-,-,MC,7400,100/1,Bet 365,Further details,MC
Kyounghoon Lee,MC,19,59,-,23,41,-,-,8,50,29,57,-,-,-,-,-,-,-,37,35,-,65,53,7300,125/1,Bet 365,Further details,MC
Tom Hoge,3,-,59,-,MC,MC,13^^,-,-,43,58,52,-,-,-,-,-,-,13,-,MC,MC,MC,MC,7300,125/1,Bet 365,Further details,65
Brian Harman,44,MC,17,-,MC,7,-,-,MC,-,MC,29,-,MC,MC,-,33,MC,-,27,-,MC,-,18,7200,100/1,Bet 365,Further details,MC
Adam Hadwin,13,MC,31,-,-,MC,2^^,-,MC,34,40,-,-,-,-,57,11,MC,74,52,35,54,MC,18,7200,125/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,13,-,59,28,-,19,MC,-,-,23,MC,21,-,-,-,-,-,-,-,-,-,22,37,-,7200,125/1,Bet 365,Further details,38
Taylor Montgomery,44,-,17,22,-,MC,19^^,-,MC,50,65,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,125/1,Bet 365,Further details,41
Ryan Fox,27,-,17,MC,26,WD,-,-,-,-,23,21,-,-,-,-,-,-,-,MC,-,-,-,-,7100,110/1,Bet 365,Further details,30
Thomas Detry,MC,-,8,64,-,MC,13^^,-,-,7,40,21,-,-,-,-,-,-,-,-,-,-,-,-,7100,150/1,Bet 365,Further details,48
Patrick Rodgers,MC,36,MC,5,-,19,-,10,MC,-,29,57,-,-,-,40,MC,67,8,-,MC,18,MC,MC,7100,140/1,Bet 365,Further details,30
Seamus Power,MC,-,31,-,46,MC,-,-,18,19,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,125/1,Bet 365,Further details,41
Beau Hossler,MC,MC,-,46,-,31,3^^,10,47,-,40,70,-,-,-,-,-,-,44,MC,MC,-,-,32,7000,150/1,Bet 365,Further details,24
Stephan Jaeger,44,27,-,-,-,MC,-,18,27,11,50,68,-,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,24
Nicolai Hojgaard,-,-,2,28,-,-,32^^,33,5,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,150/1,Bet 365,Further details,MC
Hayden Buckley,MC,-,-,10,-,5,26^^,-,43,-,26,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,175/1,Bet 365,Further details,MC
Davis Riley,MC,19,28,WD,-,MC,1^^,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,13,6900,150/1,Bet 365,Further details,54
Adam Svensson,13,-,52,-,MC,41,-,-,27,-,40,-,-,-,-,-,-,-,-,-,-,-,-,45,6900,200/1,Bet 365,Further details,MC
Justin Suh,6,45,31,-,-,73,23^^,-,59,MC,26,16,-,-,-,-,-,-,-,MC,-,-,-,-,6900,200/1,Bet 365,Further details,41
Eric Cole,27,MC,-,39,-,MC^,MC^^,5,MC,23,15,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,200/1,Bet 365,Further details,24
Joseph Bramlett,MC,36,-,MC,-,-,26^^,10,40,19,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,6900,200/1,Bet 365,Further details,16
Adam Schenk,MC,2,-,MC,-,31,-,-,MC,MC,MC,2,-,-,-,-,-,-,-,65,39,-,-,26,6800,175/1,Bet 365,Further details,7
JT Poston,MC,10,9,-,34,MC,-,-,MC,-,40,MC,-,-,-,-,-,-,-,52,-,MC,65,37,6800,200/1,Bet 365,Further details,38
Lucas Herbert,MC,-,9,-,-,63,1,-,-,-,40,MC,-,-,-,-,-,-,-,-,-,-,18,48,6800,125/1,Bet 365,Further details,MC
J.J Spaun,MC,-,9,22,-,MC,26^^,-,27,-,MC,63,-,-,-,-,-,-,MC,MC,52,-,-,-,6800,175/1,Bet 365,Further details,30
Alex Smalley,65,27,-,MC,-,MC,-,MC,18,-,23,40,-,-,-,-,-,-,-,-,-,-,-,MC,6800,175/1,Bet 365,Further details,MC
Garrick Higgo,44,58,-,64,-,48,-,MC,MC,30,-,MC,-,-,-,-,-,-,-,-,-,-,-,18,6700,225/1,Bet 365,Further details,30
William Gordon,54,36,-,MC,-,-,MC^^,24,MC,70,-,52,-,-,-,-,-,-,-,-,-,-,-,-,6700,225/1,Bet 365,Further details,MC
Brendon Todd,27,-,-,53,-,51,26^^,-,8,-,MC,57,-,-,8,17,MC,-,-,-,-,22,53,-,6700,225/1,Bet 365,Further details,WD
Taylor Pendrith,69,-,70,MC,-,MC,13^^,30,MC,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,250/1,Bet 365,Further details,60
Kevin Streelman,MC,27,-,46,-,51,-,MC,18,-,-,9,-,MC,MC,18,8,13,44,4,7,54,13,MC,6700,150/1,Bet 365,Further details,MC
Luke List,MC,MC,-,39,-,MC,23^^,MC,MC,34,-,57,-,-,-,-,-,MC,37,MC,MC,10,MC,26,6600,225/1,Bet 365,Further details,16
Sepp Straka,65,-,59,22,46,MC,-,-,MC,-,7,29,-,-,-,-,-,-,-,-,14,61,MC,45,6600,200/1,Bet 365,Further details,16
Brandon Wu,19,MC,-,58,-,MC,26^^,3,-,23,MC,-,-,-,-,-,-,-,-,-,MC,-,-,69,6600,225/1,Bet 365,Further details,MC
Austin Eckroat,-,MC,5,MC,-,-,MC^^,49,64,2,-,16,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,30
Seonghyeon Kim,MC,45,-,15,-,-,13^^,24,MC,50,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,225/1,Bet 365,Further details,41
Matthew NeSmith,MC,-,-,MC,-,59,4^^,-,35,30,23,48,-,-,-,-,-,-,-,-,MC,MC,MC,37,6500,350/1,Bet 365,Further details,MC
Mackenzie Hughes,MC,-,5,-,29,MC,-,-,MC,14,MC,-,-,-,-,-,-,45,MC,-,48,6,MC,37,6500,275/1,Bet 365,Further details,MC
Mark Hubbard,35,MC,29,MC,-,11,MC^^,18,27,-,75,9,-,-,-,-,MC,-,-,-,WD,72,42,-,6500,300/1,Bet 365,Further details,30
Sam Stevens,-,MC,3,2,-,MC,MC^^,-,47,34,72,29,-,-,-,-,-,-,-,-,-,-,-,-,6500,275/1,Bet 365,Further details,41
Akshay Bhatia,-,MC,24,46,-,MC,MC^^,4,43,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,6500,275/1,Bet 365,Further details,MC
Alexander Noren,MC,-,52,15,MC,-,-,MC,MC,-,MC,29,-,-,-,-,-,-,-,41,-,MC,13,MC,6500,225/1,Bet 365,Further details,52
Joel Dahmen,60,61,50,-,-,MC,11^^,-,MC,-,69,68,-,-,-,-,-,-,-,68,MC,74,32,32,6400,300/1,Bet 365,Further details,MC
David Lipsky,MC,36,-,-,-,MC,13^^,60,MC,MC,-,16,-,-,-,-,-,-,-,48,-,-,-,37,6400,600/1,Bet 365,Further details,12
Robby Shelton IV,MC,MC,-,15,-,-,MC^^,MC,MC,43,-,29,-,-,-,-,-,-,-,-,MC,-,32,-,6400,300/1,Bet 365,Further details,MC
