Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020*,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,1,-,2,-,1,1,-,-,-,8,2,-,-,-,-,-,-,-,-,MC,22,3,-,3,12500,Further details,15/4,Bet 365,Further details
Rory McIlroy,19,-,-,3,22,33,1^^,-,1,12,-,4,-,15,-,4,-,8,MC,-,32,18,18,7,11100,Further details,8/1,Bet 365,Further details
Xander Schauffele,2,5,-,-,8,18,23^^,-,2,1,-,-,-,-,-,-,-,MC,14,14,13,11,18,24,10900,Further details,7/1,Bet 365,Further details
Viktor Hovland,62,-,-,-,MC,-,-,-,24,3,-,-,-,-,-,-,-,-,-,3,48,47,51,1,10200,Further details,18/1,Bet 365,Further details
Collin Morikawa,45,-,-,75,3,9,23^^,-,16,4,4,-,-,-,-,-,-,-,-,1,48,2,MC,WD,9800,Further details,12/1,Bet 365,Further details
Ludvig Aberg,8,-,-,14,2,10,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9500,Further details,18/1,Bet 365,Further details
Patrick Cantlay,68,-,-,-,22,3,23^^,-,29,53,-,-,-,-,-,-,35,4,1,7,32,1,3,30,9400,Further details,22/1,Bet 365,Further details
Justin Thomas,MC,64,-,-,MC,5,-,-,21,8,-,-,-,37,MC,MC,4,8,MC,2,18,42,-,MC,9200,Further details,25/1,Bet 365,Further details
Tommy Fleetwood,35,-,-,7,3,49,-,-,13,26,-,21,-,-,MC,-,MC,-,-,-,-,-,-,-,9100,Further details,33/1,Bet 365,Further details
Hideki Matsuyama,6,-,-,7,39,-,-,-,-,35,-,-,-,1,5,MC,45,13,6,22,MC,62,-,16,9000,Further details,33/1,Bet 365,Further details
Wyndham Clark,2,-,31,-,MC,3,-,-,47,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,37,12,8900,Further details,40/1,Bet 365,Further details
Sahith Theegala,9,-,28,-,45,2,MC^^,-,52,12,-,MC,-,-,-,-,-,-,-,-,-,32,5,58,8800,Further details,35/1,Bet 365,Further details
Max Homa,64,-,-,25,3,55,-,-,8,35,MC,-,-,-,-,-,-,-,37,MC,MC,6,5,-,8700,Further details,40/1,Bet 365,Further details
Jordan Spieth,MC,MC,-,10,MC,39,-,MC,29,43,37,-,-,19,3,57,13,MC,7,MC,13,18,18,5,8600,Further details,40/1,Bet 365,Further details
Corey Conners,13,-,-,25,35,44,11^^,-,13,26,-,6,-,-,-,-,-,-,65,39,22,53,13,MC,8500,Further details,50/1,Bet 365,Further details
An Byeong-Hun,MC,-,-,MC,16,67,-,4,3,43,-,-,-,-,-,11,25,2,17,MC,MC,MC,-,24,8400,Further details,40/1,Bet 365,Further details
Sam Burns,45,MC,-,-,MC,44,-,-,13,MC,-,10,-,-,-,-,-,81,WD,17,-,50,-,16,8300,Further details,50/1,Bet 365,Further details
Matthew Fitzpatrick,5,-,-,10,22,28,11^^,-,52,MC,-,-,-,-,-,-,-,-,68,27,3,MC,MC,9,8200,Further details,45/1,Bet 365,Further details
Alexander Noren,19,-,11,14,-,23,-,3,24,12,-,MC,-,-,-,-,-,-,41,-,MC,13,MC,52,8100,Further details,45/1,Bet 365,Further details
Russell Henley,MC,-,-,4,39,12,-,-,10,23,-,-,-,MC,MC,33,-,29,-,7,-,MC,-,16,8000,Further details,50/1,Bet 365,Further details
Sungjae Im,31,MC,-,-,MC,12,1^,-,4,MC,9,-,-,-,-,-,-,-,57,63,MC,MC,10,41,8000,Further details,45/1,Bet 365,Further details
Shane Lowry,19,29,-,-,43,64,1^^,-,47,6,-,33,-,-,-,-,15,52,-,39,MC,6,32,16,7900,Further details,66/1,Bet 365,Further details
