Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,-,3,1,-,39,WD,-,31,-,1,15,-,-,-,-,-,-,-,-,-,-,-,1,12000,11/4,Bet 365,Further details,2
Tony Finau,-,14,20,-,24,19,-,17,-,26,31,-,-,-,-,-,-,-,-,-,-,-,2,10700,8/1,Bet 365,Further details,1
Wyndham Clark,-,10,33,-,34,27,5,6,-,-,29,3^^,-,-,-,-,-,-,-,-,-,-,67,9700,20/1,Bet 365,Further details,24
Gary Woodland,-,42,9,-,MC,54,45,-,-,14,31,-,-,-,-,-,-,-,-,-,-,-,24,9600,25/1,Bet 365,Further details,39
Nicolai Hojgaard,13,-,5,32,-,-,-,2,28,-,-,32^^,-,-,-,-,-,-,-,-,-,-,-,9500,25/1,Bet 365,Further details,33
Maverick McNealy,WD,WD,-,-,-,60,36,52,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,9400,30/1,Bet 365,Further details,60
Patrick Rodgers,-,14,MC,-,MC,MC,36,MC,5,-,19,-,-,-,-,-,-,-,-,-,-,-,10,9300,30/1,Bet 365,Further details,10
Taylor Pendrith,7,57,-,42,MC,69,-,70,MC,-,MC,13^^,-,-,-,-,-,-,-,-,-,-,-,9200,40/1,Bet 365,Further details,30
An Byeong-Hun,37,-,-,21,WD,35,45,-,6,-,-,13^^,-,-,-,-,-,-,-,-,-,-,-,9100,30/1,Bet 365,Further details,33
Alexander Noren,-,MC,MC,-,61,MC,-,52,15,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,9000,35/1,Bet 365,Further details,MC
Aaron Rai,-,42,29,MC,53,19,-,-,28,-,48,13^^,-,-,-,-,-,-,-,-,-,-,24,8900,55/1,Bet 365,Further details,MC
Beau Hossler,11,14,MC,-,MC,MC,MC,-,46,-,31,3^^,-,-,-,-,-,-,-,-,-,-,-,8800,40/1,Bet 365,Further details,10
Andrew Putnam,MC,MC,MC,-,34,MC,-,9,28,-,59,-,-,-,-,-,-,-,-,-,-,-,MC,8700,45/1,Bet 365,Further details,24
Ben Martin,13,-,-,5,-,54,45,8,10,-,41,MC^^,-,-,21,-,-,-,-,-,-,-,MC,8600,50/1,Bet 365,Further details,46
Emiliano Grillo,-,MC,67,-,39,MC,-,70,53,-,7,-,-,-,-,-,-,-,-,-,-,-,33,8500,45/1,Bet 365,Further details,5
Alex Smalley,65,-,MC,-,MC,65,27,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,6,8400,50/1,Bet 365,Further details,MC
Brandon Wu,2,50,MC,14,-,19,MC,-,58,-,MC,26^^,-,-,-,-,-,-,-,-,-,-,2,8300,50/1,Bet 365,Further details,3
Garrick Higgo,20,MC,-,29,MC,44,58,-,64,-,48,-,-,-,-,-,-,-,-,-,-,-,-,8300,55/1,Bet 365,Further details,MC
Stephan Jaeger,-,MC,40,14,-,44,27,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,15,8200,55/1,Bet 365,Further details,18
Seonghyeon Kim,41,-,33,63,39,MC,45,-,15,-,-,13^^,-,-,-,-,-,-,-,-,-,-,-,8200,60/1,Bet 365,Further details,24
Mark Hubbard,20,MC,MC,42,-,35,MC,29,MC,-,11,MC^^,-,-,-,-,-,-,-,-,-,-,51,8100,70/1,Bet 365,Further details,18
Matt Wallace,-,MC,MC,29,-,MC,7,1,28,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,67,8100,66/1,Bet 365,Further details,MC
MJ Daffue,48,-,-,21,64,-,19,29,15,-,-,26^^,-,-,-,-,-,-,-,-,-,-,-,8000,75/1,Bet 365,Further details,MC
Robby Shelton IV,20,-,-,21,39,MC,MC,-,15,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,8000,55/1,Bet 365,Further details,MC
Lee Hodges,-,MC,18,14,MC,MC,63,-,6,-,41,MC^^,-,-,-,-,-,-,-,-,-,-,51,7900,66/1,Bet 365,Further details,73
William Gordon,WD,-,-,42,70,54,36,-,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,7900,66/1,Bet 365,Further details,24
Luke List,-,MC,29,-,MC,MC,MC,-,39,-,MC,23^^,-,17,-,-,-,-,-,-,-,-,-,7800,90/1,Bet 365,Further details,MC
Joseph Bramlett,7,-,-,55,MC,MC,36,-,MC,-,-,26^^,-,-,29,-,-,-,-,-,-,-,MC,7800,75/1,Bet 365,Further details,10
Nate Lashley,WD,61,20,-,3,60,MC,-,MC,-,31,-,-,-,-,-,-,MC,4,-,-,-,11,7700,90/1,Bet 365,Further details,39
Chez Reavie,-,MC,MC,-,MC,MC,MC,-,6,-,11,-,-,-,-,-,-,-,-,-,-,-,13,7700,80/1,Bet 365,Further details,49
David Lipsky,MC,MC,62,-,65,MC,36,-,-,-,MC,13^^,-,-,-,-,-,-,-,-,-,-,6,7600,90/1,Bet 365,Further details,60
Patton Kizzire,-,MC,MC,-,MC,65,10,-,64,-,31,26^^,-,-,-,-,-,-,-,-,-,-,-,7600,90/1,Bet 365,Further details,MC
Lanto Griffin,58,-,MC,-,-,-,-,16^,15,-,MC,-,-,-,-,-,-,-,13,-,-,-,15,7500,80/1,Bet 365,Further details,66
Eric Cole,15,-,-,2,MC,27,MC,-,39,-,MC^,MC^^,-,-,-,-,-,-,-,-,-,-,-,7500,80/1,Bet 365,Further details,5
Dylan Wu,29,-,-,10,48,35,58,16,39,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,7500,80/1,Bet 365,Further details,15
Francesco Molinari,-,MC,MC,-,14,60,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,90/1,Bet 365,Further details,24
Harry Hall,34,-,-,74,7,-,MC,13,28,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,7400,60/1,Bet 365,Further details,10
Akshay Bhatia,MC^,MC^,-,49,2,-,MC,24,46,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,7400,90/1,Bet 365,Further details,4
Andrew Novak,20,-,-,29,44,MC,27,46,9,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,15,7300,100/1,Bet 365,Further details,49
Doug Ghim,WD,MC,62,-,-,MC,27,16,MC,-,54,MC^^,-,-,-,-,-,-,-,-,-,-,33,7300,100/1,Bet 365,Further details,MC
Kevin Streelman,63,MC,50,-,MC,MC,27,-,46,-,51,-,-,-,-,-,-,-,-,-,-,-,67,7300,90/1,Bet 365,Further details,MC
Michael Kim,11,-,-,MC,5,-,45,26,46,-,-,19^^,-,-,-,-,-,-,-,-,-,-,-,7300,100/1,Bet 365,Further details,30
Charley Hoffman,48,14,-,MC,MC,-,MC,MC,22,-,-,19^^,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,55
Henrik Norlander,MC,-,-,MC,15,-,45,22,60,-,-,23^^,-,-,-,-,-,-,-,-,-,-,-,7200,150/1,Bet 365,Further details,MC
Vincent Norrman,MC,-,-,63,21,-,MC,16,MC,-,-,9^^,-,-,-,-,-,-,-,-,-,-,-,7200,90/1,Bet 365,Further details,18
Harry Higgs,48,-,-,MC,7,-,MC,38,28,-,-,MC^^,-,-,-,-,-,MC,-,3,-,-,-,7200,110/1,Bet 365,Further details,MC
Erik Van Rooyen,MC,50,-,MC,32,-,10,56,MC,-,MC,26^^,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,33
Cameron Champ,35^,MC,MC,-,-,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6,7100,100/1,Bet 365,Further details,8
Adam Long,48,42,50,MC,-,MC,19,MC,MC,-,59,-,-,-,23,-,-,-,-,-,-,-,15,7100,125/1,Bet 365,Further details,18
Peter Malnati,4,MC,20,MC,MC,MC,MC,-,22,-,MC,-,-,-,-,-,-,-,-,-,-,-,15,7100,100/1,Bet 365,Further details,MC
Scott Piercy,MC,WD,50,-,21,MC,-,29,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,33,7100,110/1,Bet 365,Further details,39
Jimmy Walker,MC,MC,-,49,-,-,MC,-,22,-,25,MC^^,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,15
Kevin Chappell,MC,-,-,29,15,-,-,16,39,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,24
Greyson Sigg,55,57,MC,MC,61,MC,57,-,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,33,7000,125/1,Bet 365,Further details,18
Matthias Schmid,MC,-,-,MC,33,-,MC,MC,46,-,-,26^^,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,MC
Augusto Nunez,48,-,-,71,15,-,MC,26,37,-,-,35^^,-,-,-,-,30,MC,2,-,19,-,-,7000,110/1,Bet 365,Further details,69
Sean O'Hair,65,-,-,MC,61,-,19,29,-,-,-,7^^,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,MC
Austin Eckroat,MC,-,-,MC,MC,-,MC,5,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,7000,110/1,Bet 365,Further details,49
Carl Yuan,MC,-,-,MC,MC,-,63,-,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,7000,110/1,Bet 365,Further details,55
Hank Lebioda,15,-,-,MC,21,-,58,64,MC,-,-,34^^,-,-,-,-,-,-,-,-,-,-,29,6900,150/1,Bet 365,Further details,MC
Austin Smotherman,MC,MC,MC,-,-,35,36,-,MC,-,67,MC^^,-,-,-,-,-,-,-,1,-,-,67,6900,110/1,Bet 365,Further details,5
Cameron Percy,WD,-,-,12,MC,-,16,68,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,60
Ryan Gerard,41^,3^,-,4,11,-,71,MC,56,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,33
Lucas Glover,MC,39,MC,-,MC,51,36,-,45,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Matthias Schwab,MC,MC,50,60,-,54,MC,8,MC,-,MC,9^^,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Aaron Baddeley,37,-,-,MC,34,72,-,46,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6900,110/1,Bet 365,Further details,39
Martin Trainer,20,-,-,MC,64,-,MC,22,-,-,-,9^^,-,-,-,-,-,MC,27,-,-,-,11,6800,150/1,Bet 365,Further details,MC
Callum Tarren,65,MC,MC,MC,MC,MC,-,-,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,61,6800,150/1,Bet 365,Further details,MC
Brent Grant,20,-,-,WD,40,-,MC,8,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Benjamin Taylor,MC,-,58,5,53,-,MC,-,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,6800,125/1,Bet 365,Further details,8
Dylan Frittelli,WD,14,MC,29,-,MC,MC,-,MC,-,WD,26^^,-,-,-,-,-,-,-,-,-,-,-,6800,125/1,Bet 365,Further details,MC
Seung-yul Noh,65,WD^,-,MC,29,-,-,38,-,-,-,19^^,-,-,-,-,-,-,-,-,-,-,MC,6800,175/1,Bet 365,Further details,46
Kevin Tway,MC,32,40,63,-,MC,MC,38,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6800,150/1,Bet 365,Further details,MC
Satoshi Kodaira,29,-,-,MC,-,-,-,-,64,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,15,6700,175/1,Bet 365,Further details,49
Brice Garnett,MC,-,-,55,48,-,MC,8,60,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,33,6700,250/1,Bet 365,Further details,33
Chris Stroud,MC,-,-,MC,15,-,-,38,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6700,200/1,Bet 365,Further details,MC
Cody Gribble,70,MC^,-,79,7,-,7,50,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6700,250/1,Bet 365,Further details,55
Tano Goya,55,-,-,55,11,-,MC,35,46,-,-,MC^^,-,-,-,-,-,-,-,-,30,42,-,6700,150/1,Bet 365,Further details,60
Nicolas Echavarria,MC,-,-,MC,1,MC,MC,-,28,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,6700,175/1,Bet 365,Further details,66
Doc Redman,41,MC,MC,MC,-,MC,16,-,MC,-,MC,26^^,-,-,-,-,-,-,-,-,-,-,-,6700,200/1,Bet 365,Further details,MC
Jonathan Byrd,MC,-,-,MC,48,-,MC,16,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,15,6600,250/1,Bet 365,Further details,55
Carson Young,WD,-,-,29,3,-,MC,38,MC,-,19,MC^^,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,15
Brandon Matthews,MC,-,-,55,40,-,MC,35,-,-,-,7^^,-,-,-,-,-,-,-,-,-,37,-,6600,175/1,Bet 365,Further details,MC
Marty Dou Zecheng,MC,-,-,MC,MC,-,69,-,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,49
Trevor Werbylo,58,-,-,49,40,-,27,64,56,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6600,300/1,Bet 365,Further details,30
Martin Laird,-,MC,MC,-,39,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,MC
James Hahn,MC,32,MC,-,-,MC,71,-,MC,-,41,-,-,MC,-,-,-,-,-,-,-,-,MC,6600,300/1,Bet 365,Further details,49
Ryan Armour,58,-,-,63,61,MC,45,-,MC,-,-,MC^^,-,22,29,-,-,-,-,-,-,-,MC,6600,200/1,Bet 365,Further details,MC
Grayson Murray,MC,-,-,MC,15,-,-,MC,-,-,52^,33^^,-,-,-,-,-,-,-,-,-,-,13,6500,500/1,Bet 365,Further details,MC
Bill Haas,WD,-,-,71,11,-,-,24,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,59,6500,500/1,Bet 365,Further details,70
Tyson Alexander,48,-,-,78,MC,MC,65,26,-,-,-,MC^^,-,-,-,-,-,-,-,16,-,-,-,6500,250/1,Bet 365,Further details,MC
Alejandro Tosti,31^,MC^,-,-,-,-,-,25^,7^,-,10^,22^,-,-,-,-,-,-,-,-,-,9,-,6500,250/1,Bet 365,Further details,10
Cristobal Del Solar,41^,13^,-,-,-,-,-,10^,MC^,-,70^,MC^,-,-,-,-,-,-,-,MC,35,MC,-,6500,TBC,Bet 365,Further details,MC
Ryan Moore,7,MC,-,MC,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,33
Kevin Roy,MC,-,-,29,33,-,MC,50,MC,-,MC^,MC^^,-,-,-,-,-,MC,-,-,-,-,-,6500,250/1,Bet 365,Further details,18
Austin Cook,MC,-,-,MC,MC,-,MC,13,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6500,250/1,Bet 365,Further details,39
Kelly Kraft,MC,63,MC,55,-,MC,MC,16,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,15,6400,500/1,Bet 365,Further details,MC
Michael Gligic,MC,-,-,MC,MC,-,MC,68,WD,-,71^,13^^,-,-,-,-,-,-,-,-,-,-,24,6400,500/1,Bet 365,Further details,39
Sunghoon Kang,29,MC^,-,MC,69,-,-,38,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,51,6400,500/1,Bet 365,Further details,MC
