Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,-,-,5,2,3,3,-,3,4,-,-,3,-,-,-,-,-,-,-,-,-,-,8,21,12500,15/2,Bet 365,Further details,23
Rory McIlroy,-,47,-,7,-,7,9,2,7,-,-,1,-,25,60,MC,1,-,5,4,2,MC,46,3,11900,15/2,Bet 365,Further details,6
Jon Rahm,2,-,-,50,-,16,-,10,MC,-,-,-,-,-,-,-,-,-,59,44,MC,11,3,34,11200,12/1,Bet 365,Further details,2
Cameron Smith,7^^,-,-,9,9^^,-,-,4,-,12^^,1^^,-,-,-,-,-,-,-,-,MC,78,20,33,1,10700,16/1,Bet 365,Further details,33
Brooks Koepka,3^^,-,-,1,12^^,-,-,17,-,3^^,17^^,-,-,-,-,MC,67,10,-,6,39,4,6,MC,10400,20/1,Bet 365,Further details,64
Xander Schauffele,-,2,-,18,-,24,-,10,19,-,-,42,-,-,-,-,-,-,-,20,2,41,26,15,10100,25/1,Bet 365,Further details,17
Viktor Hovland,-,43,-,2,16,1,-,19,29,-,-,25,-,-,-,-,-,-,-,-,-,-,12,4,10000,20/1,Bet 365,Further details,13
Patrick Cantlay,-,21,-,9,-,30,-,14,4,-,-,MC,-,-,-,-,-,-,-,-,12,41,MC,8,9900,22/1,Bet 365,Further details,33
Rickie Fowler,-,14,-,MC,6,9,-,5,13,1,-,42,-,5,31,MC,2,30,46,22,28,6,53,-,9800,22/1,Bet 365,Further details,23
Jordan Spieth,-,MC,-,29,MC,5,-,MC,-,-,-,MC,-,-,-,44,36,4,30,1,9,20,2,8,9700,30/1,Bet 365,Further details,23
Collin Morikawa,-,MC,-,26,29,WD,-,14,MC,2,-,-,-,-,-,-,-,-,-,-,-,-,1,MC,9600,30/1,Bet 365,Further details,MC
Matthew Fitzpatrick,-,35,-,MC,-,9,20,17,49,-,-,MC,-,-,-,44,-,-,MC,44,MC,20,26,21,9500,40/1,Bet 365,Further details,41
Tyrrell Hatton,-,3,5,15,-,12,3,27,-,-,-,6,-,-,-,MC,MC,MC,5,MC,51,6,MC,11,9400,22/1,Bet 365,Further details,20
Tommy Fleetwood,-,5,-,18,MC,-,2,5,MC,-,-,6,-,-,-,-,MC,MC,MC,27,12,2,33,4,9300,22/1,Bet 365,Further details,10
Dustin Johnson,25^^,-,-,55,23^^,-,-,10,-,8^^,5^^,-,-,2,9,32,12,49,9,54,MC,51,8,6,9200,30/1,Bet 365,Further details,MC
Shane Lowry,-,MC,-,12,-,16,43,20,19,-,-,12,-,-,-,32,9,MC,MC,MC,MC,1,12,21,9100,28/1,Bet 365,Further details,MC
Cameron Young,-,59,-,MC,-,MC,57,32,60,-,6,-,-,-,-,-,-,-,-,-,-,-,-,2,9000,55/1,Bet 365,Further details,8
Hideki Matsuyama,-,-,23,29,-,16,-,32,13,MC,-,-,-,-,-,6,39,18,MC,14,MC,MC,-,68,8900,66/1,Bet 365,Further details,13
Bryson DeChambeau,22^^,-,-,4,9^^,-,-,20,-,2^^,11^^,-,-,-,-,-,-,-,-,MC,51,MC,33,8,8800,55/1,Bet 365,Further details,60
