Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,-,1,1,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,4,8,MC,2,13200,Further details,4/1,Bet 365,Further details
Rory McIlroy,-,21,21,19,-,-,3,22,33,1^^,-,1,-,8,1,17,MC,22,50,8,33,49,8,7,12000,Further details,7/1,Bet 365,Further details
Jon Rahm,-,5^^,8^^,-,-,-,4^^,45,-,3^^,10^^,-,-,-,-,-,-,58,4,MC,13,8,48,50,11400,Further details,16/1,Bet 365,Further details
Xander Schauffele,-,-,25,2,5,-,-,8,18,23^^,-,2,-,-,-,-,-,MC,35,16,10,MC,13,18,10900,Further details,16/1,Bet 365,Further details
Brooks Koepka,-,12^^,28^^,-,-,-,45^^,45,-,9^^,1^^,-,-,70,15,5,4,13,1,1,29,2,55,1,10800,Further details,14/1,Bet 365,Further details
Ludvig Aberg,-,-,25,8,-,-,14,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10500,Further details,18/1,Bet 365,Further details
Collin Morikawa,-,-,MC,45,-,-,75,3,9,23^^,-,16,-,-,-,-,-,-,-,-,1,8,55,26,10200,Further details,25/1,Bet 365,Further details
Patrick Cantlay,-,-,36,68,-,-,-,22,3,23^^,-,29,-,-,-,-,-,33,27,3,43,23,MC,9,10000,Further details,33/1,Bet 365,Further details
Cameron Smith,-,41^^,2^^,-,-,-,WD^^,6,-,14^^,2^^,-,-,-,-,25,-,MC,56,64,43,59,13,9,9800,Further details,35/1,Bet 365,Further details
Max Homa,-,-,8,64,-,-,25,3,55,-,-,8,-,-,-,-,-,-,-,64,MC,MC,13,55,9700,Further details,28/1,Bet 365,Further details
Bryson DeChambeau,-,4^^,6^^,-,-,-,7^^,6,-,26^^,27^^,-,-,-,-,-,-,33,MC,MC,4,38,-,4,9600,Further details,25/1,Bet 365,Further details
Wyndham Clark,-,-,2,2,-,31,-,MC,3,-,-,47,-,-,-,-,-,-,-,-,MC,75,-,MC,9500,Further details,35/1,Bet 365,Further details
Joaquin Niemann,3^,1^^,4^^,-,-,-,9^^,22,-,3^^,7^^,-,-,-,-,-,-,-,71,MC,MC,30,23,MC,9400,Further details,35/1,Bet 365,Further details
Justin Thomas,-,-,12,MC,64,-,-,MC,5,-,-,21,-,-,-,18,66,1,6,-,37,MC,1,65,9300,Further details,33/1,Bet 365,Further details
Viktor Hovland,-,-,36,62,-,-,-,MC,-,-,-,24,-,-,-,-,-,-,-,-,33,30,41,2,9200,Further details,35/1,Bet 365,Further details
Will Zalatoris,-,-,4,MC,-,74,-,9,44,MC^^,-,60,-,-,-,-,-,-,-,-,-,8,2,-,9100,Further details,50/1,Bet 365,Further details
Cameron Young,-,4,36,54,2,-,-,9,62,-,-,34,-,-,-,-,-,-,-,-,-,-,3,MC,9000,Further details,40/1,Bet 365,Further details
Matthew Fitzpatrick,-,21,MC,5,-,-,10,22,28,11^^,-,52,-,-,-,-,49,MC,MC,41,MC,23,5,MC,8900,Further details,55/1,Bet 365,Further details
Jordan Spieth,-,-,30,MC,MC,-,10,MC,39,-,MC,29,-,MC,MC,2,13,28,12,3,71,30,34,29,8800,Further details,55/1,Bet 365,Further details
Tommy Fleetwood,-,-,MC,35,-,-,7,3,49,-,-,13,-,-,MC,MC,-,61,35,48,29,MC,5,18,8700,Further details,40/1,Bet 365,Further details
Hideki Matsuyama,-,-,12,6,-,-,7,39,-,-,-,-,-,19,35,37,4,5,35,16,22,23,60,29,8600,Further details,45/1,Bet 365,Further details
Sam Burns,-,-,30,45,MC,-,-,MC,44,-,-,13,-,-,-,-,-,-,-,29,-,-,20,MC,8500,Further details,75/1,Bet 365,Further details
Shane Lowry,-,4,3,19,29,-,-,43,64,1^^,-,47,-,57,46,MC,MC,48,12,8,66,4,23,12,8400,Further details,80/1,Bet 365,Further details
Tony Finau,13,-,-,45,MC,2,-,55,12,-,-,52,-,-,-,10,MC,44,42,64,4,8,30,72,8300,Further details,55/1,Bet 365,Further details
Tyrrell Hatton,-,15^^,21^^,-,-,-,4^^,9,-,14^^,5^^,-,-,-,-,25,10,MC,10,48,MC,38,13,15,8200,Further details,50/1,Bet 365,Further details
Sahith Theegala,-,-,6,9,-,28,-,45,2,MC^^,-,52,-,-,-,-,-,-,-,-,-,-,-,40,8100,Further details,60/1,Bet 365,Further details
Patrick Reed,-,37^^,29^^,4^,-,-,9^^,12,-,22^^,14^^,-,-,-,58,30,13,2,MC,MC,13,17,34,18,8000,Further details,125/1,Bet 365,Further details
Dustin Johnson,-,27^^,21^^,-,-,-,24^^,MC,-,31^^,7^^,-,-,8,-,7,MC,13,27,2,2,MC,MC,55,8000,Further details,50/1,Bet 365,Further details
Jason Day,-,-,36,35,-,MC,-,30,18,-,59,4,-,8,15,1,2,9,19,23,4,44,55,MC,7900,Further details,55/1,Bet 365,Further details
Sungjae Im,-,MC,18,31,MC,-,-,MC,12,1^,-,4,-,-,-,-,-,-,42,MC,MC,17,-,MC,7900,Further details,60/1,Bet 365,Further details
An Byeong-Hun,-,21,8,MC,-,-,MC,16,67,-,4,3,-,-,-,MC,MC,28,56,MC,22,49,-,-,7800,Further details,66/1,Bet 365,Further details
Tom Kim,-,62,52,WD,-,-,MC,30,18,-,52,47,-,-,-,-,-,-,-,-,MC,-,MC,MC,7800,Further details,110/1,Bet 365,Further details
Siwoo Kim,-,-,30,6,-,17,-,30,18,-,13,16,-,-,-,-,MC,WD,MC,MC,13,MC,60,MC,7700,Further details,90/1,Bet 365,Further details
MinWoo Lee,-,2,44,54,MC,-,-,22,-,-,24,-,-,-,-,-,-,-,-,-,-,-,MC,18,7700,Further details,66/1,Bet 365,Further details
