Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,-,1,-,-,-,5,-,17,-,6,-,-,-,-,-,-,-,-,MC,7,1,1,11600,9/2,Bet 365,Further details,3
Justin Thomas,4,-,-,3,-,-,-,-,-,3,-,6,-,-,-,17,MC,MC,17,3,3,13,8,4,10000,10/1,Bet 365,Further details,12
Max Homa,1,-,-,13,-,-,-,14,-,-,13,66,-,-,-,-,-,-,-,26,6,42,14,39,9800,14/1,Bet 365,Further details,MC
Sam Burns,-,-,-,16,-,-,-,33,-,6,-,10,-,-,-,-,-,-,-,MC,MC,22,MC,6,9600,18/1,Bet 365,Further details,3
Jordan Spieth,-,-,-,6,-,-,-,3,-,-,-,39,-,-,-,7,-,9,MC,-,MC,4,60,6,9500,16/1,Bet 365,Further details,6
Matthew Fitzpatrick,-,27,-,4,-,-,-,14,MC,-,-,58,-,-,-,-,-,-,-,-,-,-,10,29,9400,30/1,Bet 365,Further details,15
Sungjae Im,-,-,-,-,-,-,-,5,-,25,MC,66,-,-,-,-,-,-,-,7,34,17,-,6,9300,25/1,Bet 365,Further details,66
Cameron Young,-,38,-,15,-,-,-,33,-,3,-,70,-,-,-,-,-,-,-,-,-,-,26,64,9200,35/1,Bet 365,Further details,8
Sahith Theegala,-,31^,-,-,-,-,-,2,MC,-,64,20,-,-,-,-,-,-,-,-,-,-,3,39,9100,35/1,Bet 365,Further details,5
Wyndham Clark,-,37^,-,19,-,-,-,29,-,39,-,1,-,-,-,-,-,-,MC,-,34,36,MC,10,9000,30/1,Bet 365,Further details,41
JT Poston,-,44,-,-,-,-,-,5,6,11,-,20,-,-,-,-,-,-,-,26,37,11,23,MC,8900,33/1,Bet 365,Further details,MC
An Byeong-Hun,-,-,-,-,-,-,-,4,2,-,-,31,-,-,-,-,-,6,23,20,9,53,-,-,8800,30/1,Bet 365,Further details,66
Minwoo Lee,-,15,1,3,-,-,-,-,-,21,43,-,-,-,-,-,-,-,-,-,-,-,-,-,8700,30/1,Bet 365,Further details,71
Tom Kim,-,15,-,-,-,-,-,45,-,MC,-,31,-,-,-,-,-,-,-,-,-,-,-,50,8600,33/1,Bet 365,Further details,17
Eric Cole,-,3,-,-,-,-,-,14,13,21,MC,14,-,-,-,-,-,-,-,-,-,-,-,-,8500,45/1,Bet 365,Further details,49
Hideki Matsuyama,-,10^,-,-,-,-,-,58,30,-,13,71,-,-,4,2,1,1,WD,15,16,42,8,29,8400,45/1,Bet 365,Further details,22
Adam Scott,5,-,6,4,-,-,-,-,-,7,-,20,-,-,-,-,-,-,-,-,-,-,38,-,8300,50/1,Bet 365,Further details,8
Rickie Fowler,-,-,-,17,-,-,-,56,-,MC,-,47,-,MC,MC,46,2,4,11,1,37,MC,MC,10,8200,50/1,Bet 365,Further details,MC
