Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,-,-,-,1,-,1,7,-,3,1,-,39,-,-,-,-,-,-,72,63,12,9,55,11800,17/2,Bet 365,Further details,WD
Rory McIlroy,-,-,-,-,-,-,1,-,32,29,-,2,-,MC,8,6,8,12,35,MC,1,MC,33,11000,9/1,Bet 365,Further details,MC
Scottie Scheffler,-,-,-,7,-,11,-,-,1,12,-,4,-,-,-,-,-,-,-,-,-,MC,55,10600,11/1,Bet 365,Further details,1
Xander Schauffele,-,-,-,WD,-,3,13,-,10,33,-,39,-,-,-,-,-,-,-,2,MC,MC,MC,10000,22/1,Bet 365,Further details,19
Max Homa,4^^,-,-,3,-,-,1,-,39,2,-,14,-,-,-,-,-,-,-,-,-,MC,13,9900,20/1,Bet 365,Further details,6
Patrick Cantlay,-,-,-,16,-,26,-,-,MC,3,-,4,-,-,-,-,-,-,22,23,MC,MC,MC,9700,18/1,Bet 365,Further details,19
Collin Morikawa,-,-,-,2,-,-,3,-,MC,6,-,MC,-,-,-,-,-,-,-,-,-,41,MC,9500,25/1,Bet 365,Further details,13
Justin Thomas,-,-,-,25,-,-,25,-,4,20,-,21,-,-,-,-,24,3,75,11,35,1,33,9400,20/1,Bet 365,Further details,60
Tony Finau,-,-,-,7,-,16,9,-,14,20,-,24,-,-,-,-,-,MC,MC,57,22,MC,MC,9200,25/1,Bet 365,Further details,19
Sungjae Im,-,-,-,13,MC,18,4,-,6,56,42,21,-,-,-,-,-,-,-,-,MC,17,55,9000,35/1,Bet 365,Further details,6
Viktor Hovland,-,-,-,18,-,-,-,13,42,20,-,10,-,-,-,-,-,-,-,-,-,MC,9,8900,25/1,Bet 365,Further details,3
Will Zalatoris,-,-,-,11,-,36,MC,-,-,4,-,53,-,-,-,-,-,-,-,-,-,21,26,8800,30/1,Bet 365,Further details,73
Jordan Spieth,-,-,-,13,MC,-,-,63,6,MC,-,4,-,-,-,4,MC,MC,MC,41,MC,48,MC,8700,30/1,Bet 365,Further details,19
