Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,5,-,17,-,6,3,10,-,-,1,-,-,-,-,-,-,-,-,-,MC,55,1,12800,11/2,Bet 365,Further details,1
Rory McIlroy,-,-,-,2,1,-,66,-,24,-,21,21,-,MC,8,6,8,12,35,MC,1,MC,33,MC,11600,11/1,Bet 365,Further details,19
Xander Schauffele,-,-,10,-,3,9,54,-,4,-,-,25,-,-,-,-,-,-,-,2,MC,MC,MC,19,11300,18/1,Bet 365,Further details,2
Justin Thomas,-,-,-,-,3,-,6,12,MC,-,-,12,-,-,-,-,24,3,75,11,35,1,33,60,10600,22/1,Bet 365,Further details,MC
Patrick Cantlay,-,-,12,-,52,56,11,-,4,-,-,36,-,-,-,-,-,-,22,23,MC,MC,MC,19,10300,20/1,Bet 365,Further details,68
Viktor Hovland,-,-,22,-,-,-,58,-,19,-,-,36,-,-,-,-,-,-,-,-,-,MC,9,3,10100,22/1,Bet 365,Further details,62
Will Zalatoris,-,-,-,MC,34,13,-,-,2,-,-,4,-,-,-,-,-,-,-,-,-,21,26,73,9900,22/1,Bet 365,Further details,MC
Hideki Matsuyama,-,-,58,30,-,13,71,22,1,-,-,12,-,-,-,23,17,7,22,MC,8,MC,-,5,9800,28/1,Bet 365,Further details,6
Wyndham Clark,-,-,29,-,39,-,1,41,MC,-,-,2,-,-,-,-,-,-,-,-,-,MC,MC,27,9700,30/1,Bet 365,Further details,2
Max Homa,-,-,14,-,-,13,66,MC,16,-,-,8,-,-,-,-,-,-,-,-,-,MC,13,6,9600,25/1,Bet 365,Further details,64
Jordan Spieth,-,-,3,-,-,-,39,6,DQ,-,-,30,-,-,-,4,MC,MC,MC,41,MC,48,MC,19,9500,30/1,Bet 365,Further details,MC
Collin Morikawa,-,-,5,-,-,MC,14,-,19,-,-,MC,-,-,-,-,-,-,-,-,-,41,MC,13,9400,28/1,Bet 365,Further details,45
Ludvig Aberg,-,-,47,30,-,9,2,-,19,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,9300,30/1,Bet 365,Further details,8
Sam Burns,-,-,33,-,6,-,10,3,10,-,-,30,-,-,-,-,-,-,-,-,-,MC,26,35,9200,35/1,Bet 365,Further details,45
Shane Lowry,-,-,-,-,MC,25,-,60,-,-,4,3,-,-,-,-,MC,16,MC,46,MC,8,13,35,9100,30/1,Bet 365,Further details,19
Cameron Young,-,-,33,-,3,-,70,8,16,-,4,36,-,-,-,-,-,-,-,-,-,-,MC,51,9000,45/1,Bet 365,Further details,54
Jason Day,-,-,10,-,34,MC,6,-,9,-,-,36,-,MC,19,-,MC,1,60,5,8,35,MC,19,8900,35/1,Bet 365,Further details,35
Tommy Fleetwood,-,-,47,1,14,-,31,-,10,-,-,MC,-,-,-,-,-,-,41,7,5,MC,22,27,8800,40/1,Bet 365,Further details,35
Sahith Theegala,-,-,2,MC,-,64,20,5,37,-,-,6,-,-,-,-,-,-,-,-,-,-,MC,74,8700,45/1,Bet 365,Further details,9
Russell Henley,-,-,52,4,-,-,58,-,24,-,41,4,-,-,MC,17,24,MC,35,MC,MC,MC,13,19,8600,55/1,Bet 365,Further details,MC
Tony Finau,-,-,38,-,25,6,47,-,19,13,-,-,-,-,-,-,-,MC,MC,57,22,MC,MC,19,8500,50/1,Bet 365,Further details,45
Sungjae Im,-,-,5,-,25,MC,66,66,44,-,MC,18,-,-,-,-,-,-,-,-,MC,17,55,6,8400,55/1,Bet 365,Further details,31
Corey Conners,-,-,33,57,-,-,31,28,24,-,41,18,-,-,-,-,-,-,-,-,41,7,26,MC,8300,60/1,Bet 365,Further details,13
Matthew Fitzpatrick,-,-,14,MC,-,-,58,15,MC,-,21,MC,-,-,-,-,-,MC,MC,46,41,9,MC,MC,8200,60/1,Bet 365,Further details,5
An Byeong-Hun,-,-,4,2,-,-,31,66,16,-,21,8,-,-,-,-,-,MC,-,30,26,MC,-,35,8100,66/1,Bet 365,Further details,MC
Tom Kim,-,-,45,-,MC,-,31,17,24,-,62,52,-,-,-,-,-,-,-,-,-,-,-,51,8100,60/1,Bet 365,Further details,WD
MinWoo Lee,-,-,-,-,21,43,-,71,-,-,2,44,-,-,-,-,-,-,-,-,-,-,-,6,8000,55/1,Bet 365,Further details,54
Siwoo Kim,-,-,25,42,25,-,14,12,44,-,-,30,-,-,-,-,-,23,1,63,56,9,WD,27,8000,66/1,Bet 365,Further details,6
Brian Harman,-,-,5,18,70,-,54,60,44,-,-,12,-,51,MC,MC,8,54,53,MC,8,3,63,44,7900,66/1,Bet 365,Further details,2
Keegan Bradley,-,-,45,2,-,43,11,-,MC,-,-,36,-,35,MC,MC,MC,35,60,7,16,29,5,MC,7900,75/1,Bet 365,Further details,MC
Tom Hoge,-,-,38,MC,17,56,6,17,8,-,28,12,-,-,-,-,-,-,-,72,30,22,33,3,7800,75/1,Bet 365,Further details,54
Harris English,-,-,14,10,-,64,76,17,7,-,-,21,-,64,33,MC,MC,MC,MC,MC,MC,-,-,MC,7800,70/1,Bet 365,Further details,19
Eric Cole,-,-,14,13,21,MC,14,49,10,-,MC,21,-,-,-,-,-,-,-,-,-,-,-,27,7700,90/1,Bet 365,Further details,MC
JT Poston,-,-,5,6,11,-,20,MC,10,-,66,55,-,-,-,-,-,-,-,-,22,22,MC,MC,7700,80/1,Bet 365,Further details,45
Adam Scott,-,-,-,-,7,-,20,8,19,-,-,MC,-,15,19,38,38,12,6,11,12,48,MC,71,7600,66/1,Bet 365,Further details,45
Chris Kirk,-,-,1,18,47,-,26,-,MC,-,28,44,-,51,55,13,13,WD,12,46,56,48,MC,MC,7600,90/1,Bet 365,Further details,26
Adam Hadwin,-,-,14,MC,6,-,39,MC,4,-,-,52,-,-,-,-,MC,39,30,57,MC,29,9,13,7500,90/1,Bet 365,Further details,MC
Keith Mitchell,-,-,-,30,9,MC,54,17,-,19,9,-,-,-,-,-,-,-,-,77,47,MC,13,35,7500,90/1,Bet 365,Further details,73
Christiaan Bezuidenhout,-,-,-,-,2,MC,20,28,24,-,MC,44,-,-,-,-,-,-,-,-,-,41,-,13,7400,100/1,Bet 365,Further details,13
Emiliano Grillo,-,-,43,7,-,20,14,22,44,33,-,8,-,-,-,-,-,MC,11,37,26,MC,MC,MC,7400,110/1,Bet 365,Further details,54
Rickie Fowler,-,-,56,-,MC,-,47,MC,35,-,41,36,-,2,MC,77,1,MC,60,MC,47,MC,-,13,7300,100/1,Bet 365,Further details,68
Erik Van Rooyen,-,-,22,52,25,-,20,MC,-,8,2,25,-,-,-,-,-,-,-,-,-,-,13,-,7300,110/1,Bet 365,Further details,MC
Stephan Jaeger,-,-,-,18,52,3,71,-,-,3,MC,44,-,-,-,-,-,-,-,-,-,-,MC,44,7200,110/1,Bet 365,Further details,MC
Alexander Noren,-,-,-,42,25,-,26,53,-,-,9,-,-,-,-,-,-,-,10,17,MC,MC,26,MC,7200,110/1,Bet 365,Further details,19
Jake Knapp,-,-,-,70,MC,3,-,28,-,1,4,57,-,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,45
