Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Sahith Theegala,48,-,-,4,MC,6,-,-,46,48,2,-,-,-,-,-,-,-,-,-,14,47,6,1,10600,Further details,9/1,Bet 365,Further details
Wyndham Clark,9,-,-,10,MC,-,14,-,7,13,8,-,-,-,-,-,-,-,33,MC,MC,30,43,-,10400,Further details,12/1,Bet 365,Further details
Max Homa,61,-,-,70,43,-,-,-,70,33,-,-,-,9,39,-,MC,-,60,62,-,1,1,7,10000,Further details,22/1,Bet 365,Further details
Corey Conners,27,-,-,10,25,-,9,-,50,22,-,-,-,-,-,-,-,30,MC,13,-,-,MC,-,9800,Further details,16/1,Bet 365,Further details
Luke Clanton,-,10,2,37,-,MC,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9500,Further details,22/1,Bet 365,Further details
Maverick McNealy,-,44,MC,-,MC,3,-,45,12,-,-,-,-,-,-,-,-,52,63,52,MC,2,MC,-,9400,Further details,22/1,Bet 365,Further details
Minwoo Lee,-,2,-,73,MC,-,22,MC,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9300,Further details,22/1,Bet 365,Further details
Keith Mitchell,-,MC,18,MC,MC,46,-,12,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,9200,Further details,30/1,Bet 365,Further details
Brendon Todd,36,MC,12,46,31,-,-,12,22,-,-,-,-,26,-,26,-,-,-,MC,-,22,9,6,9100,Further details,35/1,Bet 365,Further details
J.J Spaun,-,10,23,45,29,9,-,3,-,-,-,-,-,-,-,-,55,MC,41,MC,9,MC,59,11,9000,Further details,28/1,Bet 365,Further details
Tom Hoge,3,-,-,MC,72,MC,-,-,46,13,29,-,-,-,MC,MC,-,37,17,MC,29,36,12,-,8900,Further details,33/1,Bet 365,Further details
Harris English,63,-,-,34,50,-,-,-,61,-,-,-,-,-,MC,-,35,MC,66,33,-,-,9,-,8800,Further details,33/1,Bet 365,Further details
Eric Cole,48,6,7,46,31,-,-,7,18,46,-,-,-,-,-,-,-,-,-,-,-,-,MC,4,8700,Further details,35/1,Bet 365,Further details
Patrick Rodgers,16,31,34,-,5,37,-,33,33,-,-,-,-,-,MC,6,MC,43,25,44,46,6,MC,-,8600,Further details,35/1,Bet 365,Further details
