Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Daniel Berger,-,-,-,-,-,39,MC,-,28,-,-,MC,-,-,-,-,-,-,-,2,-,-,-,-,10500,22/1,Bet 365,Further details,MC
Rasmus Hojgaard,-,-,-,-,11,11,2,8,6,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,10200,18/1,Bet 365,Further details,49
Aaron Rai,-,-,-,-,57,MC,33,-,MC,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,9900,22/1,Bet 365,Further details,23
Christopher Gotterup,-,-,-,-,-,MC,50,-,MC,-,WD,35,-,-,-,-,-,-,-,-,-,-,7,-,9700,22/1,Bet 365,Further details,MC
Benjamin Griffin,-,-,-,-,30,9,MC,58,28,37,-,MC,-,-,-,-,-,-,-,49,-,-,-,-,9600,28/1,Bet 365,Further details,55
Chan Kim,-,-,-,-,MC,14,MC,-,-,-,8,28,-,-,-,-,-,-,-,-,-,-,16,-,9500,30/1,Bet 365,Further details,61
Ryo Hisatsune,-,-,-,-,30,11,33,-,MC,-,48,MC,-,-,-,-,-,-,-,-,-,-,-,-,9200,25/1,Bet 365,Further details,18
Robert MacIntyre,-,-,-,-,52,MC,MC,-,MC,-,6,60,-,-,-,-,-,-,-,-,-,-,-,-,9100,40/1,Bet 365,Further details,32
Brandon Wu,-,-,-,-,18,MC,-,47,MC,-,13,MC,-,-,-,-,-,-,-,-,-,7,3,-,9000,28/1,Bet 365,Further details,42
Benjamin Silverman,-,-,-,-,18,MC,56,-,-,-,13,16,-,-,-,-,-,-,-,MC,-,-,-,-,8800,40/1,Bet 365,Further details,42
Nate Lashley,-,-,-,-,MC,MC,3,-,MC,-,MC,MC,-,-,-,-,-,-,-,8,-,-,7,3,8700,33/1,Bet 365,Further details,MC
Michael Kim,-,-,-,-,42,6,37,-,MC,-,MC,MC,-,-,-,-,-,MC,-,-,-,74,16,5,8600,33/1,Bet 365,Further details,23
Victor Perez,-,-,-,-,-,-,MC,-,MC,-,52,16,-,-,-,-,-,-,-,-,-,-,55,-,8500,35/1,Bet 365,Further details,3
Parker Coody,-,-,-,-,74,MC,25,-,-,-,24,47,-,-,-,-,-,-,-,-,-,-,-,-,8400,40/1,Bet 365,Further details,MC
