Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,9,25,3,-,-,11,20,-,2,-,4,-,-,-,-,-,-,-,-,-,-,11,1,7/2,Bet 365,Further details
Sahith Theegala,52,53,57,17,-,-,MC,52,36,67,-,29,-,-,-,-,-,-,-,-,-,70,5,2,70/1,Bet 365,Further details
Patrick Cantlay,-,33,-,5,-,-,31,12,-,-,33,36,-,-,-,-,3,7,3,-,MC,2,3,3,16/1,Bet 365,Further details
Wyndham Clark,-,73,16,31,-,-,22,WD,-,5,-,46,-,-,-,-,-,-,54,64,64,35,29,3,50/1,Bet 365,Further details
Justin Thomas,-,48,6,9,-,-,36,33,2,-,-,36,-,-,11,75,-,-,-,8,-,35,25,5,14/1,Bet 365,Further details
JT Poston,-,53,16,39,-,-,50,33,28,-,26,42,-,-,-,-,-,-,6,8,MC,3,MC,5,50/1,Bet 365,Further details
Patrick Rodgers,56,22,MC,3,25,18,22,MC,-,52,56,-,-,-,-,-,-,-,-,MC,MC,-,19,5,125/1,Bet 365,Further details
Sepp Straka,-,7,15,MC,-,11,5,14,28,-,-,MC,-,-,-,-,-,-,-,33,59,3,MC,5,40/1,Bet 365,Further details
Collin Morikawa,-,17,-,17,-,-,2,10,-,-,-,14,-,-,-,-,-,-,-,64,7,26,31,9,11/1,Bet 365,Further details
Ludvig Aberg,42,WD,-,1,-,-,22,MC,-,-,MC,7,-,-,-,-,-,-,-,-,-,-,-,10,11/1,Bet 365,Further details
Chris Kirk,-,62,MC,-,-,56,22,42,-,-,MC,MC,-,27,69,23,MC,55,MC,-,7,MC,41,10,250/1,Bet 365,Further details
Sungjae Im,4,33,57,MC,-,MC,19,61,-,60,-,5,-,-,-,-,-,-,-,-,-,-,-,12,33/1,Bet 365,Further details
Brian Harman,-,53,25,17,-,32,40,MC,-,-,1,36,-,7,44,MC,9,23,MC,28,13,35,7,12,66/1,Bet 365,Further details
Russell Henley,-,5,-,39,-,6,1,30,-,-,-,MC,-,MC,MC,23,26,-,MC,MC,9,MC,19,12,22/1,Bet 365,Further details
Tony Finau,MC,13,-,5,-,-,36,MC,-,32,56,MC,-,-,MC,39,-,-,-,33,-,-,31,12,80/1,Bet 365,Further details
Austin Eckroat,MC,13,MC,MC,-,MC,34,61,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,17,225/1,Bet 365,Further details
Jason Day,32,13,-,50,-,-,8,-,-,27,-,8,-,-,-,23,-,-,-,MC,-,-,-,18,40/1,Bet 365,Further details
Xander Schauffele,-,-,-,-,-,-,40,72,12,-,-,8,-,-,-,-,-,32,63,64,-,-,4,18,11/1,Bet 365,Further details
Tom Hoge,-,17,MC,54,-,67,40,3,-,-,5,14,-,-,-,-,-,55,MC,MC,25,MC,MC,18,80/1,Bet 365,Further details
Akshay Bhatia,-,22,32,9,9,-,MC,3,-,-,MC,42,-,-,-,-,-,-,-,-,-,-,MC,18,60/1,Bet 365,Further details
Stephan Jaeger,MC,40,-,44,6,-,MC,20,36,11,-,52,-,-,-,-,-,-,-,-,-,MC,MC,18,125/1,Bet 365,Further details
Rickie Fowler,-,53,WD,39,-,18,-,71,-,52,30,-,-,-,-,-,-,-,-,MC,-,MC,15,18,125/1,Bet 365,Further details
Siwoo Kim,MC,12,21,24,-,-,19,38,-,MC,MC,-,-,-,-,14,-,2,MC,MC,33,42,MC,18,66/1,Bet 365,Further details
Harris English,1,73,-,24,-,-,MC,30,-,18,-,12,-,31,-,WD,MC,32,25,17,MC,-,63,28,70/1,Bet 365,Further details
Denny McCarthy,-,58,16,5,-,48,18,14,-,-,18,29,-,-,-,-,-,-,33,MC,13,56,25,28,50/1,Bet 365,Further details
Matthew Fitzpatrick,-,48,MC,49,-,-,22,MC,-,-,MC,40,-,23,-,MC,MC,14,39,14,4,MC,1,28,70/1,Bet 365,Further details
Christiaan Bezuidenhout,-,40,4,39,-,42,19,MC,MC,-,-,MC,-,-,-,-,-,-,-,28,33,-,19,28,175/1,Bet 365,Further details
Thomas Detry,15,48,1,53,-,-,MC,MC,22,47,-,MC,-,-,-,-,-,-,-,-,-,-,MC,28,125/1,Bet 365,Further details
Eric Cole,68,22,MC,MC,-,MC,50,MC,12,15,26,-,-,-,-,-,-,-,-,-,-,-,-,33,150/1,Bet 365,Further details
Lucas Glover,-,3,MC,31,-,MC,36,3,8,-,-,MC,-,MC,18,33,32,32,MC,21,33,48,MC,33,90/1,Bet 365,Further details
Jordan Spieth,-,69,4,MC,-,9,-,59,28,-,12,14,-,12,11,-,-,-,54,68,-,1,2,39,33/1,Bet 365,Further details
Mackenzie Hughes,-,40,36,52,-,MC,22,MC,36,10,-,-,-,-,-,-,-,MC,63,70,52,MC,MC,39,125/1,Bet 365,Further details
Adam Hadwin,-,65,9,MC,-,-,45,MC,MC,39,-,-,-,-,MC,30,22,-,48,41,MC,26,MC,42,300/1,Bet 365,Further details
Justin Rose,MC,3,-,MC,-,-,8,MC,-,-,47,2,-,-,-,-,-,-,-,14,-,-,25,44,66/1,Bet 365,Further details
Corey Conners,-,65,74,24,-,-,3,6,8,-,18,8,-,-,MC,-,-,MC,MC,21,4,12,31,44,22/1,Bet 365,Further details
Sam Burns,-,22,49,24,-,-,48,MC,MC,-,MC,46,-,-,-,-,-,-,9,MC,39,-,15,44,80/1,Bet 365,Further details
Will Zalatoris,-,48,-,24,-,-,22,30,47,-,-,MC,-,-,-,-,-,-,-,-,42,-,-,44,80/1,Bet 365,Further details
Tommy Fleetwood,-,22,-,5,-,-,11,14,16,-,62,21,-,-,-,-,-,-,25,-,MC,10,15,49,28/1,Bet 365,Further details
Nick Taylor,-,33,25,9,-,-,31,MC,-,MC,-,40,-,-,74,76,22,MC,58,-,MC,MC,41,49,150/1,Bet 365,Further details
Cameron Davis,-,5,-,MC,-,-,MC,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,25,3,7,49,250/1,Bet 365,Further details
Matthieu Pavon,MC,73,63,44,-,42,MC,54,47,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,49,750/1,Bet 365,Further details
Max Homa,WD,53,MC,MC,-,-,MC,MC,-,-,MC,12,-,-,-,-,-,-,-,41,-,-,MC,55,100/1,Bet 365,Further details
Keegan Bradley,15,65,-,34,-,-,5,20,-,-,47,MC,-,-,-,-,44,-,-,-,-,-,48,55,66/1,Bet 365,Further details
Jake Knapp,32,33,44,17,25,6,-,12,MC,27,MC,-,-,-,-,-,-,-,-,-,-,-,-,62,TBC,Bet 365,Further details
