Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Tony Finau,26,31,-,1,23,-,72,MC,-,-,32,45,-,-,53,-,1,10900,Further details,12/1,Bet 365,Further details,MC
Collin Morikawa,10,31,MC^^,-,MC,-,26,29,WD,-,14,MC,-,-,-,-,-,10600,Further details,14/1,Bet 365,Further details,2
Rickie Fowler,-,15,-,-,14,-,MC,6,9,-,5,13,-,46,12,32,MC,10400,Further details,14/1,Bet 365,Further details,1
Max Homa,43,MC,MC^^,-,8,-,55,9,-,-,MC,MC,-,42,-,25,24,10200,Further details,18/1,Bet 365,Further details,21
Justin Thomas,MC,25,-,-,14,-,65,-,MC,-,MC,9,-,-,-,-,-,10000,Further details,14/1,Bet 365,Further details,MC
Tom Kim,16,MC,7^^,-,23,34,MC,-,MC,-,8,38,-,-,-,-,7,9800,Further details,20/1,Bet 365,Further details,MC
Hideki Matsuyama,16,-,-,-,-,23,29,-,16,-,32,13,-,13,21,WD,-,9600,Further details,18/1,Bet 365,Further details,MC
Sungjae Im,16,7,6^^,-,8,1^,MC,MC,41,-,MC,29,-,21,53,8,-,9400,Further details,20/1,Bet 365,Further details,24
Cameron Davis,-,7,-,-,59,-,4,MC,MC,-,MC,33,-,MC,MC,1,14,9300,Further details,35/1,Bet 365,Further details,17
Keegan Bradley,23,48,-,-,35,-,29,-,30,-,MC,1,-,-,45,14,44,9200,Further details,33/1,Bet 365,Further details,21
Harris English,43,63,13^^,-,3,-,MC,12,52,-,8,60,-,55,-,-,MC,9000,Further details,40/1,Bet 365,Further details,NR
Stephan Jaeger,-,MC,-,18,27,11,50,68,24,-,-,64,-,MC,-,-,5,8900,Further details,50/1,Bet 365,Further details,9
Brian Harman,MC,7,-,-,MC,-,MC,29,MC,-,43,2,-,MC,MC,-,-,8800,Further details,45/1,Bet 365,Further details,9
Ludvig Aberg,-,-,-,-,-,-,-,-,-,25,-,24,-,-,-,-,-,8700,Further details,50/1,Bet 365,Further details,40
Alex Smalley,-,MC,-,MC,18,-,23,40,MC,25,-,9,-,-,-,-,MC,8600,Further details,55/1,Bet 365,Further details,47
Chris Kirk,23,41,-,-,56,-,29,MC,MC,-,MC,-,-,-,21,12,17,8500,Further details,50/1,Bet 365,Further details,14
Tom Hoge,MC,MC,13^^,-,-,43,58,52,65,-,MC,60,-,64,MC,MC,-,8400,Further details,66/1,Bet 365,Further details,MC
Sepp Straka,46,MC,-,-,MC,-,7,29,16,-,MC,38,-,11,8,MC,MC,8300,Further details,60/1,Bet 365,Further details,64
An Byeong-Hun,-,-,13^^,33,MC,14,-,21,24,-,-,MC,-,13,-,76,-,8200,Further details,66/1,Bet 365,Further details,MC
Adam Hadwin,-,MC,2^^,-,MC,34,40,-,MC,12,59,-,-,-,4,MC,37,8100,Further details,66/1,Bet 365,Further details,2
Austin Eckroat,-,-,MC^^,49,64,2,-,16,30,-,10,24,-,-,-,MC,-,8000,Further details,60/1,Bet 365,Further details,MC
Taylor Moore,39,11,4^^,-,27,-,72,MC,-,-,MC,MC,-,-,-,-,6,7900,Further details,55/1,Bet 365,Further details,4
