Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ludvig Aberg,MC,-,64,14,-,-,4,1,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10900,12/1,Bet 365,Further details,2
Stephan Jaeger,-,34,30,14,20,-,-,-,-,45,-,-,-,-,-,-,-,MC,51,14,MC,-,26,30,10400,20/1,Bet 365,Further details,25
Eric Cole,60,-,30,14,31,25,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,10300,20/1,Bet 365,Further details,35
Emiliano Grillo,-,6,10,-,20,31,29,-,-,-,-,-,-,-,-,-,-,-,-,-,39,35,39,5,10100,25/1,Bet 365,Further details,MC
Keith Mitchell,MC,MC,5,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,MC,-,9900,28/1,Bet 365,Further details,MC
Lucas Herbert,60,MC,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,9600,33/1,Bet 365,Further details,28
Seonghyeon Kim,MC,MC,27,MC,-,-,-,-,MC^,2,-,-,-,-,-,-,-,-,-,-,-,-,-,13,9400,30/1,Bet 365,Further details,MC
Beau Hossler,-,6,13,MC,20,-,-,-,-,30,-,-,-,-,-,-,-,-,10,-,-,57,-,-,9200,40/1,Bet 365,Further details,28
Doug Ghim,MC,-,27,51,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,71,MC,23,58,-,9100,40/1,Bet 365,Further details,MC
Adam Svensson,-,-,37,7,37,15,-,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,-,MC,54,9000,40/1,Bet 365,Further details,16
Alex Smalley,MC,-,-,MC,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,MC,8900,33/1,Bet 365,Further details,16
Mark Hubbard,-,10,MC,MC,66,-,-,-,-,17,-,-,-,-,-,51,54,-,-,-,MC,MC,-,5,8800,40/1,Bet 365,Further details,6
Kyounghoon Lee,72,MC,MC,MC,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,35,MC,46,MC,-,8700,40/1,Bet 365,Further details,MC
Tom Hoge,19,MC,20,-,43,21,-,-,88,14,-,-,-,-,-,35,70,MC,MC,MC,39,28,MC,-,8600,45/1,Bet 365,Further details,13
Sam Ryder,MC,-,7,38,31,-,-,-,-,14,-,-,-,-,-,-,-,-,MC,-,MC,MC,51,45,8500,45/1,Bet 365,Further details,51
Benjamin Griffin,25,MC,20,MC,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,8400,50/1,Bet 365,Further details,2
Lee Hodges,12,MC,1,-,31,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,30,8300,33/1,Bet 365,Further details,43
Davis Thompson,-,-,MC,22,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,35,67,8200,50/1,Bet 365,Further details,16
Garrick Higgo,19,-,13,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8100,50/1,Bet 365,Further details,16
Luke List,35,-,-,-,-,-,-,-,-,25,-,-,-,-,MC,-,28,2,-,-,MC,MC,17,73,8000,40/1,Bet 365,Further details,1
Akshay Bhatia,9,1,-,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,7900,50/1,Bet 365,Further details,43
Nicholas Lindheim,-,-,-,27,10^,23^,-,-,-,-,37^,-,-,-,-,-,-,23,7,26,-,-,-,MC,7900,45/1,Bet 365,Further details,43
Davis Riley,35,MC,-,MC,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,MC,19,7800,40/1,Bet 365,Further details,MC
Alexander Noren,MC,23,13,38,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7800,60/1,Bet 365,Further details,43
Mackenzie Hughes,MC,-,30,MC,58,-,-,-,-,52,-,-,-,-,-,-,-,26,-,-,-,-,35,1,7700,50/1,Bet 365,Further details,MC
Samuel Stevens,-,39,10,MC,37,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,67,7700,55/1,Bet 365,Further details,MC
Kevin Streelman,MC,-,2,MC,-,-,-,-,-,56,-,-,-,-,-,-,MC,18,10,MC,4,-,31,24,7600,60/1,Bet 365,Further details,MC
Brandon Wu,MC,-,57,58,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,39,7600,60/1,Bet 365,Further details,62
Dylan Wu,MC,-,5,51,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,MC,67,7600,50/1,Bet 365,Further details,MC
Greyson Sigg,-,MC,MC,38,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,MC,9,7500,50/1,Bet 365,Further details,MC
Callum Tarren,MC,-,13,MC,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,MC,13,7500,40/1,Bet 365,Further details,43
Nate Lashley,-,-,57,51,-,-,-,-,-,30,-,-,-,-,-,-,-,-,MC,20,-,MC,17,61,7500,66/1,Bet 365,Further details,MC
David Lipsky,-,34,43,45,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,7500,66/1,Bet 365,Further details,51
Nick Hardy,-,63,13,27,49,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,26,5,7400,60/1,Bet 365,Further details,35
Erik Van Rooyen,68,6,MC,MC,-,-,-,8,16,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,16
Peter Kuest,MC,59,50,45,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,66/1,Bet 365,Further details,25
Webb Simpson,-,-,-,5,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,NR
Chez Reavie,-,55,MC,27,-,-,-,-,-,66,-,-,-,-,62,-,-,-,-,-,-,46,MC,MC,7400,70/1,Bet 365,Further details,MC
Hayden Buckley,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,4,19,7300,40/1,Bet 365,Further details,MC
Kevin Yu,MC,-,37,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,19,7300,66/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,MC,49,MC,51,-,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,39,7300,66/1,Bet 365,Further details,6
Grayson Murray,7,MC,57,-,64^,MC^,26^,-,-,1^,WD^,-,-,-,-,-,-,8,-,WD,MC,53,-,-,7300,80/1,Bet 365,Further details,NR
Cameron Champ,-,17,-,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,1,28,-,-,-,7300,66/1,Bet 365,Further details,9
Scott Stallings,MC,60,-,62,-,-,-,-,-,56,-,-,-,1,-,-,28,MC,43,39,28,6,MC,13,7200,90/1,Bet 365,Further details,2
Peter Malnati,52,MC,MC,MC,-,-,-,-,-,11,-,-,-,-,-,-,1,68,34,MC,45,2,51,45,7200,75/1,Bet 365,Further details,51
Troy Merritt,MC,50,MC,58,-,-,-,-,-,7,-,-,-,-,-,MC,-,11,MC,-,-,MC,-,-,7200,90/1,Bet 365,Further details,9
Sam Bennett,-,MC,MC,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,80/1,Bet 365,Further details,MC
Chad Ramey,44,17,53,MC,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,26,-,-,63,MC,7200,66/1,Bet 365,Further details,16
Chesson Hadley,-,6,27,33,-,-,-,-,-,62,-,-,-,-,-,-,-,MC,2,-,MC,MC,45,MC,7200,90/1,Bet 365,Further details,35
Vincent Whaley,MC,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,45,64,65,61,7100,125/1,Bet 365,Further details,28
MJ Daffue,16,34,43,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,12,-,61,7100,80/1,Bet 365,Further details,MC
Carson Young,-,43,MC,67,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,77,7100,75/1,Bet 365,Further details,MC
Andrew Novak,33,MC,MC,33,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,58,-,7100,80/1,Bet 365,Further details,MC
Martin Laird,-,20,2,58,-,-,-,-,-,19,-,-,-,-,-,MC,MC,-,-,7,MC,28,MC,MC,7100,90/1,Bet 365,Further details,56
Matthias Schmid,44,MC,20,22,-,-,MC,24,79,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,125/1,Bet 365,Further details,MC
Matthew NeSmith,-,28,MC,62,58,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,17,MC,9,7000,90/1,Bet 365,Further details,25
Justin Lower,44,MC,43,MC,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,45,7000,125/1,Bet 365,Further details,MC
Robby Shelton IV,MC,-,MC,MC,-,-,-,-,-,19,-,-,-,-,-,-,-,70,-,-,28,MC,-,61,7000,100/1,Bet 365,Further details,MC
C.T. Pan,MC,-,70,64,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,12,11,67,7000,90/1,Bet 365,Further details,9
Lanto Griffin,-,-,MC,-,20^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,11,-,MC,-,7000,125/1,Bet 365,Further details,28
Ryan Palmer,-,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,80/1,Bet 365,Further details,68
Zac Blair,MC,-,13,MC,-,-,-,-,-,52,-,-,-,-,-,MC,-,-,18,-,MC,MC,-,MC,7000,125/1,Bet 365,Further details,MC
Joel Dahmen,-,10,MC,64,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,51,-,-,-,51,13,6900,100/1,Bet 365,Further details,13
William Gordon,25,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,53,-,30,6900,90/1,Bet 365,Further details,MC
Marty Dou Zecheng,44,39,MC,51,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,54,6900,150/1,Bet 365,Further details,12
Austin Smotherman,MC,MC,MC,27,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,67,6900,150/1,Bet 365,Further details,MC
Harry Hall,60,MC,MC,MC,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6900,90/1,Bet 365,Further details,MC
Trey Mullinax,-,MC,50,67,-,-,-,-,-,-,-,-,-,-,-,-,73,57,WD,MC,-,-,4,MC,6900,90/1,Bet 365,Further details,MC
Tyler Duncan,MC,-,20,38,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,-,14,MC,6900,125/1,Bet 365,Further details,16
Russell Knox,33,47,53,MC,-,-,-,-,-,30,-,-,-,21,17,35,-,-,-,-,-,MC,29,24,6800,150/1,Bet 365,Further details,28
Charley Hoffman,MC,31,MC,12,-,-,-,-,-,MC,-,-,-,-,-,35,-,-,-,-,23,6,39,-,6800,150/1,Bet 365,Further details,MC
Jimmy Walker,MC,-,MC,MC,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,MC,46,45,MC,6800,125/1,Bet 365,Further details,43
Ryan Moore,14,MC,MC,MC,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,6800,150/1,Bet 365,Further details,MC
Patton Kizzire,62,-,MC,MC,-,-,-,-,-,56,-,-,-,-,-,-,4,MC,10,-,MC,59,MC,MC,6800,125/1,Bet 365,Further details,MC
Carl Yuan,MC,34,MC,73,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6800,175/1,Bet 365,Further details,6
Ben Martin,42,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,29,-,18,59,-,MC,-,-,MC,6800,110/1,Bet 365,Further details,16
