Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Keith Mitchell,MC,MC,46,-,12,-,-,-,-,12,-,-,-,-,-,-,-,MC,-,-,MC,MC,-,MC,10400,Further details,22/1,Bet 365,Further details
Seamus Power,65,-,37,-,28,10,-,-,-,26,-,-,-,-,-,-,29,18,19,MC,-,MC,30,-,10200,Further details,25/1,Bet 365,Further details
Mackenzie Hughes,46,16,19,-,28,58,-,-,-,4,-,-,-,-,-,-,26,-,-,-,-,35,1,MC,10000,Further details,25/1,Bet 365,Further details
J.J Spaun,45,29,9,-,3,-,-,-,-,26,-,-,-,-,-,-,MC,34,-,36,MC,68,-,-,9900,Further details,28/1,Bet 365,Further details
Maverick McNealy,-,MC,3,-,45,12,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,17,-,-,-,9800,Further details,25/1,Bet 365,Further details
Nick Dunlap,-,1,MC,-,MC,5,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9700,Further details,33/1,Bet 365,Further details
Benjamin Griffin,39,MC,MC,-,7,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,2,9500,Further details,33/1,Bet 365,Further details
Patrick Fishburn,15,3,6,-,MC,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9400,Further details,30/1,Bet 365,Further details
Eric Cole,46,31,-,-,7,18,46,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,35,9200,Further details,33/1,Bet 365,Further details
Patrick Rodgers,-,5,37,-,33,33,-,-,-,37,-,-,-,-,-,20,-,-,14,61,MC,MC,54,-,9100,Further details,33/1,Bet 365,Further details
Stephan Jaeger,-,MC,-,26,MC,40,39,-,-,-,-,-,-,-,-,-,MC,51,14,MC,-,26,30,25,9000,Further details,35/1,Bet 365,Further details
Chan Kim,10,29,MC,-,12,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8900,Further details,35/1,Bet 365,Further details
Matt McCarty,-,1^,26^,2^,1^,9^,1^,-,-,35^,5^,-,-,-,-,-,-,-,-,-,-,-,-,-,8800,Further details,40/1,Bet 365,Further details
Adam Svensson,-,MC,37,-,7,-,-,-,-,13,-,-,-,-,-,-,-,-,39,MC,-,MC,54,16,8700,Further details,35/1,Bet 365,Further details
Jhonattan Vegas,-,-,1,-,61,40,-,-,-,32,-,-,-,-,-,4,-,-,MC,-,MC,-,-,-,8600,Further details,33/1,Bet 365,Further details
Matt Kuchar,-,-,3,-,12,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8500,Further details,40/1,Bet 365,Further details
Samuel Stevens,57,29,64,-,MC,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,67,MC,8400,Further details,40/1,Bet 365,Further details
Harris English,34,50,-,-,-,61,-,-,-,MC,-,-,-,-,-,-,-,MC,39,6,-,-,MC,-,8300,Further details,35/1,Bet 365,Further details
Beau Hossler,-,MC,MC,-,12,-,-,-,-,MC,-,-,-,-,-,-,-,10,-,-,57,-,-,28,8200,Further details,45/1,Bet 365,Further details
Mark Hubbard,MC,17,-,-,MC,61,-,-,-,MC,MC,-,-,-,51,54,-,-,-,MC,MC,-,5,6,8100,Further details,55/1,Bet 365,Further details
Rico Hoey,2,8,67,-,22,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8000,Further details,50/1,Bet 365,Further details
Mac Meissner,16,4,59,-,12,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8000,Further details,45/1,Bet 365,Further details
Justin Lower,67,-,33,-,33,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,45,MC,7900,Further details,55/1,Bet 365,Further details
Doug Ghim,MC,-,24,-,41,-,-,-,-,47,-,-,-,-,-,-,-,-,71,MC,23,58,-,MC,7900,Further details,45/1,Bet 365,Further details
Charley Hoffman,57,8,59,-,12,-,-,-,-,26,-,-,-,-,35,-,-,-,-,23,6,39,-,MC,7800,Further details,60/1,Bet 365,Further details
Andrew Novak,70,-,24,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,MC,7800,Further details,45/1,Bet 365,Further details
Rickie Fowler,MC,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7700,Further details,80/1,Bet 365,Further details
Emiliano Grillo,MC,43,24,43,59,33,-,-,-,-,-,-,-,-,-,-,-,-,-,39,35,39,5,MC,7700,Further details,50/1,Bet 365,Further details
Lucas Glover,MC,MC,-,-,MC,-,-,-,-,13,-,-,-,-,22,39,5,-,14,MC,MC,58,-,-,7600,Further details,55/1,Bet 365,Further details
Taylor Moore,MC,MC,12,-,52,66,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,17,24,-,7600,Further details,60/1,Bet 365,Further details
Ryan Fox,57,25,-,WD,MC,-,-,-,-,MC,61,-,-,-,-,-,-,-,-,-,-,-,-,-,7600,Further details,66/1,Bet 365,Further details
Henrik Norlander,25,11,12,-,MC,-,-,53,8,61,-,-,-,72,-,39,-,-,-,MC,4,4,24,2,7500,Further details,70/1,Bet 365,Further details
C.T. Pan,-,MC,-,18,WD,-,-,-,-,WD,-,-,-,-,-,-,MC,-,-,-,12,11,67,9,7500,Further details,50/1,Bet 365,Further details
Chandler Phillips,MC,-,MC,-,38,-,-,-,-,13,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,7500,Further details,66/1,Bet 365,Further details
Luke List,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,MC,-,28,2,-,-,MC,MC,17,73,1,7400,Further details,55/1,Bet 365,Further details
Cameron Champ,MC,50,12,-,45,-,-,-,-,MC,-,-,-,-,-,-,-,-,1,28,-,-,-,9,7400,Further details,66/1,Bet 365,Further details
Jacob Bridgeman,MC,MC,19,-,12,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,Further details,80/1,Bet 365,Further details
Matthias Schmid,MC,57,12,26,64,-,-,-,17,58,40,-,-,-,-,-,-,-,-,-,-,-,MC,MC,7400,Further details,70/1,Bet 365,Further details
Christopher Gotterup,MC,-,59,-,22,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,Further details,80/1,Bet 365,Further details
Daniel Berger,MC,WD,MC,-,45,-,-,-,-,MC,-,-,-,-,51,-,-,-,-,-,-,-,-,-,7300,Further details,100/1,Bet 365,Further details
Michael Kim,MC,24,MC,-,WD,-,-,-,-,MC,-,-,-,-,-,63,-,-,-,WD,MC,-,MC,-,7300,Further details,80/1,Bet 365,Further details
Patton Kizzire,50,8,MC,-,MC,-,-,-,-,1,-,-,-,-,-,4,MC,10,-,MC,59,MC,MC,MC,7300,Further details,80/1,Bet 365,Further details
Joel Dahmen,MC,MC,MC,-,64,-,-,-,-,50,-,-,-,-,-,-,MC,51,-,-,-,51,13,13,7200,Further details,125/1,Bet 365,Further details
Vincent Whaley,MC,2,-,-,63,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,45,64,65,61,28,7200,Further details,80/1,Bet 365,Further details
Chesson Hadley,MC,24,MC,-,MC,-,-,-,-,50,-,-,-,-,-,-,MC,2,-,MC,MC,45,MC,35,7200,Further details,90/1,Bet 365,Further details
Michael Thorbjornsen,MC,61,MC,-,MC,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,110/1,Bet 365,Further details
Ben Kohles,46,-,24,-,MC,-,-,-,-,64,-,-,-,40,-,-,-,-,-,-,-,MC,-,-,7200,Further details,90/1,Bet 365,Further details
Nick Hardy,59,MC,46,-,38,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,26,5,35,7100,Further details,100/1,Bet 365,Further details
Joseph Bramlett,MC,44,37,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,44,58,45,-,7100,Further details,100/1,Bet 365,Further details
Greyson Sigg,MC,MC,MC,-,MC,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,MC,9,MC,7100,Further details,90/1,Bet 365,Further details
Zac Blair,2,MC,MC,-,45,-,-,-,-,13,-,-,-,-,MC,-,-,18,-,MC,MC,-,MC,MC,7100,Further details,110/1,Bet 365,Further details
Kevin Yu,MC,MC,73,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,MC,7100,Further details,100/1,Bet 365,Further details
Sami Valimaki,MC,MC,-,45,-,12,-,MC,-,9,57,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details
Justin Suh,MC,11,19,-,52,-,-,-,-,37,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,7000,Further details,100/1,Bet 365,Further details
David Skinns,MC,-,24,-,MC,-,-,-,-,44,-,-,-,-,-,-,-,53,-,-,-,MC,-,-,7000,Further details,100/1,Bet 365,Further details
Pierceson Coody,2,-,72,-,61,-,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Gary Woodland,67,50,37,-,28,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,7000,Further details,90/1,Bet 365,Further details
Trace Crowe,MC,MC,24,-,7,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Chad Ramey,45,13,24,-,52,-,-,-,-,58,-,-,-,-,-,-,-,-,26,-,-,63,MC,16,6900,Further details,125/1,Bet 365,Further details
Alex Smalley,37,33,12,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,31,MC,16,6900,Further details,100/1,Bet 365,Further details
Zach Johnson,-,MC,53,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,23,MC,-,-,6900,Further details,110/1,Bet 365,Further details
Davis Riley,MC,-,46,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,MC,19,MC,6900,Further details,125/1,Bet 365,Further details
Dylan Wu,31,MC,53,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,67,MC,6900,Further details,100/1,Bet 365,Further details
Kyounghoon Lee,WD,WD,9,-,41,-,-,-,-,MC,-,-,-,-,-,-,-,-,35,MC,46,MC,-,MC,6900,Further details,110/1,Bet 365,Further details
Garrick Higgo,63,MC,MC,-,MC,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,3,16,6800,Further details,110/1,Bet 365,Further details
Peter Malnati,-,65,MC,-,MC,59,-,-,-,-,MC,-,-,-,-,1,68,34,MC,45,2,51,45,51,6800,Further details,110/1,Bet 365,Further details
Adam Schenk,-,MC,59,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,43,7,36,32,MC,MC,-,6800,Further details,125/1,Bet 365,Further details
Hayden Springer,37,MC,59,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details
Ryo Hisatsune,MC,MC,MC,-,3,MC,-,-,77,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details
Nate Lashley,-,38,MC,-,59,-,-,-,-,MC,-,-,-,-,-,-,-,MC,20,-,MC,17,61,MC,6800,Further details,125/1,Bet 365,Further details
Matthew NeSmith,2,MC,9,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,17,MC,9,25,6700,Further details,125/1,Bet 365,Further details
Sam Ryder,25,38,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,MC,MC,51,45,51,6700,Further details,125/1,Bet 365,Further details
Joe Highsmith,MC,MC,44,-,MC,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,125/1,Bet 365,Further details
Taylor Montgomery,74,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,9,-,6700,Further details,125/1,Bet 365,Further details
Carson Young,MC,MC,71,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,77,MC,6700,Further details,125/1,Bet 365,Further details
Seonghyeon Kim,55,17,MC,-,66,-,-,-,MC^,MC,-,-,-,-,-,-,-,-,-,-,-,-,13,MC,6700,Further details,125/1,Bet 365,Further details
Trey Mullinax,-,-,-,-,17^,MC^,-,-,-,MC,-,-,-,-,-,73,57,WD,MC,-,-,4,MC,MC,6700,Further details,125/1,Bet 365,Further details
Lee Hodges,46,-,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,45,30,43,6600,Further details,110/1,Bet 365,Further details
Bud Cauley,-,-,MC,-,MC,-,-,-,-,32,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,6600,Further details,125/1,Bet 365,Further details
Nicolas Echavarria,MC,-,-,35,22,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6600,Further details,175/1,Bet 365,Further details
Austin Smotherman,21,-,53,MC^,MC^,-,64^,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,67,MC,6600,Further details,225/1,Bet 365,Further details
