Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,4,1,-,4,-,10,11,-,-,-,5,2,-,-,-,-,-,-,-,-,-,55,MC,2,11500,9/2,Bet 365,Further details,3
Tony Finau,24,19,-,17,-,26,31,-,1,23,-,72,-,-,-,-,19,34,29,-,2,23,20,4,10700,14/1,Bet 365,Further details,MC
Viktor Hovland,10,3,-,31,-,7,59,-,-,43,-,2,-,-,-,-,-,-,-,-,-,23,-,21,10600,16/1,Bet 365,Further details,16
Collin Morikawa,MC,13,-,28,-,10,31,MC^^,-,MC,-,26,-,-,-,-,-,-,-,-,-,2,14,40,10400,18/1,Bet 365,Further details,29
Max Homa,14,6,-,9,-,43,MC,MC^^,-,8,-,55,-,-,-,-,MC,-,-,-,27,MC,-,23,10100,20/1,Bet 365,Further details,9
Jordan Spieth,4,19,3,31,-,4,2,-,-,MC,-,29,-,-,7,14,2,1,2,32,8,10,2,7,9900,12/1,Bet 365,Further details,MC
Sam Burns,MC,35,6,1,-,29,15,11^^,-,MC,-,MC,-,-,-,-,-,-,-,MC,31,-,-,1,9700,25/1,Bet 365,Further details,6
Sungjae Im,21,6,-,17,-,16,7,6^^,-,8,1^,MC,-,-,-,-,-,-,-,-,MC,10,MC,15,9500,20/1,Bet 365,Further details,MC
Justin Rose,MC,6,36,-,-,16,25,-,-,-,-,9,-,-,-,-,-,-,-,1,58,3,20,MC,9300,28/1,Bet 365,Further details,12
Tommy Fleetwood,61,27,3,52,-,33,15,-,-,5,-,18,-,-,-,-,-,-,-,-,-,-,-,35,9200,30/1,Bet 365,Further details,MC
Chris Kirk,39,MC,-,52,10,23,41,-,-,56,-,29,-,5,35,14,1,15,67,11,-,60,69,15,9100,45/1,Bet 365,Further details,MC
Siwoo Kim,39,27,-,17,39,29,MC,7^^,-,43,2,MC,-,-,-,-,-,MC,MC,66,MC,MC,WD,-,9000,45/1,Bet 365,Further details,29
Rickie Fowler,31,13,-,17,10,-,15,-,-,14,-,MC,-,5,54,122,-,-,-,14,MC,MC,-,57,8900,25/1,Bet 365,Further details,6
Russell Henley,53,19,-,17,-,4,19,-,-,-,-,MC,-,-,-,-,-,-,-,58,-,-,-,-,8800,40/1,Bet 365,Further details,16
Denny McCarthy,-,13,19,52,-,-,25,11^^,-,8,-,29,-,-,-,-,-,-,-,-,MC,66,MC,27,8700,60/1,Bet 365,Further details,MC
Cameron Davis,MC,6,-,17,MC,-,7,-,-,59,-,4,-,-,-,-,-,-,-,-,-,MC,45,7,8600,40/1,Bet 365,Further details,MC
Tom Hoge,MC,3,-,59,-,MC,MC,13^^,-,-,43,58,-,-,-,-,-,17,-,42,40,MC,MC,MC,8500,60/1,Bet 365,Further details,52
