Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022 DraftKings,New Account Offer,2022 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,-,-,-,-,-,45,-,3,9,-,-,2,-,-,-,-,-,-,-,-,-,-,13,-,10300,Further details,10/1,Bet 365,Further details,7
Jon Rahm,-,-,-,1,-,4,-,-,-,1,-,8,-,-,-,-,-,-,-,2,8,10,7,2,10000,Further details,13/2,Bet 365,Further details,1
Justin Thomas,-,-,-,-,-,40,-,-,-,-,-,5,-,-,-,-,-,21,1,22,3,1,3,5,9900,Further details,11/1,Bet 365,Further details,25
Patrick Cantlay,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,4,13,4,9700,Further details,12/1,Bet 365,Further details,16
Xander Schauffele,-,-,-,-,9,-,-,-,-,-,-,4,-,-,-,-,-,-,-,22,1,2,5,12,9500,Further details,11/1,Bet 365,Further details,WD
Collin Morikawa,-,-,-,-,45,29,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,7,7,5,9400,Further details,18/1,Bet 365,Further details,2
Tony Finau,-,-,-,-,-,-,-,MC,1,-,-,7,-,-,-,-,-,-,9,-,-,-,31,19,9300,Further details,16/1,Bet 365,Further details,7
Matthew Fitzpatrick,2,-,22,-,MC,13,-,-,-,5,-,13,-,-,-,-,-,-,-,-,-,-,-,-,9100,Further details,18/1,Bet 365,Further details,7
Will Zalatoris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8900,Further details,33/1,Bet 365,Further details,11
Cameron Young,-,-,-,-,53,23,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,8800,Further details,18/1,Bet 365,Further details,13
Joohyung Kim,-,-,-,1,25,11,-,-,-,4^,-,10,-,-,-,-,-,-,-,-,-,-,-,-,8700,Further details,25/1,Bet 365,Further details,5
Max Homa,1,-,-,20,-,23,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,25,-,15,8600,Further details,35/1,Bet 365,Further details,3
Viktor Hovland,34,-,-,-,5,21,-,10,-,23,-,1,-,-,-,-,-,-,-,-,-,-,31,30,8500,Further details,20/1,Bet 365,Further details,18
Sam Burns,-,-,30,-,-,7,-,-,WD,-,-,12,-,-,-,-,-,-,-,-,-,-,-,19,8400,Further details,28/1,Bet 365,Further details,32
Sungjae Im,-,-,-,7,29,34,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,5,8,8300,Further details,22/1,Bet 365,Further details,13
Jordan Spieth,-,-,-,-,-,52,-,-,-,-,-,15,-,-,-,2,-,1,3,9,-,-,-,21,8200,Further details,28/1,Bet 365,Further details,13
Hideki Matsuyama,25,-,-,-,40,34,-,-,WD,-,-,-,-,-,-,-,3,-,2,4,-,-,41,13,8100,Further details,33/1,Bet 365,Further details,21
Brian Harman,-,-,-,15,-,23,-,2,-,2,-,-,-,-,-,-,17,-,-,3,-,-,-,-,8000,Further details,40/1,Bet 365,Further details,16
Billy Horschel,-,-,10,-,-,7,-,56,-,-,-,13,-,-,-,6,22,-,-,11,25,-,24,23,7900,Further details,40/1,Bet 365,Further details,30
Corey Conners,MC,-,-,-,25,23,-,-,-,11^,-,16,-,-,-,-,-,-,-,-,-,19,-,-,7800,Further details,35/1,Bet 365,Further details,18
