Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Tom Kim,25,11,-,-,-,4^,-,10,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,10500,12/1,Bet 365,Further details,MC
Sungjae Im,29,34,-,-,-,-,-,8,-,-,-,13,-,-,-,-,-,-,-,-,-,16,21,56,MC,10300,14/1,Bet 365,Further details,MC
Hideki Matsuyama,40,34,-,-,WD,-,-,-,-,-,-,21,-,MC,MC,MC,-,78,-,27,-,51,12,19,1,10100,16/1,Bet 365,Further details,48
Jordan Spieth,-,52,-,-,-,-,-,15,-,-,-,13,-,-,-,-,MC,-,-,3,18,MC,-,-,-,10000,16/1,Bet 365,Further details,MC
Tom Hoge,9,13,-,MC,-,MC,-,-,1^^,-,-,3,-,-,-,-,-,71,MC,-,3,MC,12,MC,MC,9900,28/1,Bet 365,Further details,41
Russell Henley,-,45,-,1,MC,-,-,-,-,-,-,30,-,-,-,1,51,17,MC,13,MC,66,MC,11,2,9800,20/1,Bet 365,Further details,31
Brian Harman,-,23,-,2,-,2,-,-,8^^,-,-,16,-,-,59,MC,32,13,13,20,4,MC,32,56,48,9700,25/1,Bet 365,Further details,31
Corey Conners,25,23,-,-,-,11^,-,16,8^^,-,-,18,-,-,-,-,-,-,-,-,39,3,12,-,11,9600,25/1,Bet 365,Further details,12
Billy Horschel,-,7,-,56,-,-,-,13,10^^,-,-,30,-,-,-,54,-,-,-,68,-,-,-,7,36,9500,28/1,Bet 365,Further details,MC
Keegan Bradley,1,21,-,-,-,-,-,-,-,-,-,34,-,68,13,49,-,-,MC,MC,39,29,12,MC,12,9300,30/1,Bet 365,Further details,MC
Maverick Mcnealy,12,18,-,10,27,-,-,-,10^^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9100,33/1,Bet 365,Further details,7
Taylor Montgomery,-,13,-,10,57,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9000,30/1,Bet 365,Further details,12
Kyounghoon Lee,59,3,-,42,-,-,-,-,8^^,-,-,7,-,-,-,-,-,-,-,-,-,MC,MC,19,48,8700,35/1,Bet 365,Further details,27
Adam Scott,-,6^,-,-,-,-,28,2,-,-,-,29,-,MC,-,-,8,-,56,-,-,MC,-,41,-,8600,33/1,Bet 365,Further details,20
Cameron Davis,29,13,-,-,-,-,7,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,9,31,27,8500,35/1,Bet 365,Further details,31
J.J Spaun,25,58,-,15,-,15,-,-,12^^,-,-,5,-,-,-,-,-,-,-,MC,47,-,MC,MC,MC,8400,45/1,Bet 365,Further details,12
Keith Mitchell,-,40,-,MC,9,39,-,-,12^^,-,-,-,-,-,-,-,-,-,-,-,25,16,MC,14,7,8300,35/1,Bet 365,Further details,MC
Siwoo Kim,45,52,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,58,MC,-,25,55,8200,40/1,Bet 365,Further details,1
Christiaan Bezuidenhout,29,65,-,-,5,-,3,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,8100,50/1,Bet 365,Further details,MC
Andrew Putnam,2,29,-,48,35,21,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,69,2,57,MC,27,8000,50/1,Bet 365,Further details,4
Emiliano Grillo,4,45,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,47,22,21,47,MC,8000,50/1,Bet 365,Further details,MC
Matt Kuchar,-,29,-,27,-,MC,-,-,3^^,-,-,-,-,5,-,5,8,3,13,-,-,1,MC,MC,7,7900,55/1,Bet 365,Further details,7
Denny Mccarthy,-,37,6,-,53,46,-,-,5^^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,7900,45/1,Bet 365,Further details,31
Alex Smalley,25,52,11,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7800,50/1,Bet 365,Further details,MC
Harris English,-,40,-,32,39,29,-,-,3^^,-,-,-,-,-,67,9,4,3,56,MC,64,22,-,32,55,7800,55/1,Bet 365,Further details,73
JT Poston,-,67,-,MC,-,21,-,-,-,-,-,21,-,-,-,-,-,-,-,64,-,20,MC,MC,42,7700,70/1,Bet 365,Further details,20
Kurt Kitayama,29,2,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7700,45/1,Bet 365,Further details,73
William Gordon,-,-,35,3,43,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,7600,70/1,Bet 365,Further details,27
Hayden Buckley,5,-,-,59,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7600,75/1,Bet 365,Further details,2
Gary Woodland,-,67,-,-,9,-,-,-,-,-,-,-,-,MC,-,-,-,3,13,6,7,80,-,-,-,7600,55/1,Bet 365,Further details,MC
Mackenzie Hughes,23,-,-,-,16,MC,-,-,-,-,-,21,-,-,-,-,-,-,-,27,MC,77,MC,19,-,7500,70/1,Bet 365,Further details,MC
Adam Svensson,59,-,-,MC,39,1,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,43,-,-,7,7500,80/1,Bet 365,Further details,41
Nick Hardy,-,-,23,21,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,MC,7500,80/1,Bet 365,Further details,41
Chris Kirk,-,52,-,64,-,MC,-,-,-,-,-,-,-,30,38,5,2,26,MC,MC,10,MC,MC,2,27,7400,80/1,Bet 365,Further details,3
Brendon Todd,-,7,-,53,-,MC,-,-,-,-,-,-,-,-,13,-,20,44,MC,-,-,-,21,41,48,7400,90/1,Bet 365,Further details,20
Webb Simpson,-,52,-,-,-,MC,-,-,-,-,-,-,-,46,38,20,-,13,13,13,4,-,3,4,61,7400,70/1,Bet 365,Further details,MC
Aaron Rai,36,-,54,MC,7,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7400,70/1,Bet 365,Further details,61
Greyson Sigg,-,-,11,42,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,7300,80/1,Bet 365,Further details,48
Benjamin Griffin,-,-,3,59,16,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,100/1,Bet 365,Further details,12
Patton Kizzire,-,-,-,10,-,35,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,1,13,MC,7,42,7300,80/1,Bet 365,Further details,76
Brendan Steele,40,18,-,-,WD,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,2,4,MC,7300,75/1,Bet 365,Further details,48
Russell Knox,74,-,49,48,27,21,-,-,-,-,-,-,-,-,MC,MC,MC,13,MC,11,10,43,32,MC,7,7200,80/1,Bet 365,Further details,67
Stephan Jaeger,40,-,MC,-,9,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,43,-,-,MC,7200,100/1,Bet 365,Further details,27
Justin Suh,-,29,-,48,47,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,41
James Hahn,-,-,-,MC,27,-,-,-,-,-,-,-,-,-,-,67,46,26,28,36,2,MC,MC,41,-,7200,125/1,Bet 365,Further details,NR
Troy Merritt,71,67,-,3,-,MC,-,-,-,-,-,-,-,MC,-,-,MC,30,MC,MC,MC,MC,MC,56,-,7200,110/1,Bet 365,Further details,65
Kevin Streelman,74,-,-,MC,MC,35,-,-,-,-,-,-,-,-,-,26,-,51,-,-,-,-,-,-,-,7100,140/1,Bet 365,Further details,MC
Mark Hubbard,66,-,MC,MC,DQ,-,-,-,-,-,-,-,-,-,-,-,-,60,56,MC,-,-,MC,32,MC,7100,125/1,Bet 365,Further details,MC
Davis Thompson,-,-,-,-,43,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,54
David Lipsky,40,-,-,10,22,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,125/1,Bet 365,Further details,4
Ryan Palmer,-,45,-,MC,MC,-,-,-,2^^,-,-,-,-,52,MC,66,8,17,13,MC,58,-,4,41,12,7100,110/1,Bet 365,Further details,31
Chez Reavie,45,72,-,WD,-,-,-,-,-,-,-,35,-,-,-,MC,-,26,42,8,18,3,MC,67,-,7000,175/1,Bet 365,Further details,41
Robby Shelton IV,-,-,23,MC,52,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,25,-,7000,140/1,Bet 365,Further details,MC
Brandon Wu,29,-,35,32,62,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7000,150/1,Bet 365,Further details,MC
Lucas Glover,-,58,63,38,-,-,-,-,-,-,-,-,-,-,-,-,-,76,50,-,-,-,-,-,5,7000,125/1,Bet 365,Further details,MC
Seonghyeon Kim,-,64,MC,MC,47,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,12
Ryan Armour,-,-,MC,21,27,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,22,MC,32,20,6900,150/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,MC,63,9,64,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,45,-,20,6900,160/1,Bet 365,Further details,54
Stewart Cink,-,-,-,-,57,MC,-,-,-,-,-,-,-,-,29,MC,20,37,42,36,32,20,-,19,36,6900,160/1,Bet 365,Further details,20
Sam Ryder,36,-,MC,8,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,MC,28,MC,63,6900,150/1,Bet 365,Further details,MC
Adam Long,53,-,44,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,6900,150/1,Bet 365,Further details,48
Kazuki Higa,36,2^,21^,24^,19^,1^,37^,20^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6900,200/1,Bet 365,Further details,72
MJ Daffue,-,-,29,66,MC,69,-,15,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6800,175/1,Bet 365,Further details,54
Matthias Schmid,MC,-,61,MC,-,MC,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,200/1,Bet 365,Further details,MC
Benjamin Taylor,-,-,57,59,3,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6800,160/1,Bet 365,Further details,4
Carl Yuan,-,-,-,-,35,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,20
Scott Piercy,-,-,MC,32,16,MC,-,-,-,-,-,-,-,-,23,15,MC,2,13,57,25,33,45,MC,-,6800,150/1,Bet 365,Further details,MC
Adam Schenk,16,-,29,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,MC,MC,MC,6800,160/1,Bet 365,Further details,67
David Lingmerth,-,-,11,8,MC,10,-,-,-,-,-,-,-,-,-,31,MC,MC,13,49,-,-,-,-,-,6700,175/1,Bet 365,Further details,MC
Nick Taylor,-,-,23,53,MC,-,-,-,-,-,-,-,-,-,-,-,-,68,74,MC,-,MC,32,11,-,6700,175/1,Bet 365,Further details,7
Michael Thompson,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,6,MC,MC,-,56,20,MC,69,38,25,5,6700,175/1,Bet 365,Further details,31
An Byeong-Hun,-,62,17,MC,53,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,225/1,Bet 365,Further details,12
Keita Nakajima,12,28^,5^,-,35^,MC^,8^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,6700,175/1,Bet 365,Further details,54
Yuto Katsuragawa,53,21^,-,-,-,11^,MC^,8^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,200/1,Bet 365,Further details,MC
Kevin Yu,-,-,3,MC,-,54,-,-,-,-,8^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,20
Erik Barnes,-,-,MC,MC,43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,MC
