Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,2,3,3,-,3,4,-,-,3,23,-,-,-,-,-,MC,-,-,-,43,-,15,14,MC,12100,7/1,Bet 365,Further details,31
Rory McIlroy,7,-,7,9,2,7,-,-,1,6,-,-,-,7,-,-,-,-,-,-,4,47,12,MC,11500,9/1,Bet 365,Further details,3
Jon Rahm,50,-,16,-,10,MC,-,-,-,2,-,-,-,-,-,-,-,-,-,-,7,52,-,5,11100,9/1,Bet 365,Further details,37
Viktor Hovland,2,16,1,-,19,29,-,-,25,13,-,-,-,-,-,-,-,-,-,-,-,59,36,20,10200,20/1,Bet 365,Further details,13
Xander Schauffele,18,-,24,-,10,19,-,-,42,17,-,-,-,-,-,-,-,-,52,-,27,6,46,57,10000,18/1,Bet 365,Further details,24
Patrick Cantlay,9,-,30,-,14,4,-,-,MC,33,-,-,-,-,-,-,-,-,-,-,12,35,23,57,9800,16/1,Bet 365,Further details,2
Tyrrell Hatton,15,-,12,3,27,-,-,-,6,20,-,-,-,-,-,-,-,-,-,-,43,69,17,31,9700,22/1,Bet 365,Further details,43
Rickie Fowler,MC,6,9,-,5,13,1,-,42,23,-,-,-,-,-,13,-,-,MC,-,-,15,-,64,9500,28/1,Bet 365,Further details,58
Jordan Spieth,29,MC,5,-,MC,-,-,-,MC,23,-,-,-,-,-,-,-,-,-,-,12,30,12,MC,9300,25/1,Bet 365,Further details,6
Tommy Fleetwood,18,MC,-,2,5,MC,-,-,6,10,-,-,-,-,-,-,-,-,-,-,4,35,46,-,9100,30/1,Bet 365,Further details,3
Collin Morikawa,26,29,WD,-,14,MC,2,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,20,26,5,9000,25/1,Bet 365,Further details,13
Jason Day,MC,-,MC,-,MC,45,-,-,-,2,-,-,-,-,-,-,-,-,-,-,40,6,-,MC,8900,30/1,Bet 365,Further details,52
Max Homa,55,9,-,-,MC,MC,21,-,12,10,-,-,-,-,-,-,66,-,85,-,61,52,51,42,8800,33/1,Bet 365,Further details,6
Tony Finau,72,MC,-,-,32,45,MC,-,-,MC,7,-,-,-,-,-,-,-,-,MC,27,65,34,5,8700,30/1,Bet 365,Further details,64
Matthew Fitzpatrick,MC,-,9,20,17,49,-,-,MC,41,-,-,-,-,-,-,-,-,-,-,4,6,57,5,8600,30/1,Bet 365,Further details,66
Wyndham Clark,MC,-,12,-,1,29,-,-,25,33,-,-,-,-,-,-,-,-,-,-,-,-,-,28,8500,35/1,Bet 365,Further details,66
Hideki Matsuyama,29,-,16,-,32,13,MC,-,-,13,30,MC,-,-,-,-,-,-,-,-,43,20,2,-,8400,35/1,Bet 365,Further details,16
Brian Harman,MC,29,MC,-,43,2,9,-,12,1,-,-,-,MC,MC,6,MC,-,-,-,-,-,36,3,8300,40/1,Bet 365,Further details,31
Cameron Young,MC,-,MC,57,32,60,-,6,-,8,MC,-,-,-,-,-,-,-,-,-,-,-,-,31,8200,35/1,Bet 365,Further details,31
Sam Burns,MC,6,16,MC,32,-,-,-,19,MC,-,14,-,-,-,-,MC,-,-,-,-,-,2,20,8100,35/1,Bet 365,Further details,52
Sungjae Im,MC,MC,41,-,MC,29,24,-,MC,20,MC,14,-,-,-,-,-,-,-,-,-,35,46,12,8000,40/1,Bet 365,Further details,6
Tom Kim,MC,-,MC,-,8,38,MC,-,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,13,7800,40/1,Bet 365,Further details,24
Russell Henley,MC,16,16,-,14,19,-,35,-,MC,-,2,-,-,27,MC,-,7,MC,-,-,-,-,MC,7800,40/1,Bet 365,Further details,6
Keegan Bradley,29,-,30,-,MC,1,21,-,-,MC,-,-,-,-,-,-,-,-,-,-,61,52,-,MC,7700,66/1,Bet 365,Further details,43
Sepp Straka,7,29,16,-,MC,38,64,1,-,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,2,7700,55/1,Bet 365,Further details,63
Corey Conners,12,-,MC,20,MC,9,-,-,19,52,-,-,-,-,-,-,MC,-,-,68,27,30,36,28,7600,70/1,Bet 365,Further details,6
Sahith Theegala,40,-,58,38,27,52,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,13,7600,125/1,Bet 365,Further details,13
Denny McCarthy,29,MC,2,-,20,7,-,6,-,MC,-,MC,-,-,-,-,-,-,-,18,-,-,-,20,7500,75/1,Bet 365,Further details,66
An Byeong-Hun,-,21,24,-,-,MC,MC,51,3,23,-,2,-,-,-,-,-,-,-,MC,-,12,-,-,7500,66/1,Bet 365,Further details,37
Siwoo Kim,MC,29,4,-,39,MC,-,-,-,MC,-,33,-,-,-,-,-,MC,-,-,-,-,65,42,7400,75/1,Bet 365,Further details,16
Lucas Glover,-,-,MC,20,-,MC,4,6,5,-,MC,1,-,-,-,-,53,-,-,-,-,-,57,3,7400,80/1,Bet 365,Further details,1
JT Poston,40,MC,38,-,MC,MC,-,6,6,41,2,7,-,-,-,-,-,-,MC,18,-,30,-,20,7300,50/1,Bet 365,Further details,24
Stephan Jaeger,50,68,24,-,-,64,9,13,-,34,30,14,-,-,-,-,-,-,-,MC,-,-,-,46,7300,100/1,Bet 365,Further details,20
Justin Rose,9,12,-,8,MC,-,4,-,MC,MC,-,-,-,-,-,-,-,-,-,-,11,-,54,MC,7200,66/1,Bet 365,Further details,20
Cameron Davis,4,MC,MC,-,MC,33,17,-,MC,-,10,7,-,-,-,-,-,-,-,-,-,-,60,13,7200,75/1,Bet 365,Further details,6
