Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,3,-,3,4,-,-,3,23,-,-,31,2,-,-,-,-,-,-,-,-,-,2,17,13,13400,6/4,Bet 365,Further details,21
Rory McIlroy,7,9,2,7,-,-,1,6,-,-,3,4,-,10,-,2,16,1,-,7,1,7,14,1,13000,7/2,Bet 365,Further details,11
Viktor Hovland,1,-,19,29,-,-,25,13,-,-,13,1,-,-,-,-,-,-,-,-,-,14,4,15,12500,5/1,Bet 365,Further details,1
Jon Rahm,16,-,10,MC,-,-,-,2,-,-,37,31,-,-,-,-,-,-,7,11,13,6,1,16,11600,15/2,Bet 365,Further details,21
Max Homa,-,-,MC,MC,21,-,12,10,-,-,6,5,-,-,-,-,-,-,-,-,-,-,-,3,10900,25/1,Bet 365,Further details,13
Patrick Cantlay,30,-,14,4,-,-,MC,33,-,-,2,15,-,-,-,-,-,-,20,21,28,-,4,16,10800,20/1,Bet 365,Further details,6
Xander Schauffele,24,-,10,19,-,-,42,17,-,-,24,8,-,-,-,-,-,-,1,7,2,1,3,6,10500,30/1,Bet 365,Further details,1
Matthew Fitzpatrick,9,20,17,49,-,-,MC,41,-,-,66,2,-,-,-,-,-,-,-,-,-,-,-,16,10000,33/1,Bet 365,Further details,13
Lucas Glover,MC,20,-,MC,4,6,5,-,MC,1,1,22,-,-,-,-,-,-,-,-,29,-,-,-,9700,40/1,Bet 365,Further details,20
Brian Harman,MC,-,43,2,9,-,12,1,-,-,31,5,-,-,-,-,-,-,24,-,-,-,-,19,9500,35/1,Bet 365,Further details,25
Wyndham Clark,12,-,1,29,-,-,25,33,-,-,66,15,-,-,-,-,-,-,-,-,-,-,-,-,9100,45/1,Bet 365,Further details,3
Rickie Fowler,9,-,5,13,1,-,42,23,-,-,58,25,-,23,-,8,12,-,26,7,19,-,-,-,9000,60/1,Bet 365,Further details,16
Tommy Fleetwood,-,2,5,MC,-,-,6,10,-,-,3,25,-,-,-,-,-,-,-,11,13,-,-,-,8800,60/1,Bet 365,Further details,9
Sungjae Im,41,-,MC,29,24,-,MC,20,MC,14,6,7,-,-,-,-,-,-,-,-,15,12,23,2,8500,110/1,Bet 365,Further details,21
Russell Henley,16,-,14,19,-,35,-,MC,-,2,6,8,-,-,-,12,-,-,3,-,-,-,-,-,8300,80/1,Bet 365,Further details,13
Keegan Bradley,30,-,MC,1,21,-,-,MC,-,-,43,29,-,23,12,-,-,-,-,26,-,-,-,-,8100,125/1,Bet 365,Further details,11
Corey Conners,MC,20,MC,9,-,-,19,52,-,-,6,10,-,-,-,-,-,-,-,-,23,-,17,25,7900,150/1,Bet 365,Further details,26
Tom Kim,MC,-,8,38,MC,-,6,2,-,-,24,10,-,-,-,-,-,-,-,-,-,-,-,-,7900,125/1,Bet 365,Further details,17
Collin Morikawa,WD,-,14,MC,2,-,-,MC,-,-,13,25,-,-,-,-,-,-,-,-,-,7,28,19,7700,125/1,Bet 365,Further details,4
Tony Finau,-,-,32,45,MC,-,-,MC,7,-,64,37,-,-,-,-,-,-,7,15,7,14,24,9,7500,150/1,Bet 365,Further details,17
Jason Day,MC,-,MC,45,-,-,-,2,-,-,52,45,-,-,14,4,10,WD,17,18,-,-,-,-,7400,225/1,Bet 365,Further details,28
Siwoo Kim,4,-,39,MC,-,-,-,MC,-,33,16,31,-,-,-,-,-,10,-,-,-,-,-,-,7200,200/1,Bet 365,Further details,17
Tyrrell Hatton,12,3,27,-,-,-,6,20,-,-,43,34,-,-,-,-,-,-,-,-,-,5,-,-,6900,200/1,Bet 365,Further details,9
Jordan Spieth,5,-,MC,-,-,-,MC,23,-,-,6,34,-,-,2,27,1,17,7,-,-,-,24,13,6700,200/1,Bet 365,Further details,26
Taylor Moore,-,-,MC,MC,4,MC,-,MC,-,22,5,49,-,-,-,-,-,-,-,-,-,-,-,-,6500,400/1,Bet 365,Further details,30
Sam Burns,16,MC,32,-,-,-,19,MC,-,14,52,15,-,-,-,-,-,-,-,-,-,-,17,25,6100,300/1,Bet 365,Further details,4
Emiliano Grillo,48,-,MC,15,-,MC,-,6,10,-,20,31,-,-,-,-,-,10,-,-,-,-,-,-,5700,500/1,Bet 365,Further details,29
Sepp Straka,16,-,MC,38,64,1,-,2,MC,-,63,37,-,-,-,-,-,-,-,-,-,-,-,6,5400,600/1,Bet 365,Further details,6
Adam Schenk,7,-,MC,MC,7,4,-,MC,-,64,6,34,-,-,-,-,-,-,-,-,-,-,-,-,5200,750/1,Bet 365,Further details,6
Nick Taylor,-,1,MC,-,-,MC,19,MC,-,-,24,47,-,-,-,-,-,-,-,-,-,-,-,-,5000,750/1,Bet 365,Further details,21
