Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,-,10,11,-,-,-,5,2,3,3,-,3,-,-,-,-,-,-,-,-,-,MC,47,13,11300,8/1,Bet 365,Further details,4
Rory McIlroy,-,MC,-,-,-,47,-,7,-,7,9,2,-,-,-,-,-,-,17,12,-,11,-,19,10900,10/1,Bet 365,Further details,7
Jon Rahm,-,1,15,-,2,-,-,50,-,16,-,10,-,-,-,-,64,25,-,-,-,37,-,-,10800,9/1,Bet 365,Further details,MC
Xander Schauffele,-,10,4,4^^,-,2,-,18,-,24,-,10,-,-,-,-,-,-,14,MC,-,20,-,1,10400,12/1,Bet 365,Further details,19
Patrick Cantlay,-,14,3,4^^,-,21,-,9,-,30,-,14,-,MC,-,87,-,-,-,15,15,11,13,13,10200,12/1,Bet 365,Further details,4
Viktor Hovland,-,7,59,-,-,43,-,2,16,1,-,19,-,-,-,-,-,-,-,-,54,11,-,-,9900,20/1,Bet 365,Further details,29
Tony Finau,-,26,31,-,1,23,-,72,MC,-,-,32,-,-,-,-,25,25,17,-,MC,MC,MC,13,9700,25/1,Bet 365,Further details,45
Collin Morikawa,-,10,31,MC^^,-,MC,-,26,29,WD,-,14,-,-,-,-,-,-,-,-,36,MC,-,-,9500,25/1,Bet 365,Further details,MC
Tommy Fleetwood,-,33,15,-,-,5,-,18,MC,-,2,5,-,-,-,-,-,-,-,-,13,-,-,46,9300,33/1,Bet 365,Further details,MC
Wyndham Clark,-,-,29,3^^,24,1,-,MC,-,12,-,1,-,-,-,-,-,-,MC,-,15,MC,MC,35,9200,40/1,Bet 365,Further details,29
Rickie Fowler,10,-,15,-,-,14,-,MC,6,9,-,5,-,-,13,-,-,-,-,-,-,-,MC,MC,9100,33/1,Bet 365,Further details,13
Matthew Fitzpatrick,-,10,1,-,-,35,-,MC,-,9,20,17,-,-,-,-,-,-,-,-,-,MC,-,-,9000,28/1,Bet 365,Further details,49
Max Homa,-,43,MC,MC^^,-,8,-,55,9,-,-,MC,-,-,-,-,MC,-,-,-,MC,MC,MC,-,8900,30/1,Bet 365,Further details,MC
Justin Thomas,-,MC,25,-,-,14,-,65,-,MC,-,MC,-,-,30,-,MC,3,MC,56,36,MC,-,-,8800,35/1,Bet 365,Further details,9
Sungjae Im,-,16,7,6^^,-,8,1^,MC,MC,41,-,MC,-,-,-,-,-,-,-,-,21,58,-,-,8700,45/1,Bet 365,Further details,29
Hideki Matsuyama,15,16,-,-,-,-,23,29,-,16,-,32,-,-,-,-,-,-,-,-,-,-,-,-,8600,45/1,Bet 365,Further details,13
Cameron Young,-,7,51,-,-,59,-,MC,-,MC,57,32,-,-,-,-,-,-,-,-,-,-,-,-,8500,33/1,Bet 365,Further details,60
Jason Day,-,39,-,-,-,MC,1,MC,-,MC,-,MC,-,-,-,18,-,-,MC,12,8,46,10,MC,8400,35/1,Bet 365,Further details,45
Sahith Theegala,-,9,5,23^^,-,56,-,40,-,58,38,27,-,-,-,-,-,-,-,-,-,MC,-,2,8300,50/1,Bet 365,Further details,52
Shane Lowry,-,16,67,-,-,MC,-,12,-,16,43,20,-,-,-,-,-,MC,-,-,-,60,-,-,8200,55/1,Bet 365,Further details,19
Tom Kim,-,16,MC,7^^,-,23,34,MC,-,MC,-,8,-,-,-,-,-,-,-,-,-,-,-,-,8100,50/1,Bet 365,Further details,38
SiWoo Kim,39,29,MC,7^^,-,43,2,MC,29,4,-,39,-,-,-,-,-,25,-,26,MC,11,MC,MC,8000,50/1,Bet 365,Further details,MC
Adam Scott,-,39,31,-,-,5,8,29,-,9,-,MC,-,-,-,-,-,-,-,-,-,-,13,-,7900,55/1,Bet 365,Further details,19
Keegan Bradley,-,23,48,-,-,35,-,29,-,30,-,MC,-,29,18,31,39,25,8,47,2,MC,MC,19,7800,75/1,Bet 365,Further details,1
Russell Henley,-,4,19,-,-,-,-,MC,16,16,-,14,-,-,-,-,-,11,-,6,MC,32,19,-,7800,55/1,Bet 365,Further details,19
Harris English,-,43,63,13^^,-,3,-,MC,12,52,-,8,-,64,43,7,25,-,MC,MC,71,-,1,19,7700,66/1,Bet 365,Further details,60
Corey Conners,1,MC,31,-,-,8,-,12,-,MC,20,MC,-,-,-,-,-,-,-,MC,-,MC,-,-,7700,50/1,Bet 365,Further details,9
Minwoo Lee,-,MC,MC,-,-,-,MC,18,40,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,7600,70/1,Bet 365,Further details,9
Gary Woodland,-,14,31,-,39,14,-,MC,-,24,-,49,-,-,WD,-,20,38,-,-,-,MC,-,-,7600,90/1,Bet 365,Further details,33
Denny McCarthy,-,-,25,11^^,-,8,-,29,MC,2,-,20,-,-,-,-,-,-,-,47,MC,WD,73,MC,7600,80/1,Bet 365,Further details,7
Brian Harman,-,MC,7,-,-,MC,-,MC,29,MC,-,43,-,24,51,42,3,MC,35,6,8,MC,5,8,7500,90/1,Bet 365,Further details,2
An Byeong-Hun,6,-,-,13^^,33,MC,14,-,21,24,-,-,-,-,-,-,-,-,66,-,MC,46,MC,-,7500,125/1,Bet 365,Further details,MC
Matt Kuchar,3,-,19,-,-,23,43,MC,-,62,20,MC,-,8,-,31,-,17,-,-,-,-,-,-,7500,90/1,Bet 365,Further details,MC
Stephan Jaeger,-,-,MC,-,18,27,11,50,68,24,-,-,-,-,-,-,-,-,-,-,30,-,-,MC,7500,150/1,Bet 365,Further details,64
Seamus Power,-,46,MC,-,-,18,19,MC,-,41,-,MC,-,-,-,-,-,-,MC,36,66,-,19,25,7400,125/1,Bet 365,Further details,MC
Aaron Rai,28,-,48,13^^,MC,MC,MC,-,12,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,40,7400,140/1,Bet 365,Further details,24
Cameron Davis,MC,-,7,-,-,59,-,4,MC,MC,-,MC,-,-,-,-,-,-,-,-,43,MC,-,56,7400,110/1,Bet 365,Further details,33
Ludvig Aberg,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,125/1,Bet 365,Further details,24
KyoungHoon Lee,-,23,41,-,-,8,50,29,57,MC,-,MC,-,-,-,-,-,-,-,-,13,MC,73,19,7300,125/1,Bet 365,Further details,MC
Austin Eckroat,MC,-,-,MC^^,49,64,2,-,16,30,-,10,-,-,-,-,-,-,-,-,-,-,47,-,7300,125/1,Bet 365,Further details,24
Patrick Rodgers,5,-,19,-,10,MC,-,29,57,30,-,32,-,MC,-,46,39,3,35,26,-,MC,76,-,7300,125/1,Bet 365,Further details,MC
Eric Cole,39,-,MC^,MC^^,5,MC,23,15,MC,24,6,39,-,-,-,-,-,-,-,-,-,-,-,-,7300,125/1,Bet 365,Further details,24
Emiliano Grillo,53,-,7,-,5,23,-,MC,1,48,-,MC,-,-,-,-,-,-,43,19,60,60,MC,MC,7300,140/1,Bet 365,Further details,15
Andrew Putnam,28,-,59,-,24,-,-,MC,29,5,-,43,-,-,-,-,-,-,-,-,57,-,13,46,7200,150/1,Bet 365,Further details,45
Taylor Moore,-,39,11,4^^,-,27,-,72,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,56,7200,125/1,Bet 365,Further details,MC
Justin Suh,-,-,73,23^^,-,59,MC,26,16,41,-,27,-,-,-,-,-,-,-,-,MC,-,-,-,7200,175/1,Bet 365,Further details,56
Kurt Kitayama,-,MC,MC,19^^,-,MC,-,4,29,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,125/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,28,-,19,MC,-,-,23,MC,21,38,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7200,150/1,Bet 365,Further details,MC
Tom Hoge,-,MC,MC,13^^,-,-,43,58,52,65,-,MC,-,-,-,-,64,MC,35,MC,80,37,66,MC,7200,140/1,Bet 365,Further details,60
Thomas Detry,64,-,MC,13^^,-,-,7,40,21,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,175/1,Bet 365,Further details,MC
William Gordon,MC,-,-,MC^^,24,MC,70,-,52,MC,18,-,-,-,-,-,-,-,-,-,-,3,79,-,7100,150/1,Bet 365,Further details,MC
Beau Hossler,46,-,31,3^^,10,47,-,40,70,24,-,-,-,-,-,-,-,-,53,2,78,MC,10,MC,7100,175/1,Bet 365,Further details,MC
