Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,4,-,10,11,-,-,-,5,2,3,3,-,-,-,-,-,-,MC,27,-,MC,-,7,2,11400,6/1,Bet 365,Further details,3
Jon Rahm,31,-,1,15,-,2,-,-,50,-,16,-,-,-,-,-,-,23,MC,MC,3,23,1,12,11100,10/1,Bet 365,Further details,10
Brooks Koepka,-,1^^,2,-,11^^,3^^,-,-,1,12^^,-,-,-,MC,-,4,18,13,1,1,2,-,4,55,10800,11/1,Bet 365,Further details,17
Patrick Cantlay,9,-,14,3,4^^,-,21,-,9,-,30,-,-,41,-,-,-,-,-,45,21,43,15,14,10300,16/1,Bet 365,Further details,14
Viktor Hovland,31,-,7,59,-,-,43,-,2,16,1,-,-,-,-,-,-,-,-,-,12,13,WD,MC,10000,16/1,Bet 365,Further details,19
Rory McIlroy,3,-,MC,-,-,-,47,-,7,-,7,9,-,MC,41,23,9,MC,MC,MC,9,8,7,5,9900,12/1,Bet 365,Further details,2
Xander Schauffele,5,-,10,4,4^^,-,2,-,18,-,24,-,-,-,-,-,-,-,5,6,3,5,7,14,9600,18/1,Bet 365,Further details,10
Max Homa,9,-,43,MC,MC^^,-,8,-,55,9,-,-,-,-,MC,-,-,-,-,-,-,MC,MC,47,9400,28/1,Bet 365,Further details,MC
Collin Morikawa,28,-,10,31,MC^^,-,MC,-,26,29,WD,-,-,-,-,-,-,-,-,-,35,MC,4,5,9300,35/1,Bet 365,Further details,14
Jordan Spieth,31,-,4,2,-,-,MC,-,29,MC,5,-,-,21,MC,17,1,37,35,MC,65,MC,19,37,9200,20/1,Bet 365,Further details,MC
Matthew Fitzpatrick,31,-,10,1,-,-,35,-,MC,-,9,20,-,-,-,48,-,54,35,12,12,MC,55,1,9100,28/1,Bet 365,Further details,17
