Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,2,-,1,1,-,-,-,8,2,-,1,-,-,-,-,MC,27,-,MC,-,7,2,3,13000,Further details,3/1,Bet 365,Further details
Rory McIlroy,-,-,3,22,33,1^^,-,1,12,-,4,15,-,41,23,9,MC,MC,MC,9,8,7,5,2,12100,Further details,11/1,Bet 365,Further details
Xander Schauffele,5,-,-,8,18,23^^,-,2,1,-,-,8,-,-,-,-,-,5,6,3,5,7,14,10,11500,Further details,11/1,Bet 365,Further details
Bryson DeChambeau,-,-,7^^,6,-,26^^,27^^,-,2,-,-,18^^,-,-,-,MC,15,MC,25,35,1,26,56,20,10100,Further details,18/1,Bet 365,Further details
Brooks Koepka,-,-,45^^,45,-,9^^,1^^,-,26,-,-,9^^,-,-,4,18,13,1,1,2,-,4,55,17,10000,Further details,20/1,Bet 365,Further details
Viktor Hovland,-,-,-,MC,-,-,-,24,3,-,-,15,-,-,-,-,-,-,-,12,13,WD,MC,19,9800,Further details,14/1,Bet 365,Further details
Ludvig Aberg,-,-,14,2,10,-,-,-,MC,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,9600,Further details,20/1,Bet 365,Further details
Collin Morikawa,-,-,75,3,9,23^^,-,16,4,4,-,2,-,-,-,-,-,-,-,35,MC,4,5,14,9400,Further details,14/1,Bet 365,Further details
Patrick Cantlay,-,-,-,22,3,23^^,-,29,53,-,-,MC,-,-,-,-,-,-,45,21,43,15,14,14,9200,Further details,50/1,Bet 365,Further details
Wyndham Clark,-,31,-,MC,3,-,-,47,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,1,9000,Further details,66/1,Bet 365,Further details
Justin Thomas,64,-,-,MC,5,-,-,21,8,-,-,33,-,-,MC,-,32,9,25,MC,8,19,37,MC,8900,Further details,35/1,Bet 365,Further details
Cameron Smith,-,-,WD^^,6,-,14^^,2^^,-,63,-,-,48^^,-,-,-,4,59,-,MC,72,38,MC,MC,4,8700,Further details,40/1,Bet 365,Further details
Max Homa,-,-,25,3,55,-,-,8,35,MC,-,22,-,MC,-,-,-,-,-,-,MC,MC,47,MC,8600,Further details,35/1,Bet 365,Further details
Tommy Fleetwood,-,-,7,3,49,-,-,13,26,-,21,20,-,-,-,27,-,4,2,65,MC,50,MC,5,8500,Further details,28/1,Bet 365,Further details
Will Zalatoris,-,74,-,9,44,MC^^,-,60,43,-,-,41,-,-,-,-,-,-,MC,-,6,MC,2,-,8300,Further details,66/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,10,22,28,11^^,-,52,MC,-,-,5,-,-,48,-,54,35,12,12,MC,55,1,17,8200,Further details,40/1,Bet 365,Further details
Tony Finau,MC,2,-,55,12,-,-,52,18,17,-,8,-,-,-,14,MC,-,5,MC,8,MC,MC,32,8100,Further details,55/1,Bet 365,Further details
Hideki Matsuyama,-,-,7,39,-,-,-,-,35,-,-,8,-,10,35,18,MC,2,16,21,17,26,4,32,8000,Further details,45/1,Bet 365,Further details
Jordan Spieth,MC,-,10,MC,39,-,MC,29,43,37,-,MC,-,MC,17,1,37,35,MC,65,MC,19,37,MC,7900,Further details,60/1,Bet 365,Further details
Tyrrell Hatton,-,-,4^^,9,-,14^^,5^^,-,63,-,-,18^^,-,-,-,-,-,MC,6,21,MC,MC,56,27,7800,Further details,50/1,Bet 365,Further details
Shane Lowry,29,-,-,43,64,1^^,-,47,6,-,33,49,-,-,MC,9,2,46,MC,28,43,65,MC,20,7700,Further details,55/1,Bet 365,Further details
Sahith Theegala,-,28,-,45,2,MC^^,-,52,12,-,MC,12,-,-,-,-,-,MC,-,-,-,MC,-,27,7600,Further details,50/1,Bet 365,Further details
Cameron Young,2,-,-,9,62,-,-,34,63,-,MC,50,-,-,-,-,-,-,-,MC,-,MC,MC,32,7500,Further details,60/1,Bet 365,Further details
Dustin Johnson,-,-,24^^,MC,-,31^^,7^^,-,43,-,-,13^^,-,55,4,2,1,MC,3,35,6,19,24,10,7400,Further details,80/1,Bet 365,Further details
Jason Day,-,MC,-,30,18,-,59,4,43,-,-,33,-,2,4,9,8,MC,MC,21,38,-,-,MC,7400,Further details,66/1,Bet 365,Further details
