Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Rory McIlroy,2,1,-,66,-,24,-,21,21,19,-,-,-,-,2,-,-,-,-,-,-,-,MC,-,12300,Further details,9/1,Bet 365,Further details
Hideki Matsuyama,30,-,13,71,22,1,-,-,12,6,-,-,-,-,-,-,-,-,-,-,-,30,WD,15,10600,Further details,18/1,Bet 365,Further details
Ludvig Aberg,30,-,9,2,-,19,-,-,25,8,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,10500,Further details,14/1,Bet 365,Further details
Collin Morikawa,-,-,MC,14,-,19,-,-,MC,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10100,Further details,20/1,Bet 365,Further details
Max Homa,-,-,13,66,MC,16,-,-,8,64,-,-,-,-,-,-,56,-,MC,-,42,-,-,-,9900,Further details,22/1,Bet 365,Further details
Matthew Fitzpatrick,MC,-,-,58,15,MC,-,21,MC,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9700,Further details,25/1,Bet 365,Further details
Jordan Spieth,-,-,-,39,6,DQ,-,-,30,MC,MC,-,-,41,MC,10,2,-,-,-,30,1,35,-,9500,Further details,18/1,Bet 365,Further details
Corey Conners,57,-,-,31,28,24,-,41,18,13,-,-,-,-,-,-,-,-,-,26,1,14,35,1,9400,Further details,22/1,Bet 365,Further details
Tommy Fleetwood,1,14,-,31,-,10,-,-,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9200,Further details,28/1,Bet 365,Further details
An Byeong-Hun,2,-,-,31,66,16,-,21,8,MC,-,-,-,-,-,-,-,-,40,-,7,MC,-,6,9000,Further details,30/1,Bet 365,Further details
Billy Horschel,18,MC,MC,-,41,-,-,9,-,MC,12,7,-,75,3,MC,3,4,MC,11,MC,-,-,-,8900,Further details,30/1,Bet 365,Further details
Alexander Noren,42,25,-,26,53,-,-,9,-,19,-,11,-,-,-,-,-,-,-,-,-,-,-,15,8700,Further details,30/1,Bet 365,Further details
Brian Harman,18,70,-,54,60,44,-,-,12,2,MC,-,-,18,22,16,MC,51,-,-,MC,-,-,-,8600,Further details,28/1,Bet 365,Further details
Adam Scott,-,7,-,20,8,19,-,-,MC,45,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,8500,Further details,35/1,Bet 365,Further details
Harris English,10,-,64,76,17,7,-,-,21,19,-,-,-,67,61,-,30,-,-,36,MC,-,-,-,8300,Further details,40/1,Bet 365,Further details
Russell Henley,4,-,-,58,-,24,-,41,4,MC,-,-,-,-,-,-,-,MC,-,-,52,-,-,-,8200,Further details,33/1,Bet 365,Further details
Tom Kim,-,MC,-,31,17,24,-,62,52,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8100,Further details,40/1,Bet 365,Further details
Rickie Fowler,-,MC,-,47,MC,35,-,41,36,68,-,-,-,-,-,-,-,-,-,-,17,17,MC,10,8000,Further details,55/1,Bet 365,Further details
Christiaan Bezuidenhout,-,2,MC,20,28,24,-,MC,44,13,9,-,-,-,-,-,-,-,-,-,-,-,-,28,7900,Further details,45/1,Bet 365,Further details
Aaron Rai,57,MC,33,-,MC,-,19,-,23,35,MC,7,-,-,-,-,-,-,-,-,-,-,29,28,7800,Further details,50/1,Bet 365,Further details
Akshay Bhatia,13,MC,13,-,MC,-,-,MC,-,MC,17,11,-,-,-,-,-,-,-,-,-,MC,-,46,7700,Further details,50/1,Bet 365,Further details
Eric Cole,13,21,MC,14,49,10,-,MC,21,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,39,7600,Further details,50/1,Bet 365,Further details
Keith Mitchell,30,9,MC,54,17,-,19,9,-,73,17,MC,-,-,-,-,-,-,-,26,-,17,-,-,7600,Further details,50/1,Bet 365,Further details
Beau Hossler,-,47,6,14,41,24,-,28,-,MC,MC,57,-,-,-,-,-,-,MC,51,36,69,4,46,7500,Further details,55/1,Bet 365,Further details
Denny McCarthy,24,-,-,26,22,39,-,MC,48,35,-,-,-,-,-,-,-,-,-,20,MC,34,18,-,7500,Further details,66/1,Bet 365,Further details
Maverick Mcnealy,57,MC,37,39,6,-,13,41,-,9,45,-,-,-,-,-,-,-,-,-,-,-,35,-,7400,Further details,66/1,Bet 365,Further details
Erik van Rooyen,52,25,-,20,MC,-,8,2,25,MC,-,-,-,-,-,-,-,-,-,-,-,14,-,MC,7400,Further details,66/1,Bet 365,Further details
Nicolai Hojgaard,25,7,2,31,-,39,52,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,28,7300,Further details,66/1,Bet 365,Further details
Lucas Glover,MC,-,-,58,-,35,-,35,30,MC,11,-,-,-,-,-,MC,-,-,-,14,4,18,45,7300,Further details,66/1,Bet 365,Further details
Andrew Putnam,10,47,-,39,MC,44,-,-,8,53,MC,-,-,-,-,-,72,-,-,8,36,MC,41,28,7200,Further details,75/1,Bet 365,Further details
Austin Eckroat,42,25,37,-,MC,-,38,1,36,45,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,7200,Further details,80/1,Bet 365,Further details
Brendon Todd,30,-,-,58,22,31,-,MC,6,MC,33,-,-,-,61,6,30,MC,-,-,-,-,8,53,7100,Further details,90/1,Bet 365,Further details
Victor Perez,-,-,MC,-,MC,-,52,16,3,-,MC,17,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Sam Ryder,-,62,MC,31,MC,MC,-,21,-,16,33,64,-,-,-,-,-,-,-,36,42,MC,MC,3,7000,Further details,80/1,Bet 365,Further details
Mark Hubbard,57,47,20,4,53,-,48,64,-,31,-,31,-,-,-,-,MC,42,-,-,-,-,-,MC,7000,Further details,110/1,Bet 365,Further details
Adam Schenk,-,MC,25,47,17,MC,-,56,MC,19,33,-,-,-,-,-,-,-,-,58,7,MC,MC,MC,6900,Further details,90/1,Bet 365,Further details
Doug Ghim,MC,MC,13,-,12,-,8,16,-,16,67,MC,-,-,-,-,-,-,-,-,-,44,MC,MC,6900,Further details,90/1,Bet 365,Further details
Patrick Rodgers,24,-,9,79,-,MC,6,-,25,MC,MC,74,-,-,-,-,-,MC,-,MC,-,MC,58,5,6800,Further details,80/1,Bet 365,Further details
Kyounghoon Lee,30,25,MC,-,MC,-,MC,4,-,MC,9,31,-,-,-,-,-,-,-,-,14,23,MC,-,6800,Further details,110/1,Bet 365,Further details
Davis Riley,MC,MC,MC,78,-,-,MC,62,-,MC,MC,14,-,-,-,-,-,-,-,-,-,-,63,WD,6800,Further details,80/1,Bet 365,Further details
Matt Kuchar,MC,MC,-,39,MC,MC,-,MC,-,MC,49,-,-,13,22,4,15,42,40,51,7,12,2,3,6700,Further details,100/1,Bet 365,Further details
Lee Hodges,-,MC,MC,58,MC,24,-,MC,12,35,26,-,-,-,-,-,-,-,-,-,-,-,MC,6,6700,Further details,90/1,Bet 365,Further details
Taylor Montgomery,13,61,13,39,39,MC,-,60,-,11,MC,MC,-,-,-,-,-,-,-,-,-,-,-,22,6700,Further details,90/1,Bet 365,Further details
Davis Thompson,57,21,MC,-,15,-,24,47,-,MC,MC,21,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,110/1,Bet 365,Further details
Ryo Hisatsune,30,11,33,-,MC,-,48,MC,18,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,100/1,Bet 365,Further details
Benjamin Griffin,30,9,MC,58,28,37,-,MC,55,MC,17,36,-,-,-,-,-,-,-,-,-,-,-,MC,6600,Further details,100/1,Bet 365,Further details
Andrew Novak,MC,MC,MC,-,8,-,8,9,-,MC,17,53,-,-,-,-,-,-,-,-,-,-,MC,9,6500,Further details,100/1,Bet 365,Further details
Max Greyserman,MC,56,MC,-,-,-,WD,47,15,-,33,7,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,100/1,Bet 365,Further details
Seamus Power,74,-,MC,31,66,31,-,-,21,64,26,-,-,-,-,-,-,-,58,MC,MC,-,-,-,6500,Further details,125/1,Bet 365,Further details
Ryan Moore,MC,MC,MC,-,MC,-,60,MC,-,45,5,31,-,8,-,-,-,-,18,7,3,76,-,MC,6500,Further details,125/1,Bet 365,Further details
Charley Hoffman,42,MC,56,-,2,50,MC,-,-,MC,MC,-,-,13,3,11,11,1,40,64,2,2,MC,22,6400,Further details,100/1,Bet 365,Further details
Bud Cauley,-,21^,35^,-,65,-,-,21,-,-,MC,45,-,18,31,MC,-,-,10,-,MC,-,-,-,6400,Further details,125/1,Bet 365,Further details
Thorbjorn Olesen,8,21,1,-,-,-,46,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,110/1,Bet 365,Further details
Taylor Pendrith,10,MC,9,-,-,-,MC,MC,-,MC,MC,36,-,-,-,-,-,-,-,-,-,-,-,MC,6400,Further details,140/1,Bet 365,Further details
J.J Spaun,MC,-,MC,54,MC,MC,MC,-,-,64,MC,36,-,-,-,-,-,-,49,26,MC,MC,1,22,6300,Further details,125/1,Bet 365,Further details
Matthias Schmid,MC,MC,MC,-,MC,-,MC,MC,10,26,17,21,-,-,-,-,-,-,-,-,-,-,-,46,6300,Further details,150/1,Bet 365,Further details
Alejandro Tosti,70,MC,43,-,-,-,MC,MC,MC,-,75,2,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,150/1,Bet 365,Further details
Adam Svensson,30,-,MC,47,MC,10,-,MC,MC,MC,49,57,-,-,-,-,-,-,-,-,42,-,MC,-,6300,Further details,125/1,Bet 365,Further details
Jhonattan Vegas,MC,MC,MC,-,22,-,60,-,-,-,MC,36,-,-,-,MC,68,MC,34,MC,30,MC,18,-,6200,Further details,150/1,Bet 365,Further details
Webb Simpson,66,-,-,39,-,-,-,-,30,MC,54,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,150/1,Bet 365,Further details
Nate Lashley,MC,MC,3,-,MC,-,MC,MC,MC,13,-,21,-,-,-,-,-,-,-,MC,-,MC,18,MC,6200,Further details,175/1,Bet 365,Further details
Cameron Champ,MC,MC,MC,-,MC,-,24,MC,MC,-,26,45,-,-,-,-,-,-,-,73,-,34,MC,MC,6200,Further details,175/1,Bet 365,Further details
Ryan Fox,14,31,MC,-,41,-,MC,35,-,MC,MC,78,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,150/1,Bet 365,Further details
Seonghyeon Kim,30,MC,50,31,28,-,MC,67,MC,MC,61,45,-,-,-,-,-,-,-,-,-,-,-,15,6100,Further details,175/1,Bet 365,Further details
C.T. Pan,MC,-,-,-,MC,-,3,28,51,42,-,-,-,-,-,-,-,-,MC,MC,MC,-,41,-,6100,Further details,175/1,Bet 365,Further details
Kevin Yu,MC,3,6,58,MC,MC,-,9,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,150/1,Bet 365,Further details
Joel Dahmen,72,MC,MC,-,41,-,-,MC,49,11,49,MC,-,-,-,-,-,-,MC,75,69,74,-,-,6100,Further details,175/1,Bet 365,Further details
Martin Laird,MC,MC,MC,-,53,-,-,9,10,54,-,31,-,-,1,MC,50,-,18,11,36,30,29,MC,6100,Further details,150/1,Bet 365,Further details
Joseph Bramlett,52,MC,25,-,MC,-,38,41,-,MC,17,36,-,-,-,-,-,-,-,-,-,34,MC,MC,6100,Further details,175/1,Bet 365,Further details
Chesson Hadley,-,56,25,-,MC,-,24,35,-,MC,MC,MC,-,-,-,56,4,MC,-,20,MC,23,53,60,6000,Further details,175/1,Bet 365,Further details
Chandler Phillips,57,25,76,-,-,-,24,WD,MC,-,3,45,-,-,-,-,-,-,-,-,-,-,-,64,6000,Further details,200/1,Bet 365,Further details
Jacob Bridgeman,MC,39,70,-,-,-,MC,28,23,-,MC,21,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,200/1,Bet 365,Further details
Benjamin Silverman,18,MC,56,-,-,-,13,16,42,MC,MC,36,-,-,-,-,-,-,-,45,MC,-,-,-,6000,Further details,150/1,Bet 365,Further details
Jimmy Stanger,MC,14,MC,-,-,-,38,35,6,35,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,175/1,Bet 365,Further details
Greyson Sigg,66,17,MC,-,MC,-,19,56,-,MC,45,45,-,-,-,-,-,-,-,-,-,59,41,MC,6000,Further details,200/1,Bet 365,Further details
Garrick Higgo,80,MC,MC,-,49,-,60,16,32,WD,-,69,-,-,-,-,-,-,-,-,-,-,MC,64,5900,Further details,175/1,Bet 365,Further details
David Skinns,MC,MC,MC,-,-,-,MC,4,67,MC,75,7,-,-,-,-,-,-,-,-,-,-,48,-,5900,Further details,200/1,Bet 365,Further details
Erik Barnes,-,52,43,-,-,-,58,-,2,-,WD,17,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,175/1,Bet 365,Further details
Chan Kim,MC,14,MC,-,-,-,8,28,61,68,67,53,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,225/1,Bet 365,Further details
Christopher Gotterup,-,MC,50,-,MC,-,WD,35,MC,-,61,57,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,175/1,Bet 365,Further details
Aaron Baddeley,-,MC,37,-,28,-,24,MC,23,MC,17,82,-,-,15,67,20,29,5,16,30,-,18,-,5900,Further details,150/1,Bet 365,Further details
Samuel Stevens,24,65,43,-,28,-,MC,MC,18,MC,64,57,-,-,-,-,-,-,-,-,-,-,-,2,5800,Further details,250/1,Bet 365,Further details
Michael Kim,42,6,37,-,MC,-,MC,MC,23,MC,33,64,-,-,-,-,-,21,MC,MC,-,MC,-,46,5800,Further details,225/1,Bet 365,Further details
Joe Highsmith,MC,34,33,-,-,-,MC,MC,6,-,MC,21,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,200/1,Bet 365,Further details
Roger Sloan,-,MC,MC,-,-,-,MC,-,55,-,49,45,-,-,-,-,-,-,-,-,MC,MC,53,-,5800,Further details,400/1,Bet 365,Further details
Chad Ramey,MC,MC,78,-,MC,-,33,35,-,MC,MC,17,-,-,-,-,-,-,-,-,-,-,41,MC,5800,Further details,250/1,Bet 365,Further details
Ryan Palmer,MC,MC,-,-,-,-,52,MC,-,-,54,74,-,32,15,56,6,4,6,MC,MC,17,48,MC,5800,Further details,175/1,Bet 365,Further details
Harry Hall,42,MC,MC,-,41,-,33,MC,49,MC,67,28,-,-,-,-,-,-,-,-,-,-,-,28,5700,Further details,225/1,Bet 365,Further details
Dylan Wu,42,MC,50,-,MC,-,24,MC,-,19,26,78,-,-,-,-,-,-,-,-,-,-,MC,39,5700,Further details,250/1,Bet 365,Further details
Justin Lower,74,39,43,-,53,-,3,MC,36,MC,WD,28,-,-,-,-,-,-,-,-,-,-,MC,70,5700,Further details,250/1,Bet 365,Further details
Alexander Bjork,MC,11,70,-,-,-,MC,47,-,-,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,250/1,Bet 365,Further details
Vincent Whaley,MC,34,MC,-,MC,-,MC,-,18,-,54,MC,-,-,-,-,-,-,-,-,-,34,29,-,5700,Further details,200/1,Bet 365,Further details
Carl Yuan,4,MC,MC,-,WD,-,52,MC,-,MC,5,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5700,Further details,200/1,Bet 365,Further details
Carson Young,MC,17,56,-,41,-,8,56,-,MC,54,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5700,Further details,225/1,Bet 365,Further details
Ben Martin,MC,56,37,-,MC,-,-,MC,42,31,67,-,-,-,-,MC,-,-,-,45,-,34,63,10,5600,Further details,275/1,Bet 365,Further details
Nicolas Echavarria,66,65,MC,-,MC,-,24,21,15,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,28,5600,Further details,275/1,Bet 365,Further details
Kevin Streelman,MC,MC,WD,-,-,-,-,MC,32,MC,26,-,-,13,-,-,-,37,53,8,6,-,18,46,5600,Further details,200/1,Bet 365,Further details
Wilson Furr,-,WD,MC,-,-,-,38,-,MC,-,MC,36,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,400/1,Bet 365,Further details
Zach Johnson,MC,25,-,-,60,-,-,21,-,-,MC,-,-,-,-,6,20,29,MC,5,-,MC,13,-,5600,Further details,250/1,Bet 365,Further details
Parker Coody,74,MC,25,-,-,-,24,47,MC,-,67,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,275/1,Bet 365,Further details
Vincent Norrman,MC,-,56,-,MC,-,MC,47,-,MC,-,83,-,-,-,-,-,-,-,-,-,-,-,MC,5600,Further details,250/1,Bet 365,Further details
Robby Shelton IV,57,MC,25,-,60,-,60,MC,-,MC,33,MC,-,-,-,-,-,-,16,-,-,MC,-,15,5500,Further details,225/1,Bet 365,Further details
Tyler Duncan,65,34,MC,-,53,-,MC,MC,23,64,MC,-,-,-,-,-,-,-,-,MC,MC,44,MC,58,5500,Further details,300/1,Bet 365,Further details
Brandon Wu,18,MC,-,47,MC,-,13,MC,42,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,58,5500,Further details,275/1,Bet 365,Further details
Kevin Dougherty,-,MC,50,-,-,-,38,MC,MC,-,45,45,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
Grayson Murray,1,MC,-,66,MC,MC,-,-,25,42,-,-,-,-,-,-,-,-,-,16,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
Hayden Springer,-,MC,33,-,-,-,38,-,3,-,72,MC,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
Troy Merritt,24,MC,MC,-,MC,-,58,47,23,MC,MC,-,-,-,-,46,71,MC,49,36,-,34,4,MC,5500,Further details,300/1,Bet 365,Further details
Matthew NeSmith,80,56,MC,-,71,-,MC,MC,-,26,MC,MC,-,-,-,-,-,-,-,-,-,34,MC,MC,5500,Further details,350/1,Bet 365,Further details
Chez Reavie,MC,52,MC,-,MC,-,MC,-,-,MC,12,MC,-,-,MC,-,MC,MC,-,-,-,-,WD,6,5400,Further details,350/1,Bet 365,Further details
Lanto Griffin,72,39,64,-,MC,-,48,-,-,-,-,57,-,-,-,-,-,-,-,58,-,34,53,15,5400,Further details,350/1,Bet 365,Further details
Nick Hardy,42,-,37,47,66,MC,-,MC,-,MC,MC,57,-,-,-,-,-,-,-,-,-,-,MC,28,5400,Further details,350/1,Bet 365,Further details
Kevin Chappell,-,MC,-,21^,49,-,MC,-,23,-,-,MC,-,WD,15,MC,66,4,1,30,-,MC,18,39,5400,Further details,300/1,Bet 365,Further details
Ryan Brehm,MC,MC,20,-,MC,-,MC,MC,55,-,72,53,-,-,-,-,-,-,34,-,-,MC,MC,-,5400,Further details,1500/1,Bet 365,Further details
Adrien Dumont de Chassart,MC,MC,75,-,60,-,MC,MC,6,-,MC,81,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,400/1,Bet 365,Further details
Jorge Campillo,32,56,37,MC,5,-,19,53,MC,-,49,MC,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,350/1,Bet 365,Further details
Alex Smalley,MC,21,MC,75,-,MC,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,5400,Further details,350/1,Bet 365,Further details
Hayden Buckley,MC,MC,MC,77,28,-,-,MC,-,MC,61,MC,-,-,-,-,-,-,-,-,-,-,MC,10,5300,Further details,400/1,Bet 365,Further details
Padraig Harrington,-,MC,70,-,-,15^,52,MC,14^,-,1^,MC,-,-,10,MC,-,25,-,-,71,69,-,10,5300,Further details,400/1,Bet 365,Further details
Ben Kohles,52,47,MC,-,MC,-,WD,MC,3,MC,MC,-,-,-,37,-,-,-,-,-,-,-,MC,-,5300,Further details,500/1,Bet 365,Further details
Camilo Villegas,MC,62,-,-,MC,-,-,67,MC,MC,WD,-,-,-,-,77,MC,MC,10,-,-,17,MC,-,5300,Further details,450/1,Bet 365,Further details
Mac Meissner,-,MC,MC,-,-,-,MC,53,23,-,26,MC,-,-,-,-,-,-,-,-,-,MC,-,-,5300,Further details,400/1,Bet 365,Further details
Rico Hoey,MC,MC,MC,-,-,-,MC,56,32,-,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,350/1,Bet 365,Further details
Stewart Cink,24,5^,MC,-,MC,-,-,-,7^,-,33,MC,-,-,-,-,-,-,22,MC,-,-,-,MC,5300,Further details,350/1,Bet 365,Further details
Zac Blair,30,62,73,-,49,-,-,MC,-,54,MC,MC,-,-,-,-,WD,25,MC,36,-,-,-,MC,5300,Further details,400/1,Bet 365,Further details
Pierceson Coody,MC,MC,MC,-,-,-,WD,MC,32,-,WD,57,-,-,-,-,-,-,-,-,-,-,-,53,5200,Further details,350/1,Bet 365,Further details
Tyson Alexander,WD,MC,56,-,53,-,MC,16,-,MC,MC,64,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,750/1,Bet 365,Further details
Nicholas Lindheim,-,MC,MC,-,-,-,-,MC,MC,-,MC,MC,-,-,-,-,-,-,27,36,-,-,-,-,5200,Further details,600/1,Bet 365,Further details
Patrick Fishburn,-,MC,MC,-,-,-,MC,MC,42,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,750/1,Bet 365,Further details
