Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Justin Thomas,-,-,25,-,-,25,-,4,20,-,21,60,-,-,-,-,-,10,18,MC,-,-,13,3,10900,10/1,Bet 365,Further details,10
Jordan Spieth,-,-,13,MC,-,-,63,6,MC,-,4,19,-,-,-,7,20,1,18,-,MC,-,-,-,10600,12/1,Bet 365,Further details,3
Sam Burns,-,-,32,-,11,-,-,6,MC,-,MC,35,-,-,-,-,-,-,-,-,12,30,1,1,10200,16/1,Bet 365,Further details,6
Matthew Fitzpatrick,-,-,7,-,-,-,MC,29,MC,-,14,MC,-,-,-,-,-,-,-,-,MC,-,-,5,10000,18/1,Bet 365,Further details,MC
Tommy Fleetwood,-,-,-,-,38,59,-,MC,20,-,61,27,-,-,-,-,-,-,-,-,-,-,-,16,9800,22/1,Bet 365,Further details,3
Justin Rose,-,-,-,-,26,18,1,-,MC,-,MC,6,-,5,29,-,8,MC,-,-,5,-,MC,-,9600,25/1,Bet 365,Further details,36
Keegan Bradley,-,-,34,MC,-,2,-,20,MC,-,10,MC,-,MC,-,-,-,-,MC,58,31,MC,2,MC,9400,22/1,Bet 365,Further details,NR
Denny McCarthy,-,-,-,31,50,-,4,MC,14,MC,-,13,-,-,-,-,-,-,-,-,-,9,39,48,9300,33/1,Bet 365,Further details,19
Adam Hadwin,-,-,-,-,18,44,-,10,66,-,MC,13,-,-,-,-,-,71,MC,1,12,MC,MC,7,9200,25/1,Bet 365,Further details,MC
Brian Harman,-,-,16,31,MC,-,-,42,MC,-,MC,44,-,-,MC,14,25,MC,MC,MC,-,MC,-,5,9100,35/1,Bet 365,Further details,MC
Davis Riley,-,-,-,-,65,MC,MC,MC,-,29,8,MC,-,-,-,-,-,-,-,-,-,-,-,2,9000,33/1,Bet 365,Further details,19
Justin Suh,-,-,-,41,54,20,WD,-,40,5,24,6,-,-,-,-,-,-,-,-,-,-,-,-,8900,35/1,Bet 365,Further details,45
Wyndham Clark,-,-,-,-,50,37,-,10,33,-,34,27,-,-,-,-,-,-,-,-,-,37,60,MC,8800,33/1,Bet 365,Further details,5
Maverick McNealy,-,-,-,7,-,31,WD,WD,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,8700,50/1,Bet 365,Further details,36
Gary Woodland,-,-,-,MC,-,63,-,42,9,-,MC,54,-,1,29,MC,8,MC,42,58,MC,MC,MC,21,8600,45/1,Bet 365,Further details,45
Brandon Wu,-,-,-,MC,MC,-,2,50,MC,14,-,19,-,-,-,-,-,-,-,-,-,-,-,33,8500,50/1,Bet 365,Further details,MC
Benjamin Griffin,-,-,-,12,32,31,MC,-,-,21,14,35,-,-,-,-,-,-,-,-,-,-,-,-,8400,45/1,Bet 365,Further details,45
Taylor Moore,-,-,-,-,MC,11,15,14,MC,-,39,35,-,-,-,-,-,-,-,-,-,-,-,MC,8300,66/1,Bet 365,Further details,1
Aaron Rai,-,-,-,61,MC,52,-,42,29,MC,53,19,-,-,-,-,-,-,-,-,-,-,-,-,8200,66/1,Bet 365,Further details,NR
JT Poston,-,-,21,20,6,-,-,MC,MC,63,-,MC,-,-,-,-,-,-,-,14,-,MC,54,MC,8100,55/1,Bet 365,Further details,10
Kyounghoon Lee,-,-,7,27,MC,-,-,42,MC,-,53,MC,-,-,-,-,-,-,-,-,-,WD,29,-,8000,50/1,Bet 365,Further details,19
An Byeong-Hun,-,-,-,12,41,63,37,-,-,21,WD,35,-,-,-,-,-,-,-,-,-,-,-,-,7900,60/1,Bet 365,Further details,45
Victor Perez,-,-,-,-,1,28,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7800,60/1,Bet 365,Further details,45
Stephan Jaeger,-,-,-,27,36,53,-,MC,40,14,-,44,-,-,-,-,-,-,-,-,49,MC,-,MC,7800,66/1,Bet 365,Further details,27
Jhonattan Vegas,-,-,-,-,MC,25,-,23,56,21,-,MC,-,-,MC,-,-,MC,-,-,-,-,48,27,7700,70/1,Bet 365,Further details,MC
Ludvig Aberg,-,-,-,-,-,70,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,7700,75/1,Bet 365,Further details,61
Nate Lashley,-,-,-,7,MC,-,WD,61,20,-,3,60,-,-,-,-,-,-,-,-,-,-,-,27,7600,70/1,Bet 365,Further details,MC
Nick Taylor,-,-,-,7,MC,-,20,2,33,-,MC,MC,-,-,-,-,-,24,MC,62,MC,24,MC,70,7600,75/1,Bet 365,Further details,10
Garrick Higgo,-,-,-,-,11,53,20,MC,-,29,MC,44,-,-,-,-,-,-,-,-,-,-,-,-,7600,75/1,Bet 365,Further details,58
