Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Rory McIlroy,32,29,-,2,MC,-,3,-,MC,-,-,-,-,MC,2,10,8,1,4,-,16,8,1,5,11100,8/1,Bet 365,Further details,47
Xander Schauffele,10,33,-,39,19,-,5,-,10,4,4^^,-,-,-,-,-,-,-,-,24,72,-,14,-,10700,16/1,Bet 365,Further details,2
Patrick Cantlay,MC,3,-,4,19,-,9,-,14,3,4^^,-,-,-,-,-,-,-,-,-,-,-,MC,-,10500,12/1,Bet 365,Further details,21
Tony Finau,14,20,-,24,19,-,17,-,26,31,-,1,-,-,-,-,-,16,28,-,21,60,MC,41,10200,14/1,Bet 365,Further details,23
Collin Morikawa,MC,6,-,MC,13,-,28,-,10,31,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,-,9800,20/1,Bet 365,Further details,MC
Jordan Spieth,6,MC,-,4,19,3,31,-,4,2,-,-,-,-,-,32,-,-,-,-,-,-,-,-,9600,22/1,Bet 365,Further details,MC
Max Homa,39,2,-,14,6,-,9,-,43,MC,MC^^,-,-,-,-,-,-,76,-,MC,-,1,MC,1,9400,20/1,Bet 365,Further details,8
Matthew Fitzpatrick,29,MC,-,14,MC,MC,31,-,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9300,22/1,Bet 365,Further details,35
Viktor Hovland,42,20,-,10,3,-,31,-,7,59,-,-,-,-,-,-,-,-,-,-,-,-,3,-,9200,20/1,Bet 365,Further details,43
Sungjae Im,6,56,42,21,6,-,17,-,16,7,6^^,-,-,-,-,-,-,-,-,-,-,31,MC,-,9100,25/1,Bet 365,Further details,8
Jason Day,5,9,-,10,19,-,5,-,39,-,-,-,-,-,9,-,-,-,-,-,1,24,MC,15,9000,25/1,Bet 365,Further details,MC
Justin Thomas,4,20,-,21,60,10,-,-,MC,25,-,-,-,-,-,-,-,7,MC,-,21,-,26,-,8900,22/1,Bet 365,Further details,14
Rickie Fowler,10,20,-,31,13,-,17,10,-,15,-,-,-,16,1,73,38,-,4,-,21,4,MC,21,8800,35/1,Bet 365,Further details,14
Cameron Young,64,20,-,10,51,-,2,-,7,51,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8700,22/1,Bet 365,Further details,59
Sam Burns,6,MC,-,MC,35,6,1,-,29,15,11^^,-,-,-,-,-,-,-,-,-,55,WD,-,-,8600,33/1,Bet 365,Further details,MC
Tyrrell Hatton,6,40,-,4,2,-,59,MC,34,19,-,-,-,-,-,-,-,-,-,-,42,-,-,37,8500,35/1,Bet 365,Further details,3
Tom Kim,50,45,-,34,51,-,31,-,16,MC,7^^,-,-,-,-,-,-,-,-,-,-,-,-,-,8400,35/1,Bet 365,Further details,23
