Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Rory McIlroy,24,-,21,21,19,-,-,3,22,33,1^^,-,-,2,10,8,1,4,-,16,8,1,5,47,11800,Further details,8/1,Bet 365,Further details
Xander Schauffele,4,-,-,25,2,5,-,-,8,18,23^^,-,-,-,-,-,-,-,24,72,-,14,-,2,11500,Further details,10/1,Bet 365,Further details
Wyndham Clark,MC,-,-,2,2,-,31,-,MC,3,-,-,-,-,-,-,-,-,-,-,MC,43,-,1,10500,Further details,18/1,Bet 365,Further details
Patrick Cantlay,4,-,-,36,68,-,-,-,22,3,23^^,-,-,-,-,-,-,-,-,-,-,MC,-,21,9800,Further details,16/1,Bet 365,Further details
Tommy Fleetwood,10,-,-,MC,35,-,-,7,3,49,-,-,-,-,-,-,-,-,-,MC,-,14,-,5,9500,Further details,28/1,Bet 365,Further details
Max Homa,16,-,-,8,64,-,-,25,3,55,-,-,-,-,-,-,76,-,MC,-,1,MC,1,8,9400,Further details,22/1,Bet 365,Further details
Collin Morikawa,19,-,-,MC,45,-,-,75,3,9,23^^,-,-,-,-,-,-,-,-,-,-,-,-,MC,9300,Further details,22/1,Bet 365,Further details
Viktor Hovland,19,-,-,36,62,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,3,-,43,9200,Further details,28/1,Bet 365,Further details
Sahith Theegala,37,-,-,6,9,-,28,-,45,2,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,56,9100,Further details,28/1,Bet 365,Further details
Hideki Matsuyama,1,-,-,12,6,-,-,7,39,-,-,-,-,-,-,38,20,11,-,76,31,-,-,-,8900,Further details,30/1,Bet 365,Further details
Cameron Young,16,-,4,36,54,2,-,-,9,62,-,-,-,-,-,-,-,-,-,-,-,-,2,59,8800,Further details,25/1,Bet 365,Further details
Matthew Fitzpatrick,MC,-,21,MC,5,-,-,10,22,28,11^^,-,-,-,-,-,-,-,-,-,-,-,2,35,8700,Further details,30/1,Bet 365,Further details
Siwoo Kim,44,-,-,30,6,-,17,-,30,18,-,13,-,-,-,-,-,MC,-,-,-,-,37,43,8600,Further details,33/1,Bet 365,Further details
Justin Thomas,MC,-,-,12,MC,64,-,-,MC,5,-,-,-,-,-,-,7,MC,-,21,-,26,-,14,8500,Further details,30/1,Bet 365,Further details
Jordan Spieth,DQ,-,-,30,MC,MC,-,10,MC,39,-,MC,-,-,32,-,-,-,-,-,-,-,-,MC,8400,Further details,33/1,Bet 365,Further details
