Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Erik Van Rooyen,33,-,-,MC,12,-,-,-,43,46,-,-,-,-,-,-,-,-,-,-,-,-,MC,1,33/1,Bet 365,Further details
Matt Kuchar,-,-,-,-,13,-,-,MC,-,14,37,-,-,-,-,68,-,-,1,14,-,22,27,2,30/1,Bet 365,Further details
Camilo Villegas,-,-,-,-,MC,-,-,MC,MC,54,-,-,-,36,MC,29,28,50,-,-,32,MC,-,2,300/1,Bet 365,Further details
Justin Suh,-,-,-,-,37,-,-,MC,46,46,-,-,-,-,-,-,-,-,-,-,-,-,48,4,66/1,Bet 365,Further details
Ryan Palmer,-,-,-,-,MC,-,-,-,-,MC,-,-,-,60,-,-,-,-,-,-,-,27,MC,5,350/1,Bet 365,Further details
Chesson Hadley,-,-,-,-,50,-,-,55,64,MC,-,-,-,MC,-,-,-,WD,-,-,MC,-,-,7,100/1,Bet 365,Further details
Carson Young,-,-,-,-,MC,-,-,48,11,MC,37,-,-,-,-,-,-,-,-,-,-,-,53,9,80/1,Bet 365,Further details
Nate Lashley,-,-,-,-,MC,-,-,55,61,29,16,-,-,-,-,-,-,MC,-,-,38,MC,MC,10,45/1,Bet 365,Further details
Austin Cook,WD^,MC^,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,50,-,MC,63,-,27,10,750/1,Bet 365,Further details
Sam Ryder,-,-,-,-,MC,-,-,MC,40,MC,-,-,-,-,-,-,-,MC,54,66,MC,MC,8,10,125/1,Bet 365,Further details
Doug Ghim,-,-,-,-,47,-,-,33,25,2,27,-,-,-,-,-,-,-,-,-,46,27,MC,15,25/1,Bet 365,Further details
Beau Hossler,-,-,-,-,MC,-,-,2,11,23,56,-,-,-,-,-,-,34,MC,41,MC,-,38,15,22/1,Bet 365,Further details
Martin Trainer,MC^,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,15,1000/1,Bet 365,Further details
Patton Kizzire,-,-,-,-,1,-,-,11,43,MC,-,-,-,-,-,58,-,1,55,58,32,56,10,15,66/1,Bet 365,Further details
William Gordon,-,-,-,-,MC,-,-,48,35,MC,-,-,-,-,-,-,-,-,-,55,MC,-,3,15,200/1,Bet 365,Further details
Benjamin Griffin,50,-,-,-,-,-,-,37,11,MC,22,-,-,-,-,-,-,-,-,-,-,-,59,23,20/1,Bet 365,Further details
Justin Lower,-,-,-,-,7,-,-,28,MC,MC,56,-,-,-,-,-,-,-,-,-,-,-,56,23,50/1,Bet 365,Further details
Austin Eckroat,18,46,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,12,-,38,23,40/1,Bet 365,Further details
Austin Smotherman,-,64^,-,-,7,-,-,42,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,23,125/1,Bet 365,Further details
Michael Kim,-,-,-,-,MC,-,-,MC,MC,5,-,-,-,-,-,51,MC,-,-,MC,MC,-,MC,23,33/1,Bet 365,Further details
Nick Hardy,-,-,-,-,50,-,-,28,8,MC,-,-,-,-,-,-,-,-,-,-,-,-,21,23,66/1,Bet 365,Further details
Scott Piercy,-,-,-,-,-,-,-,-,54,16,-,-,-,WD,16,-,4,-,6,26,40,40,32,23,125/1,Bet 365,Further details
Nicolas Echavarria,-,-,-,-,MC,-,-,MC,11,MC,1,-,-,-,-,-,-,-,-,-,-,-,-,31,50/1,Bet 365,Further details
Martin Laird,-,-,-,-,47,-,-,48,MC,MC,-,-,-,-,-,40,13,-,MC,MC,-,22,15,31,150/1,Bet 365,Further details
Taylor Montgomery,-,-,-,-,MC,-,-,WD,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,10,31,250/1,Bet 365,Further details
Keith Mitchell,-,-,-,-,12,-,-,3,MC,MC,-,-,-,-,-,-,-,68,65,MC,70,56,MC,38,25/1,Bet 365,Further details
Matthias Schmid,-,-,-,17,58,40,-,16,5,3,-,-,-,-,-,-,-,-,-,-,-,-,MC,38,25/1,Bet 365,Further details
MJ Daffue,-,-,MC,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,66,38,TBC,Bet 365,Further details
Ryan Moore,-,-,-,-,MC,-,-,-,MC,34,-,-,-,23,-,-,-,6,MC,-,-,MC,48,38,110/1,Bet 365,Further details
Luke List,-,-,-,-,-,-,-,42,MC,41,16,-,-,-,-,MC,7,MC,MC,MC,MC,MC,-,45,90/1,Bet 365,Further details
Adam Svensson,-,-,-,-,13,-,-,MC,25,MC,46,-,-,-,-,-,-,-,MC,-,-,45,MC,45,45/1,Bet 365,Further details
Cameron Champ,-,-,-,-,MC,-,-,MC,46,WD,-,-,-,-,-,-,-,MC,10,33,-,-,MC,45,80/1,Bet 365,Further details
James Hahn,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,29,58,-,27,MC,45,TBC,Bet 365,Further details
Richy Werenski,MC^,36^,-,-,55^,13^,-,25^,-,-,-,-,-,-,-,-,50,41,3,-,-,MC,MC,45,TBC,Bet 365,Further details
Kyounghoon Lee,-,-,-,-,MC,-,-,23,46,5,63,-,-,-,-,-,-,-,29,MC,59,-,42,54,66/1,Bet 365,Further details
Brandon Wu,-,-,-,-,13,-,-,55,MC,MC,-,-,-,-,-,-,-,-,-,55,-,-,32,54,250/1,Bet 365,Further details
Cameron Young,61,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,20/1,Bet 365,Further details
Kevin Tway,-,-,-,-,13,-,-,MC,35,-,-,-,-,MC,-,-,71,-,-,-,-,56,MC,54,100/1,Bet 365,Further details
Lanto Griffin,-,-,-,-,61,-,-,-,54,29,-,-,-,-,-,-,-,61,-,76,-,-,-,54,80/1,Bet 365,Further details
Hayden Buckley,-,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,59,59,350/1,Bet 365,Further details
Lucas Glover,-,-,-,-,13,-,-,3,3,-,-,-,-,65,MC,-,-,-,-,-,5,-,38,59,25/1,Bet 365,Further details
Robby Shelton IV,-,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,6,MC,-,MC,59,250/1,Bet 365,Further details
Vincent Whaley,-,-,-,-,MC,-,-,16,67,16,-,-,-,-,-,-,-,-,-,-,23,64,-,59,66/1,Bet 365,Further details
Troy Merritt,-,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,MC,-,-,40,15,3,65,300/1,Bet 365,Further details
Isidro Benitez,MC^,-,-,MC^,-,-,-,-,-,-,27^,-,-,-,-,-,-,-,-,-,MC,-,MC,65,2500/1,Bet 365,Further details
J.J Spaun,-,-,-,-,26,-,-,WD,25,34,6,-,-,-,-,-,28,14,3,80,65,27,15,67,25/1,Bet 365,Further details
Russell Knox,-,-,-,-,MC,-,-,-,-,-,-,-,-,31,37,2,3,9,-,33,23,MC,48,69,TBC,Bet 365,Further details
Kelly Kraft,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,68,-,-,38,-,52,WD,-,71,250/1,Bet 365,Further details
Chez Reavie,-,-,-,-,32,-,-,MC,54,MC,-,-,-,-,-,74,4,14,26,26,MC,33,WD,72,175/1,Bet 365,Further details
Max Greyserman,33,28,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,18/1,Bet 365,Further details
Jhonattan Vegas,40,-,-,-,32,-,-,23,-,52,11,-,-,45,56,MC,10,61,38,MC,20,MC,-,-,22/1,Bet 365,Further details
Taylor Moore,66,-,-,-,-,-,-,42,-,29,11,-,-,-,-,-,-,-,-,-,-,-,-,-,33/1,Bet 365,Further details
Rico Hoey,-,-,-,-,37,-,-,68,21,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,33/1,Bet 365,Further details
