am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,augusta_fit_score,SG-OTT,SG-APP,SG-ATG,SG-P,SG-TOT,sg_composite_fit_score,course_history_score,recent_form_score,bet365_odds,driving_dist,driving_acc,datagolf_rank,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent,win_live,live_betfair_odds,current_score,current_pos,round,thru,today,live_dg_implied_prob,live_your_implied_prob,live_your_fair_odds,live_value_delta,live_expected_value,live_roi_percent
0,ESP,19195,1.21,Jon Rahm,150,2.82,2.02,1.84,1.7,4.65,17.63,1.731662374058996,,,,,,0.0,3.531,6.67,351.0,15.248,0.029,4.0,11.1670324748118,0.05672149744753262,0.002849002849002849,0.03829476925467439,26.113226935763205,0.03544576640567154,124.4146400839071,1244.146400839071,2.08333333333333e-05,1000.0,0,T25,3,18,-2,2.08333333333333e-05,0.007817668471164003,127.91537575283057,0.0068176684711640035,68.17668471164004,681.7668471164003
0,CHI,18079,1.31,Joaquin Niemann,150,4.23,2.73,2.41,2.18,7.87,35.8,1.4992778090713026,,,,,,0.0,1.225,15.33,751.0,16.343,-0.002,11.0,9.635255561814262,0.02793296089385475,0.0013315579227696406,0.024638663148470248,40.58661762507547,0.02330710522570061,175.03636024501156,1750.3636024501154,8.33333333333333e-06,1000.0,0,T25,3,18,-2,8.33333333333333e-06,0.006738572728797506,148.3993777683022,0.005738572728797506,57.38572728797506,573.8572728797506
0,USA,23604,1.55,Wyndham Clark,150,8.26,4.73,4.02,3.47,17.47,100.0,0.5994068494383256,0.225,0.3125,0.2875,0.425,0.985,0.4295,0.0,13.5,401.0,13.202,-0.046,34.0,9.154181369887665,0.01,0.0024937655860349127,0.016793167165492763,59.54802868007162,0.01429940157945785,57.340600333625986,573.4060033362598,0.0,1000.0,3,T42,3,18,3,0.0,0.006396583582746381,156.3334531729278,0.005396583582746381,53.965835827463806,539.6583582746381
0,USA,14139,1.34,Justin Thomas,150,4.42,2.85,2.51,2.26,8.07,37.06,1.0614447764040735,0.45,0.5650000000000001,0.22,0.2225,1.4975,0.64825,1.806,23.67,176.0,9.13,-0.015,5.0,7.429588955280814,0.02698327037236913,0.005681818181818182,0.021176319980946406,47.222558069568244,0.015494501799128224,27.270323166465673,272.7032316646567,0.0,1000.0,4,T48,3,18,4,0.0,0.005191505915999377,192.62233659758772,0.004191505915999377,41.91505915999377,419.1505915999377
0,USA,14636,1.56,Jordan Spieth,150,8.82,4.9,4.11,3.53,19.32,120.0,0.8141910929779469,0.29,0.16,0.375,-0.0849999999999999,0.18,0.2,3.227,27.0,751.0,5.43,0.024,59.0,6.454988218595589,0.008333333333333333,0.0013315579227696406,0.012354319481086826,80.94334953300307,0.011022761558317185,82.78093930296205,827.8093930296204,9.58333333333333e-05,1000.0,-1,T21,3,18,-3,9.58333333333333e-05,0.004577576407210079,218.45621155004937,0.003577576407210079,35.77576407210079,357.75764072100793
0,USA,15466,1.28,Patrick Cantlay,150,4.01,2.62,2.32,2.09,7.29,33.65,1.0366858830031804,0.5575,0.1875,0.1875,-0.15,0.72,0.3712499999999999,1.391,25.33,1001.0,5.705,0.005,9.0,6.547237176600635,0.02971768202080238,0.000999000999000999,0.02103697887724655,47.535342685616946,0.02003797787824555,200.58015856123797,2005.8015856123795,0.0,1000.0,3,T42,3,18,1,0.0,0.004574953034462799,218.58147886263978,0.0035749530344627986,35.749530344627985,357.4953034462799
0,ENG,14796,1.43,Tyrrell Hatton,150,6.18,3.69,3.16,2.77,12.44,66.59,0.7864423028249896,,,,,,0.0,1.0,24.0,21.0,3.756,0.002,15.0,6.270988460564998,0.01501726986033939,0.047619047619047616,0.014770750436134428,67.70136726118193,-0.03284829718291319,-6.89814240841177,-68.9814240841177,0.0002129166666666,1000.0,-2,T17,3,18,3,0.0002129166666666,0.004530962912665956,220.70363833801804,0.003530962912665956,35.30962912665956,353.0962912665956
0,USA,17543,1.51,Michael Kim,150,8.84,4.84,4.04,3.46,19.63,116.5,0.5868945394295235,0.055,0.14,0.01,0.6799999999999999,0.5449999999999999,0.2365,0.0,24.0,226.0,2.941,-0.01,28.0,6.004328907885904,0.008583690987124463,0.004424778761061947,0.011824656373855116,84.5690537114506,0.0073998776127931695,16.723723404912562,167.23723404912562,0.0,1000.0,0,T25,3,18,2,0.0,0.004195589989502665,238.34550146749146,0.003195589989502665,31.955899895026654,319.5589989502666
0,USA,17606,1.43,Daniel Berger,150,6.8,3.96,3.37,2.94,14.07,84.63,0.9597516482737374,0.25,0.085,0.01,-0.18,0.07,0.0975,0.925,22.5,601.0,-1.171,0.071,31.0,5.810200329654747,0.011816140848398913,0.0016638935108153079,0.012846337416523157,77.84319900501637,0.01118244390570785,67.20648787330417,672.0648787330416,0.0,1000.0,1,T30,3,18,1,0.0,0.004059940538581796,246.3090260798047,0.003059940538581796,30.59940538581796,305.9940538581796
0,RSA,7398,1.77,Charl Schwartzel,150,16.24,8.16,6.6,5.52,40.66,344.83,-0.1704300613274226,,,,,,0.0,1.625,20.5,2501.0,-2.992,-0.021,116.0,5.682713987734515,0.0028999797001420993,0.00039984006397441024,0.009101708027162604,109.86948790443053,0.008701867963188194,217.63371775933672,2176.337177593367,0.0,1000.0,2,T37,3,18,0,0.0,0.003970858073552882,251.8347373481573,0.0029708580735528824,29.708580735528827,297.08580735528824
