,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Brooks Koepka,21,70.13,11,1,6,13,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,7600,40/1,Bet 365,Further details,2
Scottie Scheffler,12,70.30,-,27,-,-,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,11100,7/1,Bet 365,Further details,10
Rory McIlroy,23,70.48,7,MC,4,22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,10600,7/1,Bet 365,Further details,MC
Dustin Johnson,22,70.49,-,MC,54,13,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,8800,25/1,Bet 365,Further details,48
Collin Morikawa,12,70.52,-,-,-,-,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,9100,25/1,Bet 365,Further details,10
Xander Schauffele,22,70.60,-,5,20,MC,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,9000,22/1,Bet 365,Further details,10
Jon Rahm,23,70.71,27,MC,44,58,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,10800,9/1,Bet 365,Further details,1
Will Zalatoris,10,70.76,-,-,-,-,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,8200,40/1,Bet 365,Further details,WD
Jordan Spieth,23,70.79,11,35,1,28,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,9700,16/1,Bet 365,Further details,4
Tony Finau,21,70.83,-,-,27,44,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,8900,22/1,Bet 365,Further details,26
Hideki Matsuyama,22,70.86,11,2,14,5,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,8400,40/1,Bet 365,Further details,16
Justin Thomas,22,70.86,22,9,MC,1,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,9300,20/1,Bet 365,Further details,MC
Viktor Hovland,12,71.02,-,-,-,-,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,8500,35/1,Bet 365,Further details,7
Justin Rose,22,71.03,2,MC,54,MC,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,7800,55/1,Bet 365,Further details,16
Tommy Fleetwood,23,71.11,MC,4,27,61,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,7700,50/1,Bet 365,Further details,33
Patrick Reed,23,71.12,MC,13,MC,2,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,7300,66/1,Bet 365,Further details,4
Louis Oosthuizen,22,71.15,41,23,MC,2,12,16,28,-,29,60,7,20,33,3,23,26,2,2,3,WD,60,MC,MC,7200,100/1,Bet 365,Further details,WD
Chris Kirk,6,71.33,-,-,-,MC,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,7100,150/1,Bet 365,Further details,23
Francesco Molinari,20,71.37,33,MC,MC,2,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,6600,225/1,Bet 365,Further details,MC
