,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Marcel Siem,1,68.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,5800,500/1,Bet 365,41
Seungsu Han,1,69.50,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,1000/1,Bet 365,MC
Brooks Koepka,24,70.00,11,1,6,13,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,10400,20/1,Bet 365,64
Scottie Scheffler,15,70.05,-,27,-,-,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,12500,15/2,Bet 365,23
Rory McIlroy,26,70.40,7,MC,4,22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,11900,15/2,Bet 365,6
Collin Morikawa,15,70.52,-,-,-,-,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,9600,30/1,Bet 365,MC
Xander Schauffele,25,70.55,-,5,20,MC,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,10100,25/1,Bet 365,17
Jon Rahm,26,70.63,27,MC,44,58,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,10,11200,12/1,Bet 365,2
Rickie Fowler,20,70.64,11,5,22,5,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,5,9800,22/1,Bet 365,23
Dustin Johnson,25,70.67,-,MC,54,13,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,9200,30/1,Bet 365,MC
Viktor Hovland,15,70.71,-,-,-,-,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,10000,20/1,Bet 365,13
Jordan Spieth,26,70.80,11,35,1,28,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,9700,30/1,Bet 365,23
Hideki Matsuyama,25,70.90,11,2,14,5,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,8900,66/1,Bet 365,13
Tony Finau,24,71.01,-,-,27,44,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,8200,55/1,Bet 365,MC
Justin Rose,25,71.01,2,MC,54,MC,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,8000,50/1,Bet 365,MC
Tommy Fleetwood,26,71.05,MC,4,27,61,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,9300,22/1,Bet 365,10
Patrick Reed,26,71.10,MC,13,MC,2,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,18,56,7600,70/1,Bet 365,33
