,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Brooks Koepka,23,70.01,11,1,6,13,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,10800,11/1,Bet 365,17
Scottie Scheffler,14,70.19,-,27,-,-,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,11400,6/1,Bet 365,3
Rory McIlroy,25,70.52,7,MC,4,22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,9900,12/1,Bet 365,2
Collin Morikawa,14,70.60,-,-,-,-,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,9300,35/1,Bet 365,14
Xander Schauffele,24,70.61,-,5,20,MC,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,9600,18/1,Bet 365,10
Jon Rahm,25,70.68,27,MC,44,58,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,11100,10/1,Bet 365,10
Dustin Johnson,24,70.73,-,MC,54,13,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,8300,35/1,Bet 365,10
Rickie Fowler,19,70.75,11,5,22,5,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,7500,45/1,Bet 365,5
Yuto Katsuragawa,1,70.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,6500,2500/1,Bet 365,58
Viktor Hovland,14,70.76,-,-,-,-,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,10000,16/1,Bet 365,19
Jordan Spieth,25,70.79,11,35,1,28,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,9200,20/1,Bet 365,MC
Hideki Matsuyama,24,70.90,11,2,14,5,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,8600,40/1,Bet 365,32
Justin Rose,24,70.99,2,MC,54,MC,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,7700,35/1,Bet 365,MC
Ryutaro Nagano,1,71.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6200,2500/1,Bet 365,20
Tony Finau,23,71.02,-,-,27,44,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,8800,33/1,Bet 365,32
Justin Thomas,24,71.03,22,9,MC,1,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,65,8700,45/1,Bet 365,MC
