,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,15,70.00,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,23,12100,4/1,Bet 365,Further details,1
Brooks Koepka,21,70.17,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,64,10200,18/1,Bet 365,Further details,45
Rory McIlroy,23,70.26,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,6,10800,10/1,Bet 365,Further details,22
Jon Rahm,23,70.27,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,10,2,11200,10/1,Bet 365,Further details,45
Xander Schauffele,23,70.48,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,17,9900,14/1,Bet 365,Further details,8
Collin Morikawa,16,70.60,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,MC,8400,40/1,Bet 365,Further details,3
Austin Eckroat,2,70.67,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,6300,200/1,Bet 365,Further details,MC
Viktor Hovland,16,70.68,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,13,9500,30/1,Bet 365,Further details,MC
Dustin Johnson,23,70.72,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,MC,8800,40/1,Bet 365,Further details,MC
Will Zalatoris,10,70.76,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,-,-,-,-,9200,35/1,Bet 365,Further details,9
Rickie Fowler,17,70.77,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,5,23,7300,110/1,Bet 365,Further details,30
Jordan Spieth,23,70.85,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,23,9300,20/1,Bet 365,Further details,MC
Tommy Fleetwood,23,70.92,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,10,7500,35/1,Bet 365,Further details,3
Patrick Reed,23,71.01,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,18,56,33,7400,66/1,Bet 365,Further details,12
Justin Rose,22,71.03,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,MC,7200,125/1,Bet 365,Further details,MC
Hideki Matsuyama,22,71.04,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,13,9000,16/1,Bet 365,Further details,39
Tony Finau,23,71.07,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,MC,8600,35/1,Bet 365,Further details,55
Shane Lowry,22,71.13,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,MC,8000,35/1,Bet 365,Further details,43
