,Events,Av Score,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,U24,O24,2025 Odds,Bookmaker,New Account Offer
Scottie Scheffler,19,69.99,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,23,1,8,41,7,9/2,Bet 365,Further details
Xander Schauffele,23,70.11,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,17,8,1,7,1,20/1,Bet 365,Further details
Rory McIlroy,23,70.35,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,6,22,12,2,MC,13/2,Bet 365,Further details
Jon Rahm,22,70.44,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,10,2,45,MC,-,7,16/1,Bet 365,Further details
Collin Morikawa,20,70.49,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,MC,3,4,14,16,14/1,Bet 365,Further details
Brooks Koepka,22,70.63,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,64,45,26,26,43,33/1,Bet 365,Further details
Viktor Hovland,20,70.81,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,13,MC,3,MC,MC,33/1,Bet 365,Further details
Will Zalatoris,13,70.86,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,-,-,-,-,9,43,MC,MC,40/1,Bet 365,Further details
Shane Lowry,23,70.99,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,MC,43,6,19,6,35/1,Bet 365,Further details
Bryson DeChambeau,22,71.00,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,20,60,6,2,1,MC,16/1,Bet 365,Further details
Tommy Fleetwood,23,71.06,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,10,3,26,16,MC,33/1,Bet 365,Further details
Dustin Johnson,23,71.09,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,MC,MC,43,MC,31,70/1,Bet 365,Further details
Hideki Matsuyama,22,71.10,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,13,38,35,6,66,28/1,Bet 365,Further details
Patrick Cantlay,23,71.12,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,14,33,22,53,3,25,35/1,Bet 365,Further details
Patrick Reed,21,71.14,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,18,56,33,12,53,-,-,66/1,Bet 365,Further details
Justin Rose,22,71.14,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,MC,MC,6,MC,2,90/1,Bet 365,Further details
Cameron Smith,23,71.20,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,4,33,6,63,32,MC,50/1,Bet 365,Further details
Jordan Spieth,23,71.23,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,23,MC,43,41,25,30/1,Bet 365,Further details
Ludvig Aberg,4,71.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,MC,12,MC,16/1,Bet 365,Further details
Max Greyserman,1,71.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,160/1,Bet 365,Further details
MinWoo Lee,13,71.32,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,5,41,22,26,21,MC,40/1,Bet 365,Further details
Tony Finau,23,71.33,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,MC,55,18,3,MC,60/1,Bet 365,Further details
Thomas Detry,9,71.33,-,-,-,-,-,49,-,-,MC,MC,MC,-,-,-,34,-,40,-,13,-,4,14,-,125/1,Bet 365,Further details
Russell Henley,16,71.38,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,14,MC,38,23,7,5,50/1,Bet 365,Further details
