,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,U24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
Jesper Svensson,1,69.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,5300,1000/1,Bet 365,Further details
Scottie Scheffler,18,69.94,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,23,1,8,41,12800,5/1,Bet 365,Further details
Marcel Siem,2,70.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,41,-,-,-,5700,600/1,Bet 365,Further details
Rory McIlroy,26,70.22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,6,22,12,2,11400,15/2,Bet 365,Further details
Xander Schauffele,26,70.31,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,17,8,1,7,11200,12/1,Bet 365,Further details
Brooks Koepka,24,70.34,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,64,45,26,26,9000,40/1,Bet 365,Further details
Ludvig Aberg,3,70.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,MC,12,10100,14/1,Bet 365,Further details
Collin Morikawa,19,70.43,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,MC,3,4,14,9900,16/1,Bet 365,Further details
Jon Rahm,25,70.46,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,10,2,45,MC,-,10400,22/1,Bet 365,Further details
Viktor Hovland,19,70.66,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,13,MC,3,MC,9700,25/1,Bet 365,Further details
Tommy Fleetwood,26,70.83,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,10,3,26,16,9300,20/1,Bet 365,Further details
Will Zalatoris,13,70.91,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,-,-,-,-,9,43,MC,7200,175/1,Bet 365,Further details
Dustin Johnson,26,70.92,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,MC,MC,43,MC,7100,150/1,Bet 365,Further details
Jordan Spieth,26,70.96,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,23,MC,43,41,7900,66/1,Bet 365,Further details
Rickie Fowler,20,70.96,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,5,23,30,63,MC,6600,200/1,Bet 365,Further details
Hideki Matsuyama,25,71.00,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,13,38,35,6,8500,45/1,Bet 365,Further details
Matthew Jordan,2,71.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,10,-,-,-,5800,300/1,Bet 365,Further details
Justin Rose,25,71.01,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,MC,MC,6,MC,6900,150/1,Bet 365,Further details
Louis Oosthuizen,20,71.01,12,16,28,-,29,60,7,20,33,3,23,26,2,2,3,WD,60,MC,MC,WD,-,-,23,-,-,-,6800,60/1,Bet 365,Further details
Tony Finau,26,71.04,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,MC,55,18,3,8700,35/1,Bet 365,Further details
Shane Lowry,25,71.09,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,MC,43,6,19,8200,35/1,Bet 365,Further details
Bryson DeChambeau,25,71.10,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,20,60,6,2,1,11500,16/1,Bet 365,Further details
