,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ben Kern,1,69.25,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Brooks Koepka,22,70.12,11,1,6,13,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,10100,20/1,Bet 365,Further details,1
Scottie Scheffler,13,70.35,-,27,-,-,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,11200,15/2,Bet 365,Further details,2
Thriston Lawrence,1,70.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,6400,1000/1,Bet 365,Further details,62
Collin Morikawa,13,70.56,-,-,-,-,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,10300,33/1,Bet 365,Further details,26
Rory McIlroy,24,70.57,7,MC,4,22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,10700,12/1,Bet 365,Further details,7
Xander Schauffele,23,70.62,-,5,20,MC,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,9900,16/1,Bet 365,Further details,18
Jon Rahm,24,70.64,27,MC,44,58,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,11400,15/2,Bet 365,Further details,50
Dustin Johnson,23,70.66,-,MC,54,13,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,8800,25/1,Bet 365,Further details,55
Sadom Kaewkanjana,2,70.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,11,-,6400,1000/1,Bet 365,Further details,MC
Rickie Fowler,18,70.69,11,5,22,5,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,7600,60/1,Bet 365,Further details,MC
Jordan Spieth,24,70.77,11,35,1,28,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,9600,45/1,Bet 365,Further details,29
Hideki Matsuyama,23,70.89,11,2,14,5,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,8600,55/1,Bet 365,Further details,29
Tony Finau,22,70.89,-,-,27,44,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,9500,20/1,Bet 365,Further details,72
Justin Thomas,23,70.94,22,9,MC,1,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,9400,25/1,Bet 365,Further details,65
Viktor Hovland,13,70.98,-,-,-,-,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,9100,28/1,Bet 365,Further details,2
Justin Rose,23,71.05,2,MC,54,MC,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,7700,90/1,Bet 365,Further details,9
Patrick Reed,24,71.08,MC,13,MC,2,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,7600,90/1,Bet 365,Further details,18
Adam Schenk,2,71.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,6500,500/1,Bet 365,Further details,MC
Webb Simpson,23,71.14,MC,35,37,33,20,10,12,19,5,29,16,30,37,8,10,12,30,MC,19,35,20,MC,MC,-,7100,300/1,Bet 365,Further details,MC
Nick Hardy,2,71.17,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,14,-,-,6600,400/1,Bet 365,Further details,MC
Tommy Fleetwood,24,71.18,MC,4,27,61,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,8000,55/1,Bet 365,Further details,18
Trey Mullinax,3,71.20,-,9,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,6400,600/1,Bet 365,Further details,MC
Cameron Young,7,71.30,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,9200,28/1,Bet 365,Further details,MC
Denny McCarthy,4,71.38,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,7400,175/1,Bet 365,Further details,29
Matt Kuchar,20,71.39,4,16,2,9,28,MC,9,MC,12,8,16,41,MC,MC,MC,MC,MC,MC,MC,-,34,-,-,-,6900,200/1,Bet 365,Further details,MC
Aaron Wise,10,71.39,-,-,-,-,-,MC,-,MC,17,41,35,41,-,-,-,-,17,-,-,-,23,27,34,-,6900,400/1,Bet 365,Further details,MC
Patrick Cantlay,21,71.39,-,-,-,33,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9700,18/1,Bet 365,Further details,9
Chris Kirk,7,71.41,-,-,-,MC,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,7000,225/1,Bet 365,Further details,29
Francesco Molinari,21,71.44,33,MC,MC,2,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,6800,500/1,Bet 365,Further details,MC
Shane Lowry,23,71.49,MC,46,MC,48,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,8300,66/1,Bet 365,Further details,12
Matthew Fitzpatrick,24,71.49,32,35,44,MC,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,8400,30/1,Bet 365,Further details,MC
Cameron Smith,22,71.62,-,-,MC,MC,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9300,33/1,Bet 365,Further details,9
Chez Reavie,15,71.62,-,16,-,22,53,MC,MC,12,-,14,3,MC,75,MC,29,-,MC,40,59,-,-,-,-,-,6300,750/1,Bet 365,Further details,40
Jason Day,20,71.63,22,MC,27,9,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,8900,25/1,Bet 365,Further details,MC
Adam Scott,24,71.67,9,MC,22,61,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,7800,70/1,Bet 365,Further details,29
Jordan L Smith,5,71.71,-,-,-,9,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,47,-,6800,400/1,Bet 365,Further details,MC
Joel Dahmen,9,71.75,-,-,-,-,-,-,-,-,-,71,MC,MC,10,MC,-,-,55,-,46,-,MC,10,-,-,6600,400/1,Bet 365,Further details,69
Matthew NeSmith,1,71.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,6300,500/1,Bet 365,Further details,23
Abraham Ancer,15,71.77,-,-,-,-,-,-,MC,-,-,16,49,MC,43,56,13,26,8,MC,59,MC,9,-,11,39,7500,200/1,Bet 365,Further details,MC
Russell Henley,17,71.77,11,27,37,71,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,7300,100/1,Bet 365,Further details,MC
MinWoo Lee,6,71.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,7200,175/1,Bet 365,Further details,18
Andrew Putnam,8,71.80,-,-,-,-,-,-,-,59,-,78,43,32,MC,WD,MC,-,-,-,-,-,-,31,-,-,6400,500/1,Bet 365,Further details,MC
Robert MacIntyre,10,71.83,-,-,-,-,-,-,-,-,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,6900,350/1,Bet 365,Further details,MC
Brian Harman,20,71.83,-,2,MC,13,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,6800,225/1,Bet 365,Further details,MC
Bryson DeChambeau,22,71.84,-,MC,MC,33,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,7400,110/1,Bet 365,Further details,4
Harold Varner III,10,71.85,-,-,-,-,-,MC,-,-,-,36,-,-,29,-,-,-,49,-,MC,23,48,MC,28,29,6600,225/1,Bet 365,Further details,29
Sam Burns,9,71.88,-,-,-,-,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,8200,45/1,Bet 365,Further details,MC
Thorbjorn Olesen,10,71.88,-,-,62,44,-,MC,12,56,21,64,MC,57,-,-,-,-,-,-,-,-,-,MC,-,-,6500,450/1,Bet 365,Further details,MC
Gary Woodland,24,71.91,MC,50,70,22,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,7100,80/1,Bet 365,Further details,MC
