player_name,event_fit_score,rank
Scottie Scheffler,1.5190000000000001,1.0
Patrick Cantlay,1.0450000000000002,2.0
Daniel Berger,0.8195,3.0
J.T. Poston,0.492,13.0
Jhonattan Vegas,0.5795,10.0
Ludvig Aberg,0.729,5.0
Cam Davis,0.46099999999999997,18.0
Matt Fitzpatrick,0.4645,17.0
Patrick Rodgers,0.2765,35.0
Russell Henley,0.629,8.0
Brian Harman,0.2255,39.0
Christiaan Bezuidenhout,0.1695,46.0
Collin Morikawa,0.6745,7.0
Tommy Fleetwood,0.3,32.0
Bud Cauley,0.4665,16.0
Sahith Theegala,0.217,40.0
Sungjae Im,0.5705,11.0
Maverick McNealy,0.169,47.0
Jordan Spieth,0.47900000000000004,14.0
Adam Scott,0.3605,22.0
Ben Griffin,0.38699999999999996,21.0
Justin Rose,0.355,23.0
Tony Finau,0.62,9.0
Austin Eckroat,0.317,29.0
Jason Day,0.1745,45.0
Sam Burns,0.214,41.0
Chris Kirk,0.3405,24.0
Justin Thomas,0.4685,15.0
Corey Conners,0.493,12.0
Si woo Kim,0.3285,27.0
Shane Lowry,0.43500000000000005,19.0
Sepp Straka,0.3005,31.0
Xander Schauffele,0.31100000000000005,30.0
J.J. Spaun,0.28450000000000003,34.0
Denny McCarthy,0.14250000000000002,49.0
Billy Horschel,0.1635,48.0
Viktor Hovland,0.6950000000000001,6.0
Aaron Rai,0.763,4.0
Adam Hadwin,0.2645,36.0
Lucas Glover,0.3965,20.0
Cameron Young,0.244,38.0
Rickie Fowler,0.338,25.0
Wyndham Clark,0.0685,54.0
Eric Cole,0.105,51.0
Thomas Detry,0.1935,43.0
Harris English,0.10500000000000001,50.0
Will Zalatoris,0.32849999999999996,28.0
Min Woo Lee,0.2445,37.0
Taylor Pendrith,0.08700000000000002,53.0
Keegan Bradley,-0.0075,60.0
Nick Taylor,-0.0155,61.0
Akshay Bhatia,0.289,33.0
Gary Woodland,0.21050000000000002,42.0
Max Homa,0.09,52.0
Tom Hoge,-0.056999999999999995,65.0
Davis Thompson,0.01200000000000001,59.0
Matthieu Pavon,0.33000000000000007,26.0
Robert MacIntyre,0.032,58.0
Mackenzie Hughes,0.036,57.0
Stephan Jaeger,-0.045,63.0
Byeong Hun An,-0.02149999999999999,62.0
Sam Stevens,-0.056999999999999974,64.0
Jake Knapp,0.17950000000000002,44.0
Michael Kim,0.0435,56.0
Nico Echavarria,0.044,55.0
Nick Dunlap,-0.15149999999999997,66.0
