player_name,recent_form_score
Rory McIlroy,7.0
Bryson DeChambeau,11.67
Sergio Garcia,10.0
Collin Morikawa,6.0
Scottie Scheffler,11.0
Phil Mickelson,9.33
Joaquin Niemann,15.33
Russell Henley,12.33
Tyrrell Hatton,24.0
Jon Rahm,6.67
Brooks Koepka,18.33
Justin Thomas,23.67
Vijay Singh,22.0
Patrick Cantlay,25.33
Fred Couples,31.0
Cameron Smith,16.0
Sepp Straka,14.5
Charl Schwartzel,20.5
Tommy Fleetwood,25.75
Jason Day,17.5
Patrick Reed,11.0
Bernhard Langer,33.0
Shane Lowry,11.5
Laurie Canter,26.0
Denny McCarthy,24.5
Robert MacIntyre,9.67
Daniel Berger,22.5
MinWoo Lee,17.5
Angel Cabrera,15.0
Bubba Watson,33.67
Akshay Bhatia,34.33
Corey Conners,8.75
J.J Spaun,21.25
Will Zalatoris,33.0
Keegan Bradley,24.0
Michael Kim,24.0
JT Poston,34.25
Dustin Johnson,28.67
Jose Maria Olazabal,54.0
Hideki Matsuyama,40.67
Ludvig Aberg,40.67
Tom Hoge,28.75
Jordan Spieth,27.0
Maverick McNealy,33.75
Wyndham Clark,13.5
Harris English,32.67
Aaron Rai,25.0
Taylor Pendrith,35.75
Nick Taylor,43.67
Stephan Jaeger,29.25
Xander Schauffele,41.33
Max Greyserman,33.25
Lucas Glover,24.25
Brian Harman,27.75
Thomas Detry,42.25
Billy Horschel,30.25
Davis Thompson,34.25
Adam Scott,47.67
Rasmus Hojgaard,44.0
Kevin Yu,26.67
An Byeong-Hun,31.5
Sam Burns,49.5
Justin Hastings,50.0
Tom Kim,44.5
Tony Finau,43.5
Christiaan Bezuidenhout,40.25
Chris Kirk,42.5
Mike Weir,58.0
Jose Luis Ballester,75.0
Joe Highsmith,28.6
Justin Rose,35.0
Sahith Theegala,51.25
Sungjae Im,47.5
Davis Riley,30.2
Nicolai Hojgaard,42.0
Matt McCarty,34.0
Matthew Fitzpatrick,40.67
Danny Willett,48.0
Nick Dunlap,50.0
Viktor Hovland,30.67
Zach Johnson,40.0
Cameron Davis,50.0
Matthieu Pavon,48.25
Adam Schenk,49.17
Nicolas Echavarria,37.0
Brian Campbell,49.5
Cameron Young,45.8
Jhonattan Vegas,55.25
Austin Eckroat,48.75
Rafael Campos,52.83
Thriston Lawrence,50.8
Max Homa,50.0
Patton Kizzire,53.75
Noah Kent,50.0
Evan Beck,75.0
Hiroshi Tai,75.0
