Player;RDs;SG-OTT;RK;SG-APP;RK;SG-T2G;RK;SG-BST;RK;SG-ATG;RK;SG-P;RK;SG-TOT;RK
Justin Rose;10;0.56;14;1.29;3;2.12;2;0.93;1;0.26;25;0.44;24;2.57;1
Rickie Fowler;22;0.82;6;0.14;32;1.51;9;0.48;12;0.54;14;0.66;12;2.17;2
Rory McIlroy;24;1.12;2;0.61;11;2.00;3;0.86;3;0.26;26;0.07;34;2.07;3
Jason Day;16;0.79;8;#FIELD!;44;1.30;13;0.31;23;0.67;6;0.70;10;2.00;4
Max Homa;10;0.26;31;0.73;7;0.78;28;0.49;11;#FIELD!;50;1.08;3;1.87;5
Matt Kuchar;8;#FIELD!;50;#FIELD!;52;0.92;23;#FIELD!;52;1.44;1;0.96;5;1.86;6
Justin Thomas;18;0.76;9;0.74;6;1.67;6;0.75;7;0.16;34;0.18;32;1.84;7
Viktor Hovland;8;1.19;1;0.28;26;1.36;12;0.73;8;#FIELD!;47;0.45;22;1.78;8
Wyndham Clark;10;0.41;23;0.38;21;1.29;14;0.40;17;0.50;17;0.45;23;1.74;9
Hideki Matsuyama;15;0.70;11;0.44;17;1.67;5;0.57;10;0.53;15;-0.05;39;1.63;10
Brendon Todd;10;#FIELD!;64;#FIELD!;42;#FIELD!;53;#FIELD!;63;0.83;3;2.03;1;1.57;11
Tom Kim;4;0.74;10;0.96;4;2.31;1;0.85;5;0.55;12;-0.89;55;1.37;12
Gary Woodland;21;1.04;3;0.63;10;1.55;8;0.83;6;#FIELD!;46;-0.19;42;1.36;13
Harris English;16;#FIELD!;54;0.65;9;0.42;35;0.15;32;0.13;37;0.92;6;1.35;14
Seamus Power;16;0.07;39;0.33;23;0.81;25;0.20;30;0.41;21;0.52;20;1.33;15
Corey Conners;12;0.34;25;1.38;2;1.71;4;0.86;4;#FIELD!;44;-0.46;48;1.24;16
Patrick Cantlay;10;0.95;4;#FIELD!;50;0.71;30;0.30;24;0.09;39;0.47;21;1.16;17
Tommy Fleetwood;14;0.50;18;0.41;19;1.11;15;0.46;13;0.20;30;0.03;35;1.14;18
Taylor Moore;4;0.95;5;0.44;18;0.58;32;0.70;9;#FIELD!;62;0.60;17;1.12;19
Adam Scott;15;0.32;26;0.59;12;1.10;16;0.45;14;0.19;31;-0.00;36;1.10;20
Lucas Glover;18;0.44;22;0.39;20;1.45;11;0.42;16;0.61;9;-0.47;49;0.98;21
