player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Scottie Scheffler,2.674,0.854,1.206,0.298,0.316,5.853,0.072
Rory McIlroy,2.249,0.883,0.744,0.196,0.426,20.032,-0.012
Collin Morikawa,2.228,0.7,1.037,0.259,0.232,-1.025,0.108
Jon Rahm,2.083,0.952,0.604,0.329,0.198,15.248,0.029
Bryson DeChambeau,1.81,1.263,0.281,0.096,0.17,24.24,-0.011
Justin Thomas,1.726,0.296,0.885,0.342,0.204,9.13,-0.015
Joaquin Niemann,1.636,0.815,0.586,0.055,0.179,16.343,-0.002
Patrick Cantlay,1.551,0.386,0.728,0.224,0.213,5.705,0.005
Russell Henley,1.544,0.242,0.605,0.294,0.404,-7.669,0.085
Robert MacIntyre,1.534,0.538,0.589,0.229,0.177,4.222,0.026
Corey Conners,1.478,0.649,0.599,0.096,0.133,0.685,0.07
Shane Lowry,1.478,0.391,0.877,0.153,0.056,0.209,0.048
Tommy Fleetwood,1.418,0.37,0.806,0.181,0.061,-0.36,0.059
Ludvig Aberg,1.413,0.784,0.514,-0.021,0.135,13.379,0.013
Sergio Garcia,1.365,0.741,0.504,0.111,0.01,3.358,0.075
Hideki Matsuyama,1.307,0.199,0.575,0.399,0.135,3.101,-0.011
Sepp Straka,1.253,0.361,0.806,-0.038,0.124,-2.757,0.074
Aaron Rai,1.248,0.48,0.591,0.072,0.105,-7.323,0.108
Tyrrell Hatton,1.214,0.181,0.635,0.189,0.208,3.756,0.002
J.J. Spaun,1.186,0.304,0.809,0.041,0.032,3.174,0.015
Xander Schauffele,1.179,0.113,0.754,0.112,0.199,8.715,-0.025
Min Woo Lee,1.178,0.241,0.093,0.32,0.524,15.313,-0.054
Davis Thompson,1.156,0.46,0.433,0.222,0.041,6.335,0.024
Taylor Pendrith,1.152,0.629,0.51,-0.116,0.128,11.414,0.002
Akshay Bhatia,1.122,0.263,0.31,0.051,0.497,-1.097,0.044
Will Zalatoris,1.071,0.372,0.662,0.057,-0.021,6.211,-0.002
Keegan Bradley,1.033,0.416,0.592,0.093,-0.067,5.104,0.033
Daniel Berger,1.022,0.347,0.34,0.182,0.153,-1.171,0.071
Sungjae Im,0.99,0.348,-0.025,0.304,0.363,0.094,0.048
Viktor Hovland,0.973,0.393,0.643,-0.188,0.124,6.32,0.016
Maverick McNealy,0.963,0.242,0.343,0.047,0.331,3.917,-0.0
Denny McCarthy,0.962,-0.155,0.223,0.21,0.684,-4.74,0.016
Jason Day,0.957,0.167,0.216,0.208,0.367,2.102,-0.009
Ben Griffin,0.945,0.202,0.461,0.168,0.114,0.308,0.022
J.T. Poston,0.943,0.2,0.437,0.222,0.083,-3.099,0.036
Wyndham Clark,0.934,0.258,0.18,0.184,0.313,13.202,-0.046
Michael Kim,0.934,0.124,0.502,0.166,0.143,2.941,-0.01
David Puig,0.932,0.615,0.177,-0.088,0.228,15.355,-0.046
Lucas Glover,0.918,0.257,0.56,0.075,0.026,-8.939,0.102
Bud Cauley,0.906,0.196,0.42,0.166,0.123,0.525,0.007
Jacob Bridgeman,0.88,0.02,0.196,0.178,0.486,0.344,-0.013
Tom McKibbin,0.88,0.727,-0.028,-0.01,0.191,9.07,0.022
Carlos Ortiz,0.869,0.319,0.215,0.126,0.209,4.762,-0.0
Si Woo Kim,0.862,0.307,0.426,0.18,-0.05,-2.351,0.06
Byeong Hun An,0.841,0.512,0.26,0.075,-0.007,12.572,-0.039
Alex Noren,0.839,0.035,0.403,0.202,0.2,-4.711,0.023
Tom Kim,0.833,0.232,0.621,0.028,-0.047,2.123,0.04
Patrick Reed,0.807,0.074,0.216,0.256,0.261,-4.087,0.016
Dean Burmester,0.801,0.518,0.304,0.105,-0.126,17.52,-0.061
Sebastian Munoz,0.8,0.433,0.367,-0.022,0.022,-2.086,0.062
Laurie Canter,0.796,0.713,0.286,-0.026,-0.176,4.795,0.04
Andrew Novak,0.786,0.201,0.247,0.218,0.12,0.317,0.007
Jordan Spieth,0.785,0.335,0.203,0.147,0.1,5.43,0.024
Keith Mitchell,0.768,0.518,0.357,-0.029,-0.078,11.188,-0.011
Brooks Koepka,0.765,0.154,0.399,0.195,0.017,5.739,-0.017
Tony Finau,0.761,0.257,0.382,0.201,-0.078,6.402,-0.009
Alex Smalley,0.756,0.41,0.171,0.12,0.055,4.525,0.024
Taylor Moore,0.753,0.382,0.024,0.158,0.189,7.82,-0.0
Rasmus Neergaard-Petersen,0.739,0.376,0.377,0.009,-0.023,3.473,0.029
Stephan Jaeger,0.736,-0.03,0.33,0.199,0.237,6.091,-0.036
Kevin Yu,0.703,0.533,0.498,-0.082,-0.246,9.073,0.012
Harry Hall,0.69,-0.12,0.144,0.234,0.433,0.968,-0.032
Luke Clanton,0.677,0.61,0.257,-0.195,0.006,9.784,0.018
Joe Highsmith,0.673,0.26,0.257,-0.001,0.158,2.247,0.018
Thomas Detry,0.649,0.183,0.101,0.035,0.329,5.871,-0.024
Lucas Herbert,0.648,0.303,-0.224,0.146,0.423,6.801,-0.024
Thorbjorn Olesen,0.636,0.2,0.29,0.079,0.067,2.499,0.01
Mackenzie Hughes,0.635,-0.101,0.048,0.311,0.377,1.754,-0.022
Billy Horschel,0.631,0.095,0.127,0.129,0.279,-1.019,0.011
Harris English,0.623,0.151,-0.064,0.136,0.4,1.872,0.021
Doug Ghim,0.616,0.367,0.521,0.059,-0.331,-1.127,0.051
Nick Taylor,0.6,0.109,0.503,0.071,-0.083,-7.272,0.052
Lee Hodges,0.596,0.264,0.409,-0.069,-0.007,-0.784,0.054
Cameron Tringale,0.589,-0.006,0.335,0.092,0.168,-0.97,0.023
Sam Burns,0.579,-0.037,-0.161,0.133,0.645,7.081,-0.021
