am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,event_fit_score,rank,course_history_score,bet365_odds,baseline,baseline_history_fit,driving_dist,driving_acc,datagolf_rank,sg_current_form_score,your_model_score,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent
0,USA,26651,1.0,Cameron Young,150,16.17,7.9,6.33,5.24,39.45,283.02,0.244,38.0,1.429,201.0,283.018867924531,521.7391304348008,13.354,-0.052,137,0.6598999999999999,1.28832,1.28832,0.0035333192000565334,0.004975124378109453,0.021246513503780356,47.0665457568872,0.0162713891256709,32.705492142598516,327.0549214259852
0,USA,12577,1.0,Gary Woodland,150,15.52,7.51,5.95,4.93,37.72,272.73,0.2105,42.0,1.312,151.0,272.7272727272777,465.1162790697674,10.943,-0.004,93,0.54655,1.1016650000000001,1.1016650000000001,0.0036666300003666626,0.006622516556291391,0.018361833937845268,54.46079097463771,0.011739317381553878,17.726369246146355,177.26369246146353
0,FRA,19960,1.0,Matthieu Pavon,150,38.54,16.38,12.53,9.99,112.74,1176.47,0.33,26.0,0.518,751.0,1176.470588235294,1200.000000000048,-0.366,0.011,264,-0.01665,0.206855,0.206855,0.0008500004250002125,0.0013315579227696406,0.0034961840941280585,286.0261282234905,0.002164626171358418,16.25634254690172,162.5634254690172
0,BEL,14181,1.0,Thomas Detry,150,10.07,5.39,4.45,3.75,22.77,155.84,0.1935,43.0,2.304,126.0,155.84415584415746,193.5483870967767,6.503,-0.019,84,0.32230000000000003,1.05304,1.05304,0.006416837782340862,0.007936507936507936,0.018424997500944038,54.27409148624108,0.010488489564436102,13.215496851189489,132.15496851189488
0,USA,26653,1.0,Austin Eckroat,150,13.52,6.73,5.42,4.52,33.75,252.1,0.317,29.0,1.25,226.0,252.10084033613867,242.91497975708896,1.558,0.045,113,0.08465000000000002,0.517645,0.517645,0.0039666798889329636,0.004424778761061947,0.009300915834438213,107.51629385757164,0.004876137073376266,11.020069785830362,110.20069785830361
0,CAN,17780,1.0,Taylor Pendrith,150,6.27,3.61,3.07,2.67,12.98,80.0,0.087,53.0,2.225,81.0,80.0,118.3431952662722,11.626,0.002,34,0.5816,1.33843,1.33843,0.0125,0.012345679012345678,0.02472168478622178,40.45031755106486,0.012376005773876101,10.024564676839642,100.24564676839643
0,AUS,6430,1.0,Adam Scott,150,11.87,6.09,4.93,4.13,28.4,217.39,0.3605,22.0,0.825,151.0,217.3913043478261,283.018867924531,5.923,-0.029,55,0.2918,0.69374,0.69374,0.004600027600165602,0.006622516556291391,0.012250129693641348,81.63178880620897,0.005627613137349957,8.497695837398435,84.97695837398436
0,USA,12423,1.0,Chris Kirk,150,16.75,8.15,6.52,5.38,43.03,329.67,0.3405,24.0,1.227,251.0,329.67032967033333,327.86885245901635,-0.472,0.019,123,-0.02075,0.381925,0.381925,0.0030333363666697,0.00398406374501992,0.006894333831392206,145.04664619613658,0.0029102700863722856,7.3047779167944356,73.04777916794436
0,USA,16283,1.0,Patrick Rodgers,150,14.88,7.35,5.91,4.87,36.98,263.16,0.2765,35.0,2.05,111.0,263.1578947368421,327.86885245901635,4.43,-0.012,86,0.2197,0.88106,0.88106,0.003799969600243198,0.009009009009009009,0.014945204897801613,66.91109334654197,0.005936195888792604,6.58917743655979,65.8917743655979
0,USA,11676,1.0,Tony Finau,150,8.37,4.59,3.83,3.3,18.16,115.83,0.62,9.0,1.333,76.0,115.83011583011628,128.75536480686807,6.49,-0.006,48,0.3236,0.93993,0.93993,0.0086333419666753,0.013157894736842105,0.01731764294557848,57.744578932742044,0.004159748208736377,3.161408638639646,31.614086386396455
0,USA,19483,1.0,Sam Burns,150,9.58,5.07,4.2,3.57,21.47,143.2,0.214,41.0,1.333,81.0,143.1980906921248,162.60162601626016,7.362,-0.017,42,0.36555000000000004,0.872665,0.872665,0.006983240223463688,0.012345679012345678,0.015768645926686774,63.416986128631706,0.0034229669143410954,2.7726032006162864,27.726032006162864
0,USA,23604,1.0,Wyndham Clark,150,6.36,3.75,3.21,2.8,12.98,70.59,0.0685,54.0,1.344,56.0,70.58823529411748,92.7357032457499,12.687,-0.042,39,0.62805,1.173015,1.173015,0.014166312508853945,0.017857142857142856,0.02262971251755979,44.18969084225168,0.004772569660416934,2.672639009833482,26.726390098334818
0,USA,19428,1.0,Will Zalatoris,150,6.62,3.8,3.23,2.82,13.67,79.58,0.3284999999999999,28.0,1.0,81.0,79.57559681697592,87.59124087591215,5.864,0.001,59,0.29335,0.7299049999999999,0.7299049999999999,0.012565971349585323,0.012345679012345678,0.015206577478026383,65.76101699708612,0.0028608984656807047,2.3173277572013706,23.173277572013706
