dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total
18417,0.072,5.853,"Scheffler, Scottie",1.206,0.298,0.854,0.316,2.674
10091,-0.012,20.032,"McIlroy, Rory",0.744,0.196,0.883,0.426,2.249
22085,0.108,-1.025,"Morikawa, Collin",1.037,0.259,0.7,0.232,2.228
19195,0.029,15.248,"Rahm, Jon",0.604,0.329,0.952,0.198,2.083
19841,-0.011,24.24,"DeChambeau, Bryson",0.281,0.096,1.263,0.17,1.81
14139,-0.015,9.13,"Thomas, Justin",0.885,0.342,0.296,0.204,1.726
18079,-0.002,16.343,"Niemann, Joaquin",0.586,0.055,0.815,0.179,1.636
15466,0.005,5.705,"Cantlay, Patrick",0.728,0.224,0.386,0.213,1.551
14578,0.085,-7.669,"Henley, Russell",0.605,0.294,0.242,0.404,1.544
23323,0.026,4.222,"MacIntyre, Robert",0.589,0.229,0.538,0.177,1.534
17576,0.07,0.685,"Conners, Corey",0.599,0.096,0.649,0.133,1.478
13900,0.048,0.209,"Lowry, Shane",0.877,0.153,0.391,0.056,1.478
12294,0.059,-0.36,"Fleetwood, Tommy",0.806,0.181,0.37,0.061,1.418
23950,0.013,13.379,"Aberg, Ludvig",0.514,-0.021,0.784,0.135,1.413
5689,0.075,3.358,"Garcia, Sergio",0.504,0.111,0.741,0.01,1.365
13562,-0.011,3.101,"Matsuyama, Hideki",0.575,0.399,0.199,0.135,1.307
17511,0.074,-2.757,"Straka, Sepp",0.806,-0.038,0.361,0.124,1.253
18554,0.108,-7.323,"Rai, Aaron",0.591,0.072,0.48,0.105,1.248
14796,0.002,3.756,"Hatton, Tyrrell",0.635,0.189,0.181,0.208,1.214
17536,0.015,3.174,"Spaun, J.J.",0.809,0.041,0.304,0.032,1.186
19895,-0.025,8.715,"Schauffele, Xander",0.754,0.112,0.113,0.199,1.179
16841,-0.054,15.313,"Lee, Min Woo",0.093,0.32,0.241,0.524,1.178
27364,0.024,6.335,"Thompson, Davis",0.433,0.222,0.46,0.041,1.156
17780,0.002,11.414,"Pendrith, Taylor",0.51,-0.116,0.629,0.128,1.152
26096,0.044,-1.097,"Bhatia, Akshay",0.31,0.051,0.263,0.497,1.122
19428,-0.002,6.211,"Zalatoris, Will",0.662,0.057,0.372,-0.021,1.071
13872,0.033,5.104,"Bradley, Keegan",0.592,0.093,0.416,-0.067,1.033
17606,0.071,-1.171,"Berger, Daniel",0.34,0.182,0.347,0.153,1.022
17488,0.048,0.094,"Im, Sungjae",-0.025,0.304,0.348,0.363,0.99
18841,0.016,6.32,"Hovland, Viktor",0.643,-0.188,0.393,0.124,0.973
